                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff815b8910b (__TEXT,__text) external __cg_jcopy_block_row
00007ff815b890b5 (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff815ba9741 (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff815b7f9ed (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff815b8823c (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff815b89124 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff815b94e59 (__TEXT,__text) external __cg_jinit_c_master_control
00007ff815b892fb (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff815b7eb40 (__TEXT,__text) external __cg_jinit_color_converter
00007ff815b876a4 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff815b7ea29 (__TEXT,__text) external __cg_jinit_compress_master
00007ff815b93c83 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff815b966b1 (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff815b97407 (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff815ba14f9 (__TEXT,__text) external __cg_jinit_downsampler
00007ff815b86cd5 (__TEXT,__text) external __cg_jinit_forward_dct
00007ff815ba2915 (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff815ba684f (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff815b8a4bb (__TEXT,__text) external __cg_jinit_input_controller
00007ff815b7f34a (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff815b811a6 (__TEXT,__text) external __cg_jinit_marker_reader
00007ff815ba55d6 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff815b961bc (__TEXT,__text) external __cg_jinit_master_decompress
00007ff815baaa24 (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff815ba228b (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff815b96ebf (__TEXT,__text) external __cg_jinit_upsampler
00007ff815ba1113 (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff815b89a00 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff815b83908 (__TEXT,__text) external __cg_jpeg_abort
00007ff815ba1249 (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff815b89af9 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff815b93124 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff815b83995 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff815b83978 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff815b95eb5 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff815b89b72 (__TEXT,__text) external __cg_jpeg_consume_input
00007ff815ba5010 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff815b934f2 (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff815b8394a (__TEXT,__text) external __cg_jpeg_destroy
00007ff815ba123f (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff815b89aef (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff815baa40d (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff815ba4b3d (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff815b97e70 (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff815ba12a6 (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff815b89e76 (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff815ba67c5 (__TEXT,__text) external __cg_jpeg_finish_output
00007ff815b84fdb (__TEXT,__text) external __cg_jpeg_free_large
00007ff815b84fbc (__TEXT,__text) external __cg_jpeg_free_small
00007ff815b84fc9 (__TEXT,__text) external __cg_jpeg_get_large
00007ff815b84faa (__TEXT,__text) external __cg_jpeg_get_small
00007ff815b89e39 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff815b8c28c (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff815b8c1d8 (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff815b8be92 (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff815b97930 (__TEXT,__text) external __cg_jpeg_idct_float
00007ff815b867df (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff815b8af6f (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff815b89dfc (__TEXT,__text) external __cg_jpeg_input_complete
00007ff815b84fe8 (__TEXT,__text) external __cg_jpeg_mem_available
00007ff815b8521e (__TEXT,__text) external __cg_jpeg_mem_init
00007ff815b85229 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff815bac1b0 (__TEXT,__const) external __cg_jpeg_natural_order
00007ff815b96142 (__TEXT,__text) external __cg_jpeg_new_colormap
00007ff815b84ff9 (__TEXT,__text) external __cg_jpeg_open_backing_store
00007ff815b932b6 (__TEXT,__text) external __cg_jpeg_quality_scaling
00007ff815b97794 (__TEXT,__text) external __cg_jpeg_read_coefficients
00007ff815b89b03 (__TEXT,__text) external __cg_jpeg_read_header
00007ff815ba669e (__TEXT,__text) external __cg_jpeg_read_raw_data
00007ff815ba65ef (__TEXT,__text) external __cg_jpeg_read_scanlines
00007ff815b80f30 (__TEXT,__text) external __cg_jpeg_resync_to_restart
00007ff815b82e34 (__TEXT,__text) external __cg_jpeg_save_markers
00007ff815b93570 (__TEXT,__text) external __cg_jpeg_set_colorspace
00007ff815b9336d (__TEXT,__text) external __cg_jpeg_set_defaults
00007ff815b9326c (__TEXT,__text) external __cg_jpeg_set_linear_quality
00007ff815b831c7 (__TEXT,__text) external __cg_jpeg_set_marker_processor
00007ff815b932ee (__TEXT,__text) external __cg_jpeg_set_quality
00007ff815b93914 (__TEXT,__text) external __cg_jpeg_simple_progression
00007ff815b92f12 (__TEXT,__text) external __cg_jpeg_start_compress
00007ff815ba640a (__TEXT,__text) external __cg_jpeg_start_decompress
00007ff815ba675b (__TEXT,__text) external __cg_jpeg_start_output
00007ff815ba2005 (__TEXT,__text) external __cg_jpeg_std_error
00007ff815b839b2 (__TEXT,__text) external __cg_jpeg_std_huff_table
00007ff815babf40 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
00007ff815babe70 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
00007ff815babe50 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
00007ff815babe30 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
00007ff815babf60 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
00007ff815babe90 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
00007ff815babe61 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
00007ff815babe41 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00007ff8418206c0 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
00007ff815baa6f3 (__TEXT,__text) external __cg_jpeg_stdio_dest
00007ff815b8522f (__TEXT,__text) external __cg_jpeg_stdio_src
00007ff815ba1253 (__TEXT,__text) external __cg_jpeg_suppress_tables
00007ff815ba4e8d (__TEXT,__text) external __cg_jpeg_write_coefficients
00007ff815ba1489 (__TEXT,__text) external __cg_jpeg_write_m_byte
00007ff815ba1429 (__TEXT,__text) external __cg_jpeg_write_m_header
00007ff815ba1395 (__TEXT,__text) external __cg_jpeg_write_marker
00007ff815b93057 (__TEXT,__text) external __cg_jpeg_write_raw_data
00007ff815b92f93 (__TEXT,__text) external __cg_jpeg_write_scanlines
00007ff815ba149b (__TEXT,__text) external __cg_jpeg_write_tables
00007ff815b8909a (__TEXT,__text) external __cg_jround_up
00007ff815b88219 (__TEXT,__text) external __cg_switch_color_deconverter
00007ff815bab394 (__TEXT,__text) non-external _access_virt_barray
00007ff815bab228 (__TEXT,__text) non-external _access_virt_sarray
00007ff815baae34 (__TEXT,__text) non-external _alloc_barray
00007ff815ba9ecc (__TEXT,__text) non-external _alloc_fs_workspace
00007ff815baac98 (__TEXT,__text) non-external _alloc_large
00007ff815baad6a (__TEXT,__text) non-external _alloc_sarray
00007ff815baab2a (__TEXT,__text) non-external _alloc_small
00007ff815b86655 (__TEXT,__text) non-external _arith_decode
00007ff815b84db4 (__TEXT,__text) non-external _arith_encode
