00007ff8062e758c (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff8062e7553 (__TEXT,__text) external _CreateLSTMData
00007ff8062e73f8 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff8062e7732 (__TEXT,__text) external _DeleteLSTMData
00007ff8062e7763 (__TEXT,__text) external _LSTMDataName
00007ff8062c7709 (__TEXT,__text) external _T_CString_int64ToString
00007ff8062c765a (__TEXT,__text) external _T_CString_integerToString
00007ff8062c77bd (__TEXT,__text) external _T_CString_stringToInteger
00007ff8062c75f7 (__TEXT,__text) external _T_CString_toLowerCase
00007ff8062c762a (__TEXT,__text) external _T_CString_toUpperCase
00007ff80632bec7 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80632bc68 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff80632bb60 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff80632bda1 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff80632c475 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff80632c423 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff80632bc62 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff80632c445 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff80634a9fa (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8063523f0 (__TEXT,__text) external __Z15ulocimp_getNamePKcR10UErrorCode
00007ff80635248b (__TEXT,__text) external __Z15ulocimp_getNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff806353968 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff806351ff1 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00007ff80635208a (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00007ff80635122d (__TEXT,__text) external __Z17ulocimp_getRegionPKcR10UErrorCode
00007ff806351189 (__TEXT,__text) external __Z17ulocimp_getScriptPKcR10UErrorCode
00007ff806353aa4 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff806351374 (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu10CharStringES3_S3_S3_PS0_R10UErrorCode
00007ff80635151a (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu8ByteSinkES3_S3_S3_PS0_R10UErrorCode
00007ff8063512d1 (__TEXT,__text) external __Z18ulocimp_getVariantPKcR10UErrorCode
00007ff806352d8c (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcR10UErrorCode
00007ff806352e2a (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff80634fc78 (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccRN3icu8ByteSinkEbR10UErrorCode
00007ff80634fbcf (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccbR10UErrorCode
00007ff8063510e5 (__TEXT,__text) external __Z19ulocimp_getLanguagePKcR10UErrorCode
00007ff806353a06 (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff806352ed7 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcR10UErrorCode
00007ff806352f75 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcRN3icu8ByteSinkER10UErrorCode
00007ff806353cef (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff806355823 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff80635577f (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
00007ff806356a6d (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciPiR10UErrorCode
00007ff806356b14 (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciRN3icu8ByteSinkEPiR10UErrorCode
00007ff8063500cf (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEER10UErrorCode
00007ff806350176 (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00007ff8062e01cd (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcR10UErrorCode
00007ff8062e0268 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff806350f4e (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_RN3icu10CharStringER10UErrorCode
00007ff8063507ba (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_S3_RN3icu8ByteSinkER10UErrorCode
00007ff8062dfcfa (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcR10UErrorCode
