                 (undefined) external _Block_size (from libSystem)
                 (indirect) external _Block_size (for _Block_size)
                 (undefined) external _CCEC_FAULT_CANARY (from libSystem)
                 (indirect) external _CCEC_FAULT_CANARY (for _CCEC_FAULT_CANARY)
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libSystem)
                 (indirect) external _CCRSA_PKCS1_FAULT_CANARY (for _CCRSA_PKCS1_FAULT_CANARY)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libSystem)
                 (indirect) external _CCRSA_PSS_FAULT_CANARY (for _CCRSA_PSS_FAULT_CANARY)
                 (undefined) external _CCSS_PRIME_P192 (from libSystem)
                 (indirect) external _CCSS_PRIME_P192 (for _CCSS_PRIME_P192)
                 (undefined) external _CCSS_PRIME_P224 (from libSystem)
                 (indirect) external _CCSS_PRIME_P224 (for _CCSS_PRIME_P224)
                 (undefined) external _CCSS_PRIME_P256 (from libSystem)
                 (indirect) external _CCSS_PRIME_P256 (for _CCSS_PRIME_P256)
                 (undefined) external _CCSS_PRIME_P384 (from libSystem)
                 (indirect) external _CCSS_PRIME_P384 (for _CCSS_PRIME_P384)
                 (undefined) external _CCSS_PRIME_P521 (from libSystem)
                 (indirect) external _CCSS_PRIME_P521 (for _CCSS_PRIME_P521)
0000000180066840 (__TEXT,__text) non-external _DiToMD5
0000000180066b44 (__TEXT,__text) non-external _DiToSHA1
000000018004a12c (__TEXT,__text) non-external (was a private external) _DriverExecutableMain
000000018004a114 (__TEXT,__text) non-external (was a private external) _DriverKit_init
0000000182cf46a0 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
0000000180049be0 (__TEXT,__text) external _IOCallOnce
0000000182cf48c8 (__AUTH_CONST,__const) external _IOCommandPool_Class
0000000182cf47e8 (__AUTH_CONST,__const) external _IOCommand_Class
0000000182cf49a8 (__AUTH_CONST,__const) external _IODMACommand_Class
0000000182cf4af0 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
0000000180046580 (__TEXT,__text) external _IODelay
0000000182cf4c38 (__AUTH_CONST,__const) external _IODispatchQueue_Class
0000000182cf4d80 (__AUTH_CONST,__const) external _IODispatchSource_Class
000000018004a784 (__TEXT,__text) external _IODriverKitTest
0000000180079538 (__TEXT,__text) non-external _IODriverKitTest.cold.1
0000000180079564 (__TEXT,__text) non-external _IODriverKitTest.cold.2
0000000180079590 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001800795bc (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001800795e8 (__TEXT,__text) non-external _IODriverKitTest.cold.5
0000000180079614 (__TEXT,__text) non-external _IODriverKitTest.cold.6
