                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
00007ffb1a703d18 (__TEXT,__const) external _FMSampleRateUnknown
00007ffb1a703d20 (__TEXT,__const) external _FMSampleRate_44100
00007ffb1a703d28 (__TEXT,__const) external _FMSampleRate_48000
00007ffb426d5578 (__DATA_CONST,__const) external _FMSongArtworkAssetID
00007ffb426d5590 (__DATA_CONST,__const) external _FMSongAssetCompatibilityVersion
00007ffb426d5588 (__DATA_CONST,__const) external _FMSongAssetContentVersion
00007ffb426d5580 (__DATA_CONST,__const) external _FMSongAssetDownloadProgressChanged
00007ffb426d55e8 (__DATA_CONST,__const) external _FMSongAssetsChanged
00007ffb426d5570 (__DATA_CONST,__const) external _FMSongBundleAssetID
00007ffb426d55e0 (__DATA_CONST,__const) external _FMSongBundleExtension
00007ffb426d55f8 (__DATA_CONST,__const) external _FMSongFormat_Legacy
00007ffb426d55f0 (__DATA_CONST,__const) external _FMSongFormat_ML
00007ffb426d51c8 (__DATA_CONST,__const) external _FMSongLibraryAvailableSongsChanged
00007ffb426d51e8 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CloudSupportDisabled
00007ffb426d5210 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CustomBundledSongsPath
00007ffb426d5218 (__DATA_CONST,__const) external _FMSongLibraryInitOption_EnableFetchCache
00007ffb426d5200 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_AssetTypeIdentifier
00007ffb426d51f8 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ClientID
00007ffb426d5208 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ListenToSystemNotifications
00007ffb426d51f0 (__DATA_CONST,__const) external _FMSongLibraryInitOption_NetworkingDisabled
00007ffb426d51e0 (__DATA_CONST,__const) external _FMSongLibraryReconnectedToNetwork
00007ffb426d51d0 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressChanged
00007ffb426d51d8 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressState
00007ffb1a703e88 (__TEXT,__const) external _FMSongPlaylistTimeQuantaInSamples
00007ffb426d5c90 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_128
00007ffb426d5c98 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_192
00007ffb426d5ca0 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_256
00007ffb426d5c80 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_80
00007ffb426d5c88 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_96
00007ffb426d5c68 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_48
00007ffb426d5c78 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_64
00007ffb426d5c70 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v2_48
00007ffb426d5c58 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM
00007ffb426d5c60 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM_LEF32
00007ffb426d5cb8 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_128
00007ffb426d5ca8 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_64
00007ffb426d5cb0 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_96
00007ffb426d5cd8 (__DATA_CONST,__const) external _FMSong_Option_DefaultEarlyFadeStartFromStinger
00007ffb426d5cf0 (__DATA_CONST,__const) external _FMSong_Option_IgnoreEarlyFadeMarker
00007ffb426d5ce8 (__DATA_CONST,__const) external _FMSong_Option_IgnoreStingerMarkerForShortening
00007ffb426d5d00 (__DATA_CONST,__const) external _FMSong_Option_LoopSongForLongDurations
00007ffb426d5cf8 (__DATA_CONST,__const) external _FMSong_Option_MaxOutroLengthToReserve
00007ffb426d5ce0 (__DATA_CONST,__const) external _FMSong_Option_MinLengthForEarlyFade
00007ffb426d5cd0 (__DATA_CONST,__const) external _FMSong_Option_OutroCanBeShortened
00007ffb426d5cc8 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroEarlyFade
00007ffb426d5cc0 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroStinger
00007ffb426d55c0 (__DATA_CONST,__const) external _FMTagID_Arousal_Prefix
00007ffb426d55b0 (__DATA_CONST,__const) external _FMTagID_Genre_Prefix
00007ffb426d55a8 (__DATA_CONST,__const) external _FMTagID_MoodAlt_Prefix
00007ffb426d5598 (__DATA_CONST,__const) external _FMTagID_Mood_Prefix
00007ffb426d55d8 (__DATA_CONST,__const) external _FMTagID_Region_Prefix
00007ffb426d55a0 (__DATA_CONST,__const) external _FMTagID_SongPace_Prefix
00007ffb426d55b8 (__DATA_CONST,__const) external _FMTagID_Style_Prefix
00007ffb426d55c8 (__DATA_CONST,__const) external _FMTagID_Valence_Prefix
00007ffb426d55d0 (__DATA_CONST,__const) external _FMTagID_VisualTempo_Prefix
00007ffb426d6160 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBar
00007ffb426d6168 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBarIndex
00007ffb426d6170 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBeatsPerBar
00007ffb426d6178 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeat
00007ffb426d6180 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBarIndex
00007ffb426d6188 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBeatIndex
00007ffb426d6198 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierLoopPoints
00007ffb426d6190 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierOnset
00007ffb426d60d0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSection
00007ffb426d60e0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyBodyNumber
00007ffb426d60f8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyFadeToBlackTime
00007ffb426d60f0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroEarlyFade
00007ffb426d60e8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroStinger
00007ffb426d60d8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyType
00007ffb426d6100 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegment
00007ffb426d6128 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBarsUsed
00007ffb426d6120 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyLetter
00007ffb426d6118 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyNumber
00007ffb426d6130 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyEnergy
00007ffb426d6158 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyFadeToBlackTime
00007ffb426d6150 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyLoudness
00007ffb426d6140 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroEarlyFade
00007ffb426d6138 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroStinger
00007ffb426d6148 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPeakValue
00007ffb426d6110 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPriority
00007ffb426d6108 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyType
00007ffb1a6d073a (__TEXT,__text) external _FlexCheckedDynamicCast
00007ffb426d60c0 (__DATA_CONST,__const) external _FlexDBGenreEntityName
00007ffb426d60c8 (__DATA_CONST,__const) external _FlexDBRegionEntityName
00007ffb426d60b8 (__DATA_CONST,__const) external _FlexDBSongEntityName
00007ffb1a6d06ea (__TEXT,__text) external _FlexDynamicCast
00007ffb426d52a8 (__DATA_CONST,__const) external _FlexLocalDBArousalField
00007ffb426d5258 (__DATA_CONST,__const) external _FlexLocalDBArtistNameField
00007ffb426d5288 (__DATA_CONST,__const) external _FlexLocalDBArtworkLocalURLField
00007ffb426d5268 (__DATA_CONST,__const) external _FlexLocalDBArtworkVersionField
00007ffb426d52e0 (__DATA_CONST,__const) external _FlexLocalDBAudioEncoderPresetNameField
00007ffb426d5278 (__DATA_CONST,__const) external _FlexLocalDBCKRecordIDField
00007ffb426d5270 (__DATA_CONST,__const) external _FlexLocalDBCompatibilityVersionField
00007ffb426d52d8 (__DATA_CONST,__const) external _FlexLocalDBFormatField
00007ffb426d52c8 (__DATA_CONST,__const) external _FlexLocalDBGenreStringsField
00007ffb426d52e8 (__DATA_CONST,__const) external _FlexLocalDBHiddenField
00007ffb426d5298 (__DATA_CONST,__const) external _FlexLocalDBMoodAltField
00007ffb426d5290 (__DATA_CONST,__const) external _FlexLocalDBMoodField
00007ffb426d52a0 (__DATA_CONST,__const) external _FlexLocalDBPaceField
00007ffb426d52f0 (__DATA_CONST,__const) external _FlexLocalDBRecalledField
00007ffb426d52d0 (__DATA_CONST,__const) external _FlexLocalDBRegionsField
00007ffb426d5280 (__DATA_CONST,__const) external _FlexLocalDBSongBundleLocalURLField
00007ffb426d5250 (__DATA_CONST,__const) external _FlexLocalDBSongNameField
00007ffb426d5260 (__DATA_CONST,__const) external _FlexLocalDBSongVersionField
00007ffb426d52c0 (__DATA_CONST,__const) external _FlexLocalDBStyleField
00007ffb426d52b0 (__DATA_CONST,__const) external _FlexLocalDBValenceField
00007ffb426d52b8 (__DATA_CONST,__const) external _FlexLocalDBVisualTempoField
00007ffb1a6d02aa (__TEXT,__text) external _FlexLogForCategory
00007ffb426d5358 (__DATA_CONST,__const) external _FlexMLArtistNameKey
00007ffb426d5370 (__DATA_CONST,__const) external _FlexMLAudioEncoderPresetKey
00007ffb426d53b0 (__DATA_CONST,__const) external _FlexMLAudioFileExtensionKey
00007ffb426d5410 (__DATA_CONST,__const) external _FlexMLBarTimesKey
00007ffb426d5408 (__DATA_CONST,__const) external _FlexMLBeatTimesKey
00007ffb426d5390 (__DATA_CONST,__const) external _FlexMLCompatibilityVersionKey
00007ffb426d5388 (__DATA_CONST,__const) external _FlexMLContentVersionKey
00007ffb426d5378 (__DATA_CONST,__const) external _FlexMLCustomOptionsKey
00007ffb426d5430 (__DATA_CONST,__const) external _FlexMLGainFunctionGainKey
00007ffb426d5428 (__DATA_CONST,__const) external _FlexMLGainFunctionKey
00007ffb426d5438 (__DATA_CONST,__const) external _FlexMLLoopTimesKey
00007ffb426d5418 (__DATA_CONST,__const) external _FlexMLLoudnessKey
00007ffb426d5420 (__DATA_CONST,__const) external _FlexMLPeakKey
00007ffb426d5440 (__DATA_CONST,__const) external _FlexMLPlistRuntimeVersionKey
00007ffb426d53d8 (__DATA_CONST,__const) external _FlexMLSampleRateKey
00007ffb426d53c0 (__DATA_CONST,__const) external _FlexMLSegmentDurationKey
00007ffb426d53a0 (__DATA_CONST,__const) external _FlexMLSegmentTimeKey
00007ffb426d53d0 (__DATA_CONST,__const) external _FlexMLSegmentsKey
00007ffb426d53e0 (__DATA_CONST,__const) external _FlexMLSongBeatsKey
00007ffb426d5368 (__DATA_CONST,__const) external _FlexMLSongFileKey
00007ffb426d5360 (__DATA_CONST,__const) external _FlexMLSongIDKey
00007ffb426d5338 (__DATA_CONST,__const) external _FlexMLSongMetadataFileExtension
00007ffb426d5350 (__DATA_CONST,__const) external _FlexMLSongNameKey
00007ffb426d5348 (__DATA_CONST,__const) external _FlexMLSongSummariesFolderName
00007ffb426d5340 (__DATA_CONST,__const) external _FlexMLSongSummaryFileExtension
00007ffb426d53b8 (__DATA_CONST,__const) external _FlexMLSummaryDurationKey
00007ffb426d5380 (__DATA_CONST,__const) external _FlexMLSummaryMappingKey
00007ffb426d5398 (__DATA_CONST,__const) external _FlexMLSummaryTimeKey
00007ffb426d53a8 (__DATA_CONST,__const) external _FlexMLTagIDs
00007ffb426d53c8 (__DATA_CONST,__const) external _FlexMLTrackTimeKey
00007ffb426d5400 (__DATA_CONST,__const) external _FlexMLVideoCuesFadeToBlackKey
00007ffb426d53f8 (__DATA_CONST,__const) external _FlexMLVideoCuesGoodCuesKey
00007ffb426d53f0 (__DATA_CONST,__const) external _FlexMLVideoCuesGreatCuesKey
00007ffb426d53e8 (__DATA_CONST,__const) external _FlexMLVideoCuesKey
00007ffb426d5518 (__DATA_CONST,__const) external _FlexMobileAssetAttributeArtistName
00007ffb426d54e8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAssetType
00007ffb426d5550 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAudioEncoderPresetName
00007ffb426d5538 (__DATA_CONST,__const) external _FlexMobileAssetAttributeClientIDs
00007ffb426d5540 (__DATA_CONST,__const) external _FlexMobileAssetAttributeHiddenIDs
00007ffb426d5528 (__DATA_CONST,__const) external _FlexMobileAssetAttributeKeywords
00007ffb426d5548 (__DATA_CONST,__const) external _FlexMobileAssetAttributeRecalled
00007ffb426d5558 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongBundleFormat
00007ffb426d5510 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongName
00007ffb426d5520 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongTags
00007ffb426d5508 (__DATA_CONST,__const) external _FlexMobileAssetAttributeUUID
00007ffb426d5530 (__DATA_CONST,__const) external _FlexMobileAssetAttributeWeightedKeywords
00007ffb426d5568 (__DATA_CONST,__const) external _FlexMobileAssetCompatibilityVersion
00007ffb426d5560 (__DATA_CONST,__const) external _FlexMobileAssetContentVersion
00007ffb426d54d8 (__DATA_CONST,__const) external _FlexMobileAssetJettyClientID
00007ffb426d54d0 (__DATA_CONST,__const) external _FlexMobileAssetMiroClientID
00007ffb426d54f8 (__DATA_CONST,__const) external _FlexMobileAssetPropertyArtwork
00007ffb426d5500 (__DATA_CONST,__const) external _FlexMobileAssetPropertyMetadata
00007ffb426d54f0 (__DATA_CONST,__const) external _FlexMobileAssetPropertySongBundle
00007ffb426d54e0 (__DATA_CONST,__const) external _FlexMobileAssetiMovieClientID
00007ffb1a703e9c (__TEXT,__const) external _FlexSegment_MaxBodySegmentPriority
00007ffb1a703e98 (__TEXT,__const) external _FlexSegment_MinBodySegmentPriority
00007ffb1a703e90 (__TEXT,__const) external _FlexSegment_UseCustomBarMarkers
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLNameKey (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMix (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMixInputParameters (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableComposition (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVURLAsset (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_CKRecordID (from CloudKit)
00007ffb44486280 (__DATA,__objc_data) external _OBJC_CLASS_$_FMClip
00007ffb44485808 (__DATA,__objc_data) external _OBJC_CLASS_$_FMDownloadOptions
00007ffb444855d8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMFetchOptions
00007ffb444857b8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMKeyFrame
00007ffb44485f38 (__DATA,__objc_data) external _OBJC_CLASS_$_FMMixParameters
00007ffb44485b28 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSong
00007ffb44485ad8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongAsset
00007ffb444858a8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongLibrary
00007ffb444859e8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongMetadata
00007ffb44485858 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongRendition
00007ffb44486168 (__DATA,__objc_data) external _OBJC_CLASS_$_FMTimedMetadataItem
00007ffb44485bc8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMTrack
00007ffb444856c8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexCloudManager
00007ffb44486118 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexCloudSongAsset
00007ffb444862a8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLegacySongRendition
00007ffb44485d58 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBController
00007ffb44485fb0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBGenre
00007ffb44485ba0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBLastCloudUpdate
00007ffb444860a0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBRegion
00007ffb444860f0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSong
00007ffb444858f8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSongData
00007ffb44485c40 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLGainValue
00007ffb44485c68 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSegment
00007ffb44485948 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSong
00007ffb44485d08 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSongRendition
00007ffb44485c18 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSummary
00007ffb44485998 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSummaryManager
00007ffb44485da8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMarker
00007ffb44485e20 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMobileAssetManagerV2
00007ffb44485678 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexReachability
00007ffb44486208 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSegment
00007ffb44485650 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSegmentAssemblyInfo
00007ffb444861e0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSegmentAudioFileInfo
00007ffb44485ee8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSong
00007ffb44485a38 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V1
00007ffb44485a88 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V2
00007ffb44485538 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongBackend
00007ffb44485740 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongMetaDataReader_V2
00007ffb44485790 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongMetadataReaderUtils
00007ffb44485e98 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongProxy
00007ffb44485fd8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexTestingContext
00007ffb44485588 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexTransition
00007ffb44486028 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexUtilities
                 (undefined) external _OBJC_CLASS_$_MAAsset (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MAAssetQuery (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MADownloadOptions (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCountedSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSEntityDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFetchRequest (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSManagedObject (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSManagedObjectModel (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableIndexSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
