                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc135cbec4 (__TEXT,__text) external __crypt_blowfish_rn
00007ffc135ce186 (__TEXT,__text) external __crypt_gensalt_blowfish_rn
00007ffc135cbe9a (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
00007ffc135d0956 (__TEXT,__text) external _apr_base64_decode
00007ffc135d0971 (__TEXT,__text) external _apr_base64_decode_binary
00007ffc135d0927 (__TEXT,__text) external _apr_base64_decode_len
00007ffc135d0ab2 (__TEXT,__text) external _apr_base64_encode
00007ffc135d0abc (__TEXT,__text) external _apr_base64_encode_binary
00007ffc135d0a8b (__TEXT,__text) external _apr_base64_encode_len
00007ffc135cade8 (__TEXT,__text) external _apr_bcrypt_encode
00007ffc135c6fac (__TEXT,__text) external _apr_brigade_cleanup
00007ffc135c7032 (__TEXT,__text) external _apr_brigade_create
00007ffc135c6ff9 (__TEXT,__text) external _apr_brigade_destroy
00007ffc135c72b5 (__TEXT,__text) external _apr_brigade_flatten
00007ffc135c7da9 (__TEXT,__text) external _apr_brigade_insert_file
00007ffc135c7223 (__TEXT,__text) external _apr_brigade_length
00007ffc135c715a (__TEXT,__text) external _apr_brigade_partition
00007ffc135c7358 (__TEXT,__text) external _apr_brigade_pflatten
00007ffc135c7c14 (__TEXT,__text) external _apr_brigade_printf
00007ffc135c7b21 (__TEXT,__text) external _apr_brigade_putc
00007ffc135c7b43 (__TEXT,__text) external _apr_brigade_puts
00007ffc135c7b7e (__TEXT,__text) external _apr_brigade_putstrs
00007ffc135c714e (__TEXT,__text) external _apr_brigade_split
00007ffc135c7089 (__TEXT,__text) external _apr_brigade_split_ex
00007ffc135c73c5 (__TEXT,__text) external _apr_brigade_split_line
00007ffc135c7686 (__TEXT,__text) external _apr_brigade_to_iovec
00007ffc135c7ca6 (__TEXT,__text) external _apr_brigade_vprintf
00007ffc135c771d (__TEXT,__text) external _apr_brigade_vputstrs
00007ffc135c752c (__TEXT,__text) external _apr_brigade_write
00007ffc135c781d (__TEXT,__text) external _apr_brigade_writev
00007ffc135c7f21 (__TEXT,__text) external _apr_bucket_alloc
00007ffc135c7e1a (__TEXT,__text) external _apr_bucket_alloc_create
00007ffc135c7e93 (__TEXT,__text) external _apr_bucket_alloc_create_ex
00007ffc135c7eee (__TEXT,__text) external _apr_bucket_alloc_destroy
00007ffc135c7e09 (__TEXT,__text) external _apr_bucket_copy_notimpl
00007ffc135c7e14 (__TEXT,__text) external _apr_bucket_destroy_noop
00007ffc135c802f (__TEXT,__text) external _apr_bucket_eos_create
00007ffc135c800c (__TEXT,__text) external _apr_bucket_eos_make
00007ffc135c80f1 (__TEXT,__text) external _apr_bucket_file_create
00007ffc135c817d (__TEXT,__text) external _apr_bucket_file_enable_mmap
00007ffc135c808c (__TEXT,__text) external _apr_bucket_file_make
00007ffc135c84ce (__TEXT,__text) external _apr_bucket_flush_create
00007ffc135c84ab (__TEXT,__text) external _apr_bucket_flush_make
00007ffc135c7fd7 (__TEXT,__text) external _apr_bucket_free
00007ffc135c85d1 (__TEXT,__text) external _apr_bucket_heap_create
00007ffc135c852b (__TEXT,__text) external _apr_bucket_heap_make
00007ffc135c8d30 (__TEXT,__text) external _apr_bucket_immortal_create
00007ffc135c8d0c (__TEXT,__text) external _apr_bucket_immortal_make
00007ffc135c86f3 (__TEXT,__text) external _apr_bucket_mmap_create
00007ffc135c8670 (__TEXT,__text) external _apr_bucket_mmap_make
00007ffc135c887d (__TEXT,__text) external _apr_bucket_pipe_create
00007ffc135c885c (__TEXT,__text) external _apr_bucket_pipe_make
00007ffc135c8b19 (__TEXT,__text) external _apr_bucket_pool_create
00007ffc135c8a42 (__TEXT,__text) external _apr_bucket_pool_make
00007ffc135c7deb (__TEXT,__text) external _apr_bucket_setaside_noop
00007ffc135c7df3 (__TEXT,__text) external _apr_bucket_setaside_notimpl
00007ffc135c8c18 (__TEXT,__text) external _apr_bucket_shared_copy
00007ffc135c8c32 (__TEXT,__text) external _apr_bucket_shared_destroy
00007ffc135c8c3f (__TEXT,__text) external _apr_bucket_shared_make
00007ffc135c8bfc (__TEXT,__text) external _apr_bucket_shared_split
00007ffc135c8c5a (__TEXT,__text) external _apr_bucket_simple_copy
00007ffc135c8ca1 (__TEXT,__text) external _apr_bucket_simple_split
00007ffc135c8e74 (__TEXT,__text) external _apr_bucket_socket_create
00007ffc135c8e53 (__TEXT,__text) external _apr_bucket_socket_make
00007ffc135c7dfe (__TEXT,__text) external _apr_bucket_split_notimpl
00007ffc135c8db0 (__TEXT,__text) external _apr_bucket_transient_create
00007ffc135c8d8c (__TEXT,__text) external _apr_bucket_transient_make
00007ffc40281a80 (__DATA_CONST,__const) external _apr_bucket_type_eos
00007ffc40281ab8 (__DATA_CONST,__const) external _apr_bucket_type_file
00007ffc40281af0 (__DATA_CONST,__const) external _apr_bucket_type_flush
00007ffc40281b28 (__DATA_CONST,__const) external _apr_bucket_type_heap
00007ffc40281c08 (__DATA_CONST,__const) external _apr_bucket_type_immortal
00007ffc40281b60 (__DATA_CONST,__const) external _apr_bucket_type_mmap
00007ffc40281b98 (__DATA_CONST,__const) external _apr_bucket_type_pipe
00007ffc40281bd0 (__DATA_CONST,__const) external _apr_bucket_type_pool
00007ffc40281c78 (__DATA_CONST,__const) external _apr_bucket_type_socket
00007ffc40281c40 (__DATA_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
00007ffc4182cb10 (__DATA,__common) external _apr_current_hooking_module
00007ffc135d3f1c (__TEXT,__text) external _apr_date_checkmask
00007ffc135d4020 (__TEXT,__text) external _apr_date_parse_http
00007ffc135d43cc (__TEXT,__text) external _apr_date_parse_rfc
00007ffc135ceaa1 (__TEXT,__text) external _apr_dbd_check_conn
00007ffc135ceac2 (__TEXT,__text) external _apr_dbd_close
00007ffc135cf357 (__TEXT,__text) external _apr_dbd_datum_get
00007ffc135ceab2 (__TEXT,__text) external _apr_dbd_error
00007ffc135cec25 (__TEXT,__text) external _apr_dbd_escape
00007ffc135cea03 (__TEXT,__text) external _apr_dbd_get_driver
00007ffc135cec02 (__TEXT,__text) external _apr_dbd_get_entry
00007ffc135cec12 (__TEXT,__text) external _apr_dbd_get_name
00007ffc135cebeb (__TEXT,__text) external _apr_dbd_get_row
00007ffc135ce906 (__TEXT,__text) external _apr_dbd_init
