0000000000003db4 (__TEXT,__text) external _OSAtomicAdd32
0000000000003e70 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000000003f50 (__TEXT,__text) external _OSAtomicAdd64
00000000000040d0 (__TEXT,__text) external _OSAtomicAdd64Barrier
000000000000405c (__TEXT,__text) external _OSAtomicAnd32
0000000000004ad8 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000000004a44 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000000003f74 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000000003da0 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000000003e30 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000000002db4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000000003e1c (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000000004014 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000000004100 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000000004034 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000000003f80 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000000004048 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000000003e44 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000000000032c4 (__TEXT,__text) external _OSAtomicDecrement32
0000000000003edc (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000000000040c0 (__TEXT,__text) external _OSAtomicDecrement64
000000000000406c (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000000001610 (__TEXT,__text) external _OSAtomicDequeue
00000000000018cc (__TEXT,__text) external _OSAtomicEnqueue
00000000000058fc (__TEXT,__text) external _OSAtomicFifoDequeue
00000000000058ec (__TEXT,__text) external _OSAtomicFifoEnqueue
00000000000032b4 (__TEXT,__text) external _OSAtomicIncrement32
0000000000003ecc (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000000003c3c (__TEXT,__text) external _OSAtomicIncrement64
0000000000004004 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000000004028 (__TEXT,__text) external _OSAtomicOr32
0000000000003e58 (__TEXT,__text) external _OSAtomicOr32Barrier
00000000000040f8 (__TEXT,__text) external _OSAtomicOr32Orig
