00007ff80045e54a (__TEXT,__text) external _NSAddImage
00007ff80045e514 (__TEXT,__text) external _NSAddLibrary
00007ff80045e52f (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff800453131 (__TEXT,__text) external _NSAddressOfSymbol
00007ff80045e303 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff8004530ae (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff80045e321 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff8004530ef (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff80045e500 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff80045e38c (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff80045e3fd (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff80045e436 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff80045e418 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff80045e3c5 (__TEXT,__text) external _NSLibraryNameForModule
00007ff80045e4dc (__TEXT,__text) external _NSLinkEditError
00007ff8004530cf (__TEXT,__text) external _NSLinkModule
00007ff80045e454 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff80045e46f (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff80045e48d (__TEXT,__text) external _NSLookupSymbolInImage
00007ff800453113 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff80045e4c1 (__TEXT,__text) external _NSModuleForSymbol
00007ff80045e3aa (__TEXT,__text) external _NSNameOfModule
00007ff80045e4ad (__TEXT,__text) external _NSNameOfSymbol
00007ff80045e33c (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff80045e350 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff80045e364 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff80045e378 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff80045e3e0 (__TEXT,__text) external _NSUnLinkModule
00007ff80045222e (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff80045246a (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff84316b760 (__DATA_DIRTY,__common) external _NXArgc
00007ff84316b768 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff800452070 (__TEXT,__text) external __NSGetExecutablePath
00007ff80046e43b (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff80045e1e6 (__TEXT,__text) non-external (was a private external) __Z28legacyDyldLookup4OldBinariesPKcPPv
00007ff800474841 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
00007ff843350bf0 (__DATA,__bss) non-external __ZL18sCrashReporterInfo
00007ff800475326 (__TEXT,__text) non-external __ZL22exportSymbolAttrStringRKN6mach_o6SymbolE
00007ff800474fd4 (__TEXT,__text) non-external __ZL22iterateExportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_PbE
00007ff800474dfc (__TEXT,__text) non-external __ZL22iterateImportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_bPbE
00007ff800474bd2 (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
00007ff80045e2bb (__TEXT,__text) non-external __ZL43_dyld_make_delayed_module_initializer_callsv
00007ff8400904b0 (__DATA_CONST,__const) non-external __ZL8sHelpers
00007ff80046e7ac (__TEXT,__text) non-external __ZL9checkPathPKcyj
00007ff800451daa (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff80045e0e8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff80045e0ac (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcP13__va_list_tag
00007ff800452a82 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff800451c18 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00007ff800451daa (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff80046e34c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff80046e2c2 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff80046e2ae (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff80046e426 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff80045f9e5 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff80046d374 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
