0000000209670d7c (__TEXT,__text) external _AAAFSCGetMetadata
0000000209671148 (__TEXT,__text) external _AAAFSCSetMetadata
0000000209670180 (__TEXT,__text) external _AAAFSCStreamOpen
000000020967088c (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00000002096709c8 (__TEXT,__text) external _AAAFSCStreamOpenWithState
000000020960826c (__TEXT,__text) external _AAArchiveStreamCancel
0000000209608218 (__TEXT,__text) external _AAArchiveStreamClose
000000020961c014 (__TEXT,__text) external _AAArchiveStreamProcess
00000002096081c8 (__TEXT,__text) external _AAArchiveStreamReadBlob
00000002096081b0 (__TEXT,__text) external _AAArchiveStreamReadHeader
00000002096081fc (__TEXT,__text) external _AAArchiveStreamWriteBlob
00000002096081e4 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00000002096095b0 (__TEXT,__text) external _AAArchiveStreamWritePathList
000000020960cdf8 (__TEXT,__text) external _AAAssetBuilderAddFilter
000000020960cd0c (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
000000020960cc58 (__TEXT,__text) external _AAAssetBuilderCreate
000000020960cd00 (__TEXT,__text) external _AAAssetBuilderDestroy
0000000209666788 (__TEXT,__text) external _AAAssetBuilderGenerate
000000020960ced0 (__TEXT,__text) external _AAAssetBuilderGetParameter
000000020960ce00 (__TEXT,__text) external _AAAssetBuilderSetParameter
000000020960d4fc (__TEXT,__text) external _AAAssetExtractorCreate
000000020960da40 (__TEXT,__text) external _AAAssetExtractorDestroy
000000020960e41c (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
000000020960e390 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
000000020960df08 (__TEXT,__text) external _AAAssetExtractorWrite
0000000209677d84 (__TEXT,__text) external _AAAsyncByteStreamCancel
0000000209677d98 (__TEXT,__text) external _AAAsyncByteStreamClose
0000000209677798 (__TEXT,__text) external _AAAsyncByteStreamGetRange
0000000209677be8 (__TEXT,__text) external _AAAsyncByteStreamProcess
0000000209637cf8 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
000000020961d054 (__TEXT,__text) external _AAByteRangeAdd
000000020961cf54 (__TEXT,__text) external _AAByteRangeClone
000000020961ce8c (__TEXT,__text) external _AAByteRangeCreate
000000020961cf10 (__TEXT,__text) external _AAByteRangeDestroy
000000020961d260 (__TEXT,__text) external _AAByteRangeFirst
000000020961d3b8 (__TEXT,__text) external _AAByteRangeNext
000000020961d1e8 (__TEXT,__text) external _AAByteRangeOffsetAtSize
000000020961d164 (__TEXT,__text) external _AAByteRangeSizeAtOffset
000000020961d0e0 (__TEXT,__text) external _AAByteRangeSub
000000020966efe4 (__TEXT,__text) external _AAByteStreamCancel
000000020966eff8 (__TEXT,__text) external _AAByteStreamClose
000000020966f04c (__TEXT,__text) external _AAByteStreamCloseWithState
000000020966f0b4 (__TEXT,__text) external _AAByteStreamFlush
000000020966efb4 (__TEXT,__text) external _AAByteStreamPRead
000000020966f0e4 (__TEXT,__text) external _AAByteStreamPReadAsync
000000020966ef84 (__TEXT,__text) external _AAByteStreamPWrite
000000020964b678 (__TEXT,__text) external _AAByteStreamProcess
000000020966ef9c (__TEXT,__text) external _AAByteStreamRead
000000020966efcc (__TEXT,__text) external _AAByteStreamSeek
000000020966f0cc (__TEXT,__text) external _AAByteStreamTruncate
000000020966ee9c (__TEXT,__text) external _AAByteStreamWrite
00000002096362a4 (__TEXT,__text) external _AAChunkAsyncStreamOpen
000000020963597c (__TEXT,__text) external _AAChunkInputStreamOpen
000000020964887c (__TEXT,__text) external _AAChunkOutputStreamOpen
0000000209673aa8 (__TEXT,__text) external _AACompressionOutputStreamOpen
000000020967448c (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
000000020963ef7c (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
0000000209608280 (__TEXT,__text) external _AACustomArchiveStreamOpen
0000000209608304 (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00000002096082fc (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00000002096082f4 (__TEXT,__text) external _AACustomArchiveStreamSetData
0000000209608324 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
000000020960831c (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
0000000209608314 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
000000020960830c (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00000002096700e0 (__TEXT,__text) external _AACustomByteStreamOpen
0000000209670178 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
0000000209670148 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
0000000209670140 (__TEXT,__text) external _AACustomByteStreamSetData
0000000209670158 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
0000000209670168 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
0000000209670150 (__TEXT,__text) external _AACustomByteStreamSetReadProc
0000000209670170 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
0000000209670160 (__TEXT,__text) external _AACustomByteStreamSetWriteProc
000000020966e3b8 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
000000020966f9a0 (__TEXT,__text) external _AADecompressionInputStreamOpen
0000000209676ca0 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
000000020966c624 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00000002096653f8 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
0000000209665ff4 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
0000000209665fe4 (__TEXT,__text) external _AAEntryACLBlobClear
0000000209665e38 (__TEXT,__text) external _AAEntryACLBlobCreate
0000000209665f24 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
0000000209665f80 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
0000000209665eac (__TEXT,__text) external _AAEntryACLBlobDestroy
0000000209666780 (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
