000000021a47911c (__TEXT,__text) non-external +[CBOR cborFalse]
000000021a479094 (__TEXT,__text) non-external +[CBOR cborNil]
000000021a4790d8 (__TEXT,__text) non-external +[CBOR cborTrue]
000000021a478b6c (__TEXT,__text) non-external +[CBOR cborWithArray:]
000000021a478d14 (__TEXT,__text) non-external +[CBOR cborWithData:]
000000021a478f74 (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
000000021a478c0c (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
000000021a478cac (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
000000021a478aec (__TEXT,__text) non-external +[CBOR cborWithDouble:]
000000021a479160 (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
000000021a478a6c (__TEXT,__text) non-external +[CBOR cborWithFloat:]
000000021a478e54 (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
000000021a4789ec (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
000000021a478884 (__TEXT,__text) non-external +[CBOR cborWithInteger:]
000000021a478db4 (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
000000021a478940 (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
000000021a4754f0 (__TEXT,__text) non-external +[CBOR decodeFromBytes:length:recursionLevel:keepKeyOrdering:]
000000021a4760d8 (__TEXT,__text) non-external +[CBOR decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:]
000000021a476780 (__TEXT,__text) non-external +[CBOR decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:]
000000021a476b6c (__TEXT,__text) non-external +[CBOR decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:]
000000021a4740dc (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
000000021a4745c4 (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
000000021a474574 (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
000000021a47a9b8 (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
000000021a47d744 (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
000000021a475450 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
000000021a475458 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
000000021a474628 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
000000021a474630 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
000000021a47bbc8 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
000000021a47d74c (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
000000021a4792ec (__TEXT,__text) non-external -[CBOR .cxx_destruct]
000000021a477c50 (__TEXT,__text) non-external -[CBOR array]
000000021a477a5c (__TEXT,__text) non-external -[CBOR boolValue]
000000021a477368 (__TEXT,__text) non-external -[CBOR copyWithZone:]
000000021a477ba0 (__TEXT,__text) non-external -[CBOR data]
000000021a477d28 (__TEXT,__text) non-external -[CBOR date]
000000021a47830c (__TEXT,__text) non-external -[CBOR description]
000000021a477cbc (__TEXT,__text) non-external -[CBOR dictionary]
000000021a477964 (__TEXT,__text) non-external -[CBOR doubleValue]
000000021a479228 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
