00000002004f9998 (__TEXT,__text) non-external _Done_iODBC
0000000200518a90 (__TEXT,__const) non-external _FunctionNumbers
0000000200517908 (__TEXT,__text) non-external _GetPrivateProfileString
00000002004f9814 (__TEXT,__text) non-external _Init_iODBC
000000020e30bd3c (__DATA,__common) non-external _ODBCSharedTraceFlag
00000002004f7f54 (__TEXT,__text) external _SQLAllocConnect
00000002004f7e68 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00000002004f9784 (__TEXT,__text) external _SQLAllocEnv
00000002004f95e0 (__TEXT,__text) non-external _SQLAllocEnv_Internal
0000000200503810 (__TEXT,__text) external _SQLAllocHandle
0000000200503928 (__TEXT,__text) non-external _SQLAllocHandleStd
000000020050356c (__TEXT,__text) non-external _SQLAllocHandle_Internal
00000002004fc464 (__TEXT,__text) external _SQLAllocStmt
00000002004fbfa8 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00000002005014c8 (__TEXT,__text) external _SQLBindCol
0000000200509510 (__TEXT,__text) external _SQLBindParam
0000000200500934 (__TEXT,__text) external _SQLBindParameter
00000002004f4dc4 (__TEXT,__text) external _SQLBrowseConnect
00000002004f4f0c (__TEXT,__text) external _SQLBrowseConnectA
00000002004f5054 (__TEXT,__text) external _SQLBrowseConnectW
00000002004f4880 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000020050901c (__TEXT,__text) external _SQLBulkOperations
00000002004fd39c (__TEXT,__text) external _SQLCancel
0000000200509554 (__TEXT,__text) external _SQLCloseCursor
0000000200508a60 (__TEXT,__text) external _SQLColAttribute
0000000200508c08 (__TEXT,__text) external _SQLColAttributeA
0000000200508db0 (__TEXT,__text) external _SQLColAttributeW
0000000200508374 (__TEXT,__text) non-external _SQLColAttribute_Internal
0000000200503074 (__TEXT,__text) external _SQLColAttributes
000000020050321c (__TEXT,__text) external _SQLColAttributesA
00000002005033c4 (__TEXT,__text) external _SQLColAttributesW
0000000200502bc0 (__TEXT,__text) non-external _SQLColAttributes_Internal
00000002004edb4c (__TEXT,__text) external _SQLColumnPrivileges
00000002004edd30 (__TEXT,__text) external _SQLColumnPrivilegesA
00000002004edf14 (__TEXT,__text) external _SQLColumnPrivilegesW
00000002004ed8b8 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00000002004ee38c (__TEXT,__text) external _SQLColumns
00000002004ee570 (__TEXT,__text) external _SQLColumnsA
00000002004ee754 (__TEXT,__text) external _SQLColumnsW
00000002004ee0f8 (__TEXT,__text) non-external _SQLColumns_Internal
00000002004f204c (__TEXT,__text) external _SQLConnect
00000002004f27dc (__TEXT,__text) external _SQLConnectA
00000002004f293c (__TEXT,__text) external _SQLConnectW
00000002004f21ac (__TEXT,__text) non-external _SQLConnect_Internal
000000020051852c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000002005081f8 (__TEXT,__text) external _SQLCopyDesc
00000002004fdec8 (__TEXT,__text) external _SQLDataSources
00000002004fe010 (__TEXT,__text) external _SQLDataSourcesA
00000002004fe158 (__TEXT,__text) external _SQLDataSourcesW
00000002004fda64 (__TEXT,__text) non-external _SQLDataSources_Internal
000000020e30bcc0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000020e30bce0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000020e30bce8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00000002005025e4 (__TEXT,__text) external _SQLDescribeCol
00000002005027d8 (__TEXT,__text) external _SQLDescribeColA
00000002005029cc (__TEXT,__text) external _SQLDescribeColW
0000000200502348 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00000002004f6d0c (__TEXT,__text) external _SQLDescribeParam
00000002004f519c (__TEXT,__text) external _SQLDisconnect
00000002004f440c (__TEXT,__text) external _SQLDriverConnect
00000002004f4588 (__TEXT,__text) external _SQLDriverConnectA
00000002004f4704 (__TEXT,__text) external _SQLDriverConnectW
00000002004f2a9c (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000200518558 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
0000000200518584 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00000002004fe760 (__TEXT,__text) external _SQLDrivers
00000002004fe8a8 (__TEXT,__text) external _SQLDriversA
00000002004fe9f0 (__TEXT,__text) external _SQLDriversW
00000002004fe37c (__TEXT,__text) non-external _SQLDrivers_Internal
000000020e30bcc4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000020e30bcf0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000020e30bcf8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000200508f58 (__TEXT,__text) external _SQLEndTran
00000002004fa124 (__TEXT,__text) external _SQLError
00000002004fa24c (__TEXT,__text) external _SQLErrorA
00000002004fa374 (__TEXT,__text) external _SQLErrorW
00000002004f6214 (__TEXT,__text) external _SQLExecDirect
00000002004f6364 (__TEXT,__text) external _SQLExecDirectA
00000002004f64b4 (__TEXT,__text) external _SQLExecDirectW
00000002004f5fb8 (__TEXT,__text) non-external _SQLExecDirect_Internal
00000002004f5cf0 (__TEXT,__text) external _SQLExecute
00000002004f7404 (__TEXT,__text) external _SQLExtendedFetch
00000002004f7148 (__TEXT,__text) external _SQLFetch
000000020050920c (__TEXT,__text) external _SQLFetchScroll
00000002004f6f8c (__TEXT,__text) non-external _SQLFetch_Internal
00000002004eec8c (__TEXT,__text) external _SQLForeignKeys
00000002004eef48 (__TEXT,__text) external _SQLForeignKeysA
00000002004ef204 (__TEXT,__text) external _SQLForeignKeysW
00000002004ee938 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00000002004f80c8 (__TEXT,__text) external _SQLFreeConnect
00000002004f8018 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000002004f98ec (__TEXT,__text) external _SQLFreeEnv
00000002004f9860 (__TEXT,__text) non-external _SQLFreeEnv_Internal
0000000200503a40 (__TEXT,__text) external _SQLFreeHandle
00000002004fc8b8 (__TEXT,__text) external _SQLFreeStmt
00000002004fc6ac (__TEXT,__text) non-external _SQLFreeStmt_Internal
0000000200515118 (__TEXT,__text) non-external _SQLGetConfigMode
0000000200506348 (__TEXT,__text) external _SQLGetConnectAttr
00000002005067fc (__TEXT,__text) external _SQLGetConnectAttrA
0000000200506950 (__TEXT,__text) external _SQLGetConnectAttrW
000000020050649c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00000002004f8e98 (__TEXT,__text) external _SQLGetConnectOption
00000002004f8fc4 (__TEXT,__text) external _SQLGetConnectOptionA
00000002004f90f0 (__TEXT,__text) external _SQLGetConnectOptionW
0000000200501a18 (__TEXT,__text) external _SQLGetCursorName
0000000200501b80 (__TEXT,__text) external _SQLGetCursorNameA
0000000200501ce8 (__TEXT,__text) external _SQLGetCursorNameW
000000020050181c (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000002004f758c (__TEXT,__text) external _SQLGetData
0000000200506d14 (__TEXT,__text) external _SQLGetDescField
0000000200506e88 (__TEXT,__text) external _SQLGetDescFieldA
0000000200506ffc (__TEXT,__text) external _SQLGetDescFieldW
0000000200506aa4 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000020050791c (__TEXT,__text) external _SQLGetDescRec
0000000200507b50 (__TEXT,__text) external _SQLGetDescRecA
0000000200507d84 (__TEXT,__text) external _SQLGetDescRecW
0000000200507720 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00000002004fbc84 (__TEXT,__text) external _SQLGetDiagField
00000002004fbd90 (__TEXT,__text) external _SQLGetDiagFieldA
00000002004fbe9c (__TEXT,__text) external _SQLGetDiagFieldW
00000002004fae08 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00000002004faaa8 (__TEXT,__text) external _SQLGetDiagRec
00000002004fabc8 (__TEXT,__text) external _SQLGetDiagRecA
00000002004face8 (__TEXT,__text) external _SQLGetDiagRecW
00000002004fa49c (__TEXT,__text) non-external _SQLGetDiagRec_Internal
0000000200504140 (__TEXT,__text) external _SQLGetEnvAttr
00000002004ff628 (__TEXT,__text) external _SQLGetFunctions
00000002004ff22c (__TEXT,__text) external _SQLGetInfo
00000002004ff380 (__TEXT,__text) external _SQLGetInfoA
00000002004ff4d4 (__TEXT,__text) external _SQLGetInfoW
00000002004fec14 (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000200517fa0 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000200517fec (__TEXT,__text) non-external _SQLGetKeywordValueW
0000000200517ae4 (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000200517ce4 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00000002005049b8 (__TEXT,__text) external _SQLGetStmtAttr
0000000200504b30 (__TEXT,__text) external _SQLGetStmtAttrA
0000000200504ca8 (__TEXT,__text) external _SQLGetStmtAttrW
0000000200504324 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00000002004fd104 (__TEXT,__text) external _SQLGetStmtOption
00000002004fd250 (__TEXT,__text) external _SQLGetStmtOptionA
00000002004fcf24 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00000002004ebb4c (__TEXT,__text) external _SQLGetTypeInfo
00000002004ebc8c (__TEXT,__text) external _SQLGetTypeInfoA
00000002004ebdcc (__TEXT,__text) external _SQLGetTypeInfoW
00000002004eb98c (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00000002004f7904 (__TEXT,__text) external _SQLMoreResults
00000002004f559c (__TEXT,__text) external _SQLNativeSql
00000002004f5708 (__TEXT,__text) external _SQLNativeSqlA
00000002004f5874 (__TEXT,__text) external _SQLNativeSqlW
00000002004f5324 (__TEXT,__text) non-external _SQLNativeSql_Internal
00000002004f6b04 (__TEXT,__text) external _SQLNumParams
0000000200502134 (__TEXT,__text) external _SQLNumResultCols
00000002004f687c (__TEXT,__text) external _SQLParamData
0000000200500d34 (__TEXT,__text) external _SQLParamOptions
00000002004fff9c (__TEXT,__text) external _SQLPrepare
00000002005000ec (__TEXT,__text) external _SQLPrepareA
000000020050023c (__TEXT,__text) external _SQLPrepareW
00000002004ffd88 (__TEXT,__text) non-external _SQLPrepare_Internal
00000002004ef6f0 (__TEXT,__text) external _SQLPrimaryKeys
00000002004ef898 (__TEXT,__text) external _SQLPrimaryKeysA
00000002004efa40 (__TEXT,__text) external _SQLPrimaryKeysW
00000002004ef4c0 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00000002004efe7c (__TEXT,__text) external _SQLProcedureColumns
00000002004f0060 (__TEXT,__text) external _SQLProcedureColumnsA
00000002004f0244 (__TEXT,__text) external _SQLProcedureColumnsW
00000002004efbe8 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00000002004f0658 (__TEXT,__text) external _SQLProcedures
00000002004f0800 (__TEXT,__text) external _SQLProceduresA
00000002004f09a8 (__TEXT,__text) external _SQLProceduresW
00000002004f0428 (__TEXT,__text) non-external _SQLProcedures_Internal
00000002004f6604 (__TEXT,__text) external _SQLPutData
000000020051484c (__TEXT,__text) non-external _SQLReadFileDSN
00000002005149dc (__TEXT,__text) non-external _SQLReadFileDSNW
0000000200501e50 (__TEXT,__text) external _SQLRowCount
0000000200518038 (__TEXT,__text) non-external _SQLSetConfigMode
0000000200505d50 (__TEXT,__text) external _SQLSetConnectAttr
00000002005060c0 (__TEXT,__text) external _SQLSetConnectAttrA
0000000200506204 (__TEXT,__text) external _SQLSetConnectAttrW
0000000200505e94 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00000002004f8720 (__TEXT,__text) external _SQLSetConnectOption
00000002004f884c (__TEXT,__text) external _SQLSetConnectOptionA
00000002004f8978 (__TEXT,__text) external _SQLSetConnectOptionW
0000000200500544 (__TEXT,__text) external _SQLSetCursorName
0000000200500694 (__TEXT,__text) external _SQLSetCursorNameA
00000002005007e4 (__TEXT,__text) external _SQLSetCursorNameW
000000020050038c (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000020050730c (__TEXT,__text) external _SQLSetDescField
0000000200507468 (__TEXT,__text) external _SQLSetDescFieldA
00000002005075c4 (__TEXT,__text) external _SQLSetDescFieldW
0000000200507170 (__TEXT,__text) non-external _SQLSetDescField_Internal
0000000200507fb8 (__TEXT,__text) external _SQLSetDescRec
0000000200503f2c (__TEXT,__text) external _SQLSetEnvAttr
000000020050404c (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00000002005184e8 (__TEXT,__text) non-external _SQLSetKeywordValue
00000002005184f4 (__TEXT,__text) non-external _SQLSetKeywordValueW
0000000200501484 (__TEXT,__text) external _SQLSetParam
00000002004f7d04 (__TEXT,__text) external _SQLSetPos
0000000200500fe8 (__TEXT,__text) external _SQLSetScrollOptions
0000000200505918 (__TEXT,__text) external _SQLSetStmtAttr
0000000200505a80 (__TEXT,__text) external _SQLSetStmtAttrA
0000000200505be8 (__TEXT,__text) external _SQLSetStmtAttrW
0000000200504e20 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00000002004fca04 (__TEXT,__text) external _SQLSetStmtOption
00000002004fcdd8 (__TEXT,__text) external _SQLSetStmtOptionA
00000002004fcb50 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00000002004ec19c (__TEXT,__text) external _SQLSpecialColumns
00000002004ec3dc (__TEXT,__text) external _SQLSpecialColumnsA
00000002004ec61c (__TEXT,__text) external _SQLSpecialColumnsW
00000002004ebf0c (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00000002004ecacc (__TEXT,__text) external _SQLStatistics
00000002004eccb0 (__TEXT,__text) external _SQLStatisticsA
00000002004ece94 (__TEXT,__text) external _SQLStatisticsW
00000002004ec85c (__TEXT,__text) non-external _SQLStatistics_Internal
00000002004f0d80 (__TEXT,__text) external _SQLTablePrivileges
00000002004f0f28 (__TEXT,__text) external _SQLTablePrivilegesA
