                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8102055ee (__TEXT,__text) non-external _alone_decode
00007ff8102058a8 (__TEXT,__text) non-external _alone_decoder_end
00007ff8102058c9 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff81020417b (__TEXT,__text) non-external _alone_encode
00007ff81020423f (__TEXT,__text) non-external _alone_encoder_end
00007ff810204000 (__TEXT,__text) non-external _alone_encoder_init
00007ff81020faca (__TEXT,__text) non-external _arm64_code
00007ff810212aa9 (__TEXT,__text) non-external _arm_code
00007ff810212b73 (__TEXT,__text) non-external _armthumb_code
00007ff810205a8f (__TEXT,__text) non-external _auto_decode
00007ff810205bd4 (__TEXT,__text) non-external _auto_decoder_end
00007ff810205bf5 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff8102059b3 (__TEXT,__text) non-external _auto_decoder_init
00007ff810205c0c (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff8102186b0 (__TEXT,__const) non-external _bcj_optmap
00007ff8102042fc (__TEXT,__text) non-external _block_buffer_encode
00007ff810205f18 (__TEXT,__text) non-external _block_decode
00007ff81020619b (__TEXT,__text) non-external _block_decoder_end
00007ff8101feea1 (__TEXT,__text) non-external _block_encode
00007ff8102045ce (__TEXT,__text) non-external _block_encode_normal
00007ff810204730 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff81020313a (__TEXT,__text) non-external _block_encoder_end
00007ff8101fd101 (__TEXT,__text) non-external _block_encoder_init
00007ff8102048b1 (__TEXT,__text) non-external _block_encoder_update
00007ff810201f84 (__TEXT,__text) non-external _bt_find_func
00007ff8101fffc8 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _clock_gettime (from libSystem)
00007ff810212400 (__TEXT,__text) non-external _copy_or_code
00007ff81020aa95 (__TEXT,__text) non-external _decode_buffer
00007ff8102065db (__TEXT,__text) non-external _decoder_find
00007ff841565500 (__DATA_CONST,__const) non-external _decoders
00007ff810211ca5 (__TEXT,__text) non-external _delta_coder_end
00007ff810211e84 (__TEXT,__text) non-external _delta_decode
00007ff810211d16 (__TEXT,__text) non-external _delta_encode
00007ff810211e33 (__TEXT,__text) non-external _delta_encoder_update
00007ff8102186d0 (__TEXT,__const) non-external _delta_optmap
00007ff8101fd665 (__TEXT,__text) non-external _encoder_find
00007ff841565290 (__DATA_CONST,__const) non-external _encoders
00007ff810214480 (__TEXT,__const) non-external _features
00007ff81020b659 (__TEXT,__text) non-external _file_info_decode
00007ff81020bd1c (__TEXT,__text) non-external _file_info_decoder_end
00007ff81020bd5c (__TEXT,__text) non-external _file_info_decoder_memconfig
00007ff841565660 (__DATA_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00007ff8102020fa (__TEXT,__text) non-external _get_literal_price
00007ff81021309c (__TEXT,__text) non-external _get_options
00007ff810213ac6 (__TEXT,__text) non-external _get_progress
00007ff810211649 (__TEXT,__text) non-external _get_thread
00007ff810206e81 (__TEXT,__text) non-external _hash_append
00007ff810208bb2 (__TEXT,__text) non-external _hc_find_func
00007ff81021286f (__TEXT,__text) non-external _ia64_code
00007ff81021a850 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff810203b9f (__TEXT,__text) non-external _index_cat_helper
00007ff81020685d (__TEXT,__text) non-external _index_decode
00007ff810206b4c (__TEXT,__text) non-external _index_decoder_end
00007ff810206b71 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff810202931 (__TEXT,__text) non-external _index_encode
00007ff8102031e8 (__TEXT,__text) non-external _index_encoder_end
00007ff810203242 (__TEXT,__text) non-external _index_stream_end
00007ff8101fcdc7 (__TEXT,__text) non-external _index_tree_append
00007ff8102031f2 (__TEXT,__text) non-external _index_tree_node_end
00007ff8101fdde1 (__TEXT,__text) non-external _is_options_valid
00007ff810202d92 (__TEXT,__text) non-external _iter_set_info
00007ff8102023d5 (__TEXT,__text) non-external _length
00007ff8101fde22 (__TEXT,__text) non-external _length_encoder_reset
00007ff8101fdef7 (__TEXT,__text) non-external _length_update_prices
00007ff81020a8aa (__TEXT,__text) non-external _lz_decode
00007ff81020aa3f (__TEXT,__text) non-external _lz_decoder_end
00007ff8101ff0a2 (__TEXT,__text) non-external _lz_encode
00007ff81020315b (__TEXT,__text) non-external _lz_encoder_end
00007ff8101fe0bf (__TEXT,__text) non-external _lz_encoder_prepare
00007ff810208a0c (__TEXT,__text) non-external _lz_encoder_set_out_limit
00007ff8102089b1 (__TEXT,__text) non-external _lz_encoder_update
00007ff810208452 (__TEXT,__text) non-external _lzip_decode
00007ff810208888 (__TEXT,__text) non-external _lzip_decoder_end
00007ff8102088b0 (__TEXT,__text) non-external _lzip_decoder_get_check
00007ff8102088bb (__TEXT,__text) non-external _lzip_decoder_memconfig
00007ff810218650 (__TEXT,__const) non-external _lzma12_mf_map
00007ff810218620 (__TEXT,__const) non-external _lzma12_mode_map
00007ff841565840 (__DATA_CONST,__const) non-external _lzma12_optmap
00007ff81020fcf0 (__TEXT,__text) non-external _lzma2_decode
00007ff81020fffc (__TEXT,__text) non-external _lzma2_decoder_end
00007ff81020fbc9 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff8101ff2b0 (__TEXT,__text) non-external _lzma2_encode
00007ff8102031c0 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff8101fd945 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff81020fa19 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff810214468 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff810214440 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff8101fcca8 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff81020335e (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00007ff8102058f5 (__TEXT,__text) external _lzma_alone_decoder
00007ff810205504 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff810203fa6 (__TEXT,__text) external _lzma_alone_encoder
00007ff810205954 (__TEXT,__text) external _lzma_auto_decoder
00007ff8102042a4 (__TEXT,__text) external _lzma_block_buffer_bound
