00007ffc14505473 (__TEXT,__text) non-external _Done_iODBC
00007ffc14523120 (__TEXT,__const) non-external _FunctionNumbers
00007ffc14522175 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffc14505355 (__TEXT,__text) non-external _Init_iODBC
00007ffc419acbfc (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffc14503a24 (__TEXT,__text) external _SQLAllocConnect
00007ffc14503914 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffc145052dc (__TEXT,__text) external _SQLAllocEnv
00007ffc1450512e (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffc1450f98c (__TEXT,__text) external _SQLAllocHandle
00007ffc1450fa87 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffc1450f700 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffc145084d5 (__TEXT,__text) external _SQLAllocStmt
00007ffc14507f54 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffc1450d579 (__TEXT,__text) external _SQLBindCol
00007ffc1451593c (__TEXT,__text) external _SQLBindParam
00007ffc1450c8a9 (__TEXT,__text) external _SQLBindParameter
00007ffc1450069a (__TEXT,__text) external _SQLBrowseConnect
00007ffc1450080b (__TEXT,__text) external _SQLBrowseConnectA
00007ffc1450097c (__TEXT,__text) external _SQLBrowseConnectW
00007ffc1450004d (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffc14515418 (__TEXT,__text) external _SQLBulkOperations
00007ffc145093be (__TEXT,__text) external _SQLCancel
00007ffc14515968 (__TEXT,__text) external _SQLCloseCursor
00007ffc14514e58 (__TEXT,__text) external _SQLColAttribute
00007ffc14515004 (__TEXT,__text) external _SQLColAttributeA
00007ffc145151b0 (__TEXT,__text) external _SQLColAttributeW
00007ffc14514709 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffc1450f1f9 (__TEXT,__text) external _SQLColAttributes
00007ffc1450f3a5 (__TEXT,__text) external _SQLColAttributesA
00007ffc1450f551 (__TEXT,__text) external _SQLColAttributesW
00007ffc1450ed01 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffc144f8c2c (__TEXT,__text) external _SQLColumnPrivileges
00007ffc144f8e23 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffc144f901a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffc144f8970 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffc144f94cd (__TEXT,__text) external _SQLColumns
00007ffc144f96c4 (__TEXT,__text) external _SQLColumnsA
00007ffc144f98bb (__TEXT,__text) external _SQLColumnsW
00007ffc144f9211 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffc144fd4b2 (__TEXT,__text) external _SQLConnect
00007ffc144fddf3 (__TEXT,__text) external _SQLConnectA
00007ffc144fdf8a (__TEXT,__text) external _SQLConnectW
00007ffc144fd649 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffc14522e83 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffc14514589 (__TEXT,__text) external _SQLCopyDesc
00007ffc14509e91 (__TEXT,__text) external _SQLDataSources
00007ffc14509fb9 (__TEXT,__text) external _SQLDataSourcesA
00007ffc1450a0e1 (__TEXT,__text) external _SQLDataSourcesW
00007ffc14509a30 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffc419acb80 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffc419acba0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffc419acba8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffc1450e73a (__TEXT,__text) external _SQLDescribeCol
00007ffc1450e927 (__TEXT,__text) external _SQLDescribeColA
00007ffc1450eb14 (__TEXT,__text) external _SQLDescribeColW
00007ffc1450e488 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffc14502788 (__TEXT,__text) external _SQLDescribeParam
00007ffc14500aed (__TEXT,__text) external _SQLDisconnect
00007ffc144ffb6a (__TEXT,__text) external _SQLDriverConnect
00007ffc144ffd0b (__TEXT,__text) external _SQLDriverConnectA
00007ffc144ffeac (__TEXT,__text) external _SQLDriverConnectW
00007ffc144fe121 (__TEXT,__text) non-external _SQLDriverConnect_Internal
