                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018c1afe40 (__TEXT,__text) non-external _au_assemble
000000018c1b163c (__TEXT,__text) external _au_bsm_to_domain
000000018c1bdc2c (__TEXT,__text) external _au_bsm_to_errno
000000018c1bdd00 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018c1b98f0 (__TEXT,__text) external _au_bsm_to_socket_type
000000018c1b00d4 (__TEXT,__text) external _au_close
000000018c1b01a4 (__TEXT,__text) external _au_close_buffer
000000018c1b0288 (__TEXT,__text) external _au_close_token
000000018c1afd58 (__TEXT,__text) external _au_close_with_errors
00000001d67330e4 (__DATA,__bss) non-external _au_cond
000000018c1b1604 (__TEXT,__text) external _au_domain_to_bsm
000000018c1bdbf0 (__TEXT,__text) external _au_errno_to_bsm
000000018c1bdcc8 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018c1af8e0 (__TEXT,__text) external _au_fetch_tok
000000018c1afb30 (__TEXT,__text) external _au_free_token
000000018c1b97a8 (__TEXT,__text) external _au_get_state
000000018c1b96c4 (__TEXT,__text) external _au_notify_initialize
000000018c1b9780 (__TEXT,__text) external _au_notify_terminate
000000018c1afb78 (__TEXT,__text) external _au_open
00000001d44b4350 (__DATA_CONST,__const) non-external _au_polstr
000000018c1b0740 (__TEXT,__text) external _au_poltostr
000000018c1b94a4 (__TEXT,__text) external _au_preselect
000000018c1b3eb4 (__TEXT,__text) external _au_print_flags_tok
000000018c1b8544 (__TEXT,__text) external _au_print_tok
000000018c1b855c (__TEXT,__text) external _au_print_tok_xml
000000018c1b1f6c (__TEXT,__text) external _au_print_xml_footer
000000018c1b1f10 (__TEXT,__text) external _au_print_xml_header
000000018c1b8578 (__TEXT,__text) external _au_read_rec
000000018c1bdba4 (__TEXT,__text) external _au_sdev_close
000000018c1bdbe8 (__TEXT,__text) external _au_sdev_fd
000000018c1af498 (__TEXT,__text) external _au_sdev_open
000000018c1af56c (__TEXT,__text) external _au_sdev_read_aia
00000001d44b4440 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018c1b0900 (__TEXT,__text) external _au_sflagstostr
000000018c1b98b8 (__TEXT,__text) external _au_socket_type_to_bsm
000000018c1b0fd0 (__TEXT,__text) non-external _au_spacetobytes
000000018c1bdc78 (__TEXT,__text) external _au_strerror
000000018c1b0818 (__TEXT,__text) external _au_strtopol
000000018c1b09d8 (__TEXT,__text) external _au_strtosflags
000000018c1b0018 (__TEXT,__text) non-external _au_teardown
000000018c1b9ad8 (__TEXT,__text) external _au_to_arg
000000018c1b98f8 (__TEXT,__text) external _au_to_arg32
000000018c1b99d8 (__TEXT,__text) external _au_to_arg64
000000018c1bb910 (__TEXT,__text) external _au_to_certificate_hash
000000018c1b9adc (__TEXT,__text) external _au_to_data
000000018c1bb7e8 (__TEXT,__text) external _au_to_exec_args
000000018c1bb908 (__TEXT,__text) external _au_to_exec_env
000000018c1b9bbc (__TEXT,__text) external _au_to_exit
000000018c1ba0f0 (__TEXT,__text) external _au_to_file
000000018c1b9c64 (__TEXT,__text) external _au_to_groups
000000018c1bc0cc (__TEXT,__text) external _au_to_header
000000018c1bbfbc (__TEXT,__text) external _au_to_header32
000000018c1bbf08 (__TEXT,__text) external _au_to_header32_ex
000000018c1bbc4c (__TEXT,__text) external _au_to_header32_ex_tm
000000018c1bbb3c (__TEXT,__text) external _au_to_header32_tm
000000018c1bc044 (__TEXT,__text) external _au_to_header64
