00000001917f4968 (__TEXT,__const) non-external _KW_ANY
00000001917f48ed (__TEXT,__const) non-external _KW_ATTLIST
00000001917f491b (__TEXT,__const) non-external _KW_CDATA
00000001917f48d0 (__TEXT,__const) non-external _KW_DOCTYPE
00000001917f48f5 (__TEXT,__const) non-external _KW_ELEMENT
00000001917f4962 (__TEXT,__const) non-external _KW_EMPTY
00000001917f4931 (__TEXT,__const) non-external _KW_ENTITIES
00000001917f48e6 (__TEXT,__const) non-external _KW_ENTITY
00000001917f495c (__TEXT,__const) non-external _KW_FIXED
00000001917f4921 (__TEXT,__const) non-external _KW_ID
00000001917f4924 (__TEXT,__const) non-external _KW_IDREF
00000001917f492a (__TEXT,__const) non-external _KW_IDREFS
00000001917f490e (__TEXT,__const) non-external _KW_IGNORE
00000001917f494b (__TEXT,__const) non-external _KW_IMPLIED
00000001917f4906 (__TEXT,__const) non-external _KW_INCLUDE
00000001917f5078 (__TEXT,__const) non-external _KW_ISO_8859_1
00000001917f4915 (__TEXT,__const) non-external _KW_NDATA
00000001917f493a (__TEXT,__const) non-external _KW_NMTOKEN
00000001917f4942 (__TEXT,__const) non-external _KW_NMTOKENS
00000001917f48fd (__TEXT,__const) non-external _KW_NOTATION
00000001917f496c (__TEXT,__const) non-external _KW_PCDATA
00000001917f48df (__TEXT,__const) non-external _KW_PUBLIC
00000001917f4953 (__TEXT,__const) non-external _KW_REQUIRED
00000001917f48d8 (__TEXT,__const) non-external _KW_SYSTEM
00000001917f5083 (__TEXT,__const) non-external _KW_US_ASCII
00000001917f5092 (__TEXT,__const) non-external _KW_UTF_16
00000001917f5099 (__TEXT,__const) non-external _KW_UTF_16BE
00000001917f50a2 (__TEXT,__const) non-external _KW_UTF_16LE
00000001917f508c (__TEXT,__const) non-external _KW_UTF_8
00000001917f50b9 (__TEXT,__const) non-external _KW_encoding
00000001917f50d1 (__TEXT,__const) non-external _KW_no
00000001917f50c2 (__TEXT,__const) non-external _KW_standalone
00000001917f50b1 (__TEXT,__const) non-external _KW_version
00000001917f50cd (__TEXT,__const) non-external _KW_yes
00000001917de6fc (__TEXT,__text) external _XML_DefaultCurrent
00000001917de82c (__TEXT,__text) external _XML_ErrorString
00000001917de850 (__TEXT,__text) external _XML_ExpatVersion
00000001917de85c (__TEXT,__text) external _XML_ExpatVersionInfo
00000001917dcec0 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00000001917de6a8 (__TEXT,__text) external _XML_FreeContentModel
00000001917ddb44 (__TEXT,__text) external _XML_GetBase
00000001917dded8 (__TEXT,__text) external _XML_GetBuffer
00000001917de58c (__TEXT,__text) external _XML_GetCurrentByteCount
00000001917de568 (__TEXT,__text) external _XML_GetCurrentByteIndex
00000001917de650 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00000001917de5f4 (__TEXT,__text) external _XML_GetCurrentLineNumber
00000001917de554 (__TEXT,__text) external _XML_GetErrorCode
00000001917de86c (__TEXT,__text) external _XML_GetFeatureList
00000001e74c1268 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00000001917ddb64 (__TEXT,__text) external _XML_GetIdAttributeIndex
00000001917de5b4 (__TEXT,__text) external _XML_GetInputContext
00000001917de530 (__TEXT,__text) external _XML_GetParsingStatus
00000001917f4600 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00000001917ddb50 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00000001917de6e8 (__TEXT,__text) external _XML_MemFree
00000001917de6bc (__TEXT,__text) external _XML_MemMalloc
00000001917de6d0 (__TEXT,__text) external _XML_MemRealloc
00000001917ddd3c (__TEXT,__text) external _XML_Parse
00000001917f45a8 (__TEXT,__text) non-external _XML_Parse.cold.1
00000001917de110 (__TEXT,__text) external _XML_ParseBuffer
00000001917dc5f0 (__TEXT,__text) external _XML_ParserCreate
00000001917dc608 (__TEXT,__text) external _XML_ParserCreateNS
00000001917dc600 (__TEXT,__text) external _XML_ParserCreate_MM
00000001917dd5a0 (__TEXT,__text) external _XML_ParserFree
00000001917dc8a8 (__TEXT,__text) external _XML_ParserReset
00000001917de444 (__TEXT,__text) external _XML_ResumeParser
00000001917ddcbc (__TEXT,__text) external _XML_SetAttlistDeclHandler
00000001917dda90 (__TEXT,__text) external _XML_SetBase
00000001917de8a8 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00000001917de878 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00000001917ddbc0 (__TEXT,__text) external _XML_SetCdataSectionHandler
00000001917ddb9c (__TEXT,__text) external _XML_SetCharacterDataHandler
00000001917ddbb4 (__TEXT,__text) external _XML_SetCommentHandler
00000001917ddbe4 (__TEXT,__text) external _XML_SetDefaultHandler
00000001917ddbf4 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00000001917ddc08 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00000001917ddcb0 (__TEXT,__text) external _XML_SetElementDeclHandler
00000001917ddb78 (__TEXT,__text) external _XML_SetElementHandler
00000001917dcde8 (__TEXT,__text) external _XML_SetEncoding
00000001917ddbd8 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00000001917ddc20 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00000001917ddb90 (__TEXT,__text) external _XML_SetEndElementHandler
00000001917ddc5c (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00000001917ddcc8 (__TEXT,__text) external _XML_SetEntityDeclHandler
00000001917ddc74 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00000001917ddc80 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00000001917ddd08 (__TEXT,__text) external _XML_SetHashSalt
00000001917ddc44 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
