                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
000000024228b4e0 (__TEXT,__const) external _FMSampleRateUnknown
000000024228b4e8 (__TEXT,__const) external _FMSampleRate_44100
000000024228b4f0 (__TEXT,__const) external _FMSampleRate_48000
000000029049c6f8 (__DATA_CONST,__const) external _FMSongArtworkAssetID
000000029049c710 (__DATA_CONST,__const) external _FMSongAssetCompatibilityVersion
000000029049c708 (__DATA_CONST,__const) external _FMSongAssetContentVersion
000000029049c700 (__DATA_CONST,__const) external _FMSongAssetDownloadProgressChanged
000000029049c768 (__DATA_CONST,__const) external _FMSongAssetsChanged
000000029049c6f0 (__DATA_CONST,__const) external _FMSongBundleAssetID
000000029049c760 (__DATA_CONST,__const) external _FMSongBundleExtension
000000029049c778 (__DATA_CONST,__const) external _FMSongFormat_Legacy
000000029049c770 (__DATA_CONST,__const) external _FMSongFormat_ML
000000029049c3f8 (__DATA_CONST,__const) external _FMSongLibraryAvailableSongsChanged
000000029049c418 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CloudSupportDisabled
000000029049c440 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CustomBundledSongsPath
000000029049c448 (__DATA_CONST,__const) external _FMSongLibraryInitOption_EnableFetchCache
000000029049c430 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_AssetTypeIdentifier
000000029049c428 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ClientID
000000029049c438 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ListenToSystemNotifications
000000029049c420 (__DATA_CONST,__const) external _FMSongLibraryInitOption_NetworkingDisabled
000000029049c410 (__DATA_CONST,__const) external _FMSongLibraryReconnectedToNetwork
000000029049c400 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressChanged
000000029049c408 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressState
000000024228b648 (__TEXT,__const) external _FMSongPlaylistTimeQuantaInSamples
000000029049ca40 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_128
000000029049ca48 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_192
000000029049ca50 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_256
000000029049ca30 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_80
000000029049ca38 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_96
000000029049ca18 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_48
000000029049ca28 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_64
000000029049ca20 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v2_48
000000029049ca08 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM
000000029049ca10 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM_LEF32
000000029049ca68 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_128
000000029049ca58 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_64
000000029049ca60 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_96
000000029049ca88 (__DATA_CONST,__const) external _FMSong_Option_DefaultEarlyFadeStartFromStinger
000000029049caa0 (__DATA_CONST,__const) external _FMSong_Option_IgnoreEarlyFadeMarker
000000029049ca98 (__DATA_CONST,__const) external _FMSong_Option_IgnoreStingerMarkerForShortening
000000029049cab0 (__DATA_CONST,__const) external _FMSong_Option_LoopSongForLongDurations
000000029049caa8 (__DATA_CONST,__const) external _FMSong_Option_MaxOutroLengthToReserve
000000029049ca90 (__DATA_CONST,__const) external _FMSong_Option_MinLengthForEarlyFade
000000029049ca80 (__DATA_CONST,__const) external _FMSong_Option_OutroCanBeShortened
000000029049ca78 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroEarlyFade
000000029049ca70 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroStinger
000000029049c740 (__DATA_CONST,__const) external _FMTagID_Arousal_Prefix
