00007ff90dd3f9af (__TEXT,__text) non-external +[Caller current]
00007ff90dd3ff7e (__TEXT,__text) non-external +[Caller pathFromPid:]
00007ff90dd420c2 (__TEXT,__text) non-external +[DaemonUtils _enumAllSubrequirements:processingBlock:]
00007ff90dd42187 (__TEXT,__text) non-external +[DaemonUtils _isNonUiExtensionPointIdentifier:]
00007ff90dd41cfc (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus]
00007ff90dd510a9 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus].cold.1
00007ff90dd41dde (__TEXT,__text) non-external +[DaemonUtils _updateWithDFRStatus:source:]
00007ff90dd412b7 (__TEXT,__text) non-external +[DaemonUtils callerDisplayNameWithPid:auditToken:bundleId:]
00007ff90dd41506 (__TEXT,__text) non-external +[DaemonUtils callerIdWithPid:auditToken:]
00007ff90dd42919 (__TEXT,__text) non-external +[DaemonUtils canCallToDependencies]
00007ff90dd41c3a (__TEXT,__text) non-external +[DaemonUtils deviceHasAtLeastSimulatedDFR]
00007ff90dd41b78 (__TEXT,__text) non-external +[DaemonUtils deviceHasDFR]
00007ff90dd4231a (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl]
00007ff90dd51167 (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl].cold.1
00007ff90dd42206 (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP]
00007ff90dd5111b (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP].cold.1
00007ff90dd41f09 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDFR]
00007ff90dd425cd (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDoublePressHW]
00007ff90dd42658 (__TEXT,__text) non-external +[DaemonUtils deviceHasSpecialTouchID]
00007ff90dd426d4 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchIDAndSecureDoublePress]
00007ff90dd4242e (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID]
00007ff90dd511b3 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID].cold.1
00007ff90dd42696 (__TEXT,__text) non-external +[DaemonUtils deviceIsPoseidon]
00007ff90dd42542 (__TEXT,__text) non-external +[DaemonUtils deviceSupportsSecureDoubleClick]
00007ff90dd41eed (__TEXT,__text) non-external +[DaemonUtils dfrHardwarePresent]
00007ff90dd41edb (__TEXT,__text) non-external +[DaemonUtils dfrPresent]
00007ff90dd41efc (__TEXT,__text) non-external +[DaemonUtils dfrStatus]
00007ff90dd4289f (__TEXT,__text) non-external +[DaemonUtils dispatchOnServer:]
00007ff90dd42712 (__TEXT,__text) non-external +[DaemonUtils dispatchReallyAfter:tolerance:queue:block:]
00007ff90dd42841 (__TEXT,__text) non-external +[DaemonUtils dispatchSyncOnMain:]
00007ff90dd418dd (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:]
00007ff90dd50f67 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.1
00007ff90dd50fc1 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.2
00007ff90dd5101b (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.3
00007ff90dd5104f (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.4
00007ff90dd417db (__TEXT,__text) non-external +[DaemonUtils isClosedLidPreventingUseOfTouchID]
00007ff90dd415cf (__TEXT,__text) non-external +[DaemonUtils isLidClosed]
00007ff90dd50eb3 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.1
00007ff90dd50ee7 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.2
00007ff90dd50f1b (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.3
00007ff90dd41260 (__TEXT,__text) non-external +[DaemonUtils queue]
00007ff90dd411f4 (__TEXT,__text) non-external +[DaemonUtils sharedInstance]
