00000001df32cbe8 (__DATA,__data) external _NDR_record
00000001802be280 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802c15fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802c3fb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802be2ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001802c3fe0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001802c400c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001802c4038 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001802c405c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001802c4080 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001802c7754 (__TEXT,__text) non-external __Xexception_raise
00000001802c7824 (__TEXT,__text) non-external __Xexception_raise_state
00000001802c794c (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001802d9fec (__TEXT,__text) external _____old_semwait_signal_nocancel
00000001802da018 (__TEXT,__text) external _____sigwait_nocancel
00000001802dd348 (__TEXT,__const) external ____kernelVersionNumber
00000001802dd310 (__TEXT,__const) external ____kernelVersionString
00000001802da044 (__TEXT,__text) external ___abort_with_payload
00000001802b8f4c (__TEXT,__text) external ___accept
00000001802da070 (__TEXT,__text) external ___accept_nocancel
00000001802da09c (__TEXT,__text) external ___access_extended
00000001802da0c8 (__TEXT,__text) external ___aio_suspend_nocancel
00000001802b8464 (__TEXT,__text) external ___bind
00000001802b4c48 (__TEXT,__text) external ___bsdthread_create
00000001802b2b34 (__TEXT,__text) external ___bsdthread_ctl
00000001802b6adc (__TEXT,__text) external ___bsdthread_register
00000001802b3bdc (__TEXT,__text) external ___bsdthread_terminate
00000001802bc61c (__TEXT,__text) external ___carbon_delete
00000001802da0f4 (__TEXT,__text) external ___channel_get_info
00000001802da120 (__TEXT,__text) external ___channel_get_opt
00000001802da14c (__TEXT,__text) external ___channel_open
00000001802da178 (__TEXT,__text) external ___channel_set_opt
00000001802da1a4 (__TEXT,__text) external ___channel_sync
00000001802b4b90 (__TEXT,__text) external ___chmod
00000001802b65ec (__TEXT,__text) external ___chmod_extended
00000001802b2630 (__TEXT,__text) external ___close_nocancel
00000001802da1d0 (__TEXT,__text) external ___coalition
00000001802da1fc (__TEXT,__text) external ___coalition_info
00000001802da228 (__TEXT,__text) external ___coalition_ledger
00000001802b2c8c (__TEXT,__text) external ___commpage_gettimeofday
00000001802b2c94 (__TEXT,__text) non-external (was a private external) ___commpage_gettimeofday_internal
00000001802b53bc (__TEXT,__text) external ___connect
00000001802b521c (__TEXT,__text) external ___connect_nocancel
00000001802da254 (__TEXT,__text) external ___copyfile
00000001802b18ac (__TEXT,__text) external ___csrctl
00000001802c1584 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001802dc97c (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.1
00000001802dc9a0 (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.2
00000001802bc64c (__TEXT,__text) external ___delete
00000001802b3bb0 (__TEXT,__text) external ___disable_threadsignal
00000001802b17d8 (__TEXT,__text) external ___error
00000001802b7ed0 (__TEXT,__text) external ___exit
00000001802b5660 (__TEXT,__text) external ___fchmod
00000001802b66cc (__TEXT,__text) external ___fchmod_extended
00000001802b195c (__TEXT,__text) external ___fcntl
00000001802b51c4 (__TEXT,__text) external ___fcntl_nocancel
00000001802b8270 (__TEXT,__text) external ___fork
00000001802da280 (__TEXT,__text) external ___fs_snapshot
00000001802db5d8 (__TEXT,__text) external ___fstat
00000001802b66a0 (__TEXT,__text) external ___fstat64_extended
00000001802da2ac (__TEXT,__text) external ___fstat_extended
00000001802db630 (__TEXT,__text) external ___fstatat
00000001802db688 (__TEXT,__text) external ___fstatfs
00000001802da2d8 (__TEXT,__text) external ___fsync_nocancel
00000001802b9a6c (__TEXT,__text) external ___get_remove_counter
00000001802b17f8 (__TEXT,__text) external ___getattrlist
00000001802b2a58 (__TEXT,__text) external ___getdirentries64
00000001802db790 (__TEXT,__text) external ___getfsstat
00000001802b6594 (__TEXT,__text) external ___gethostuuid
00000001802bc008 (__TEXT,__text) external ___getlogin
00000001802b5558 (__TEXT,__text) external ___getpeername
00000001802b1394 (__TEXT,__text) external ___getpid
00000001802b3174 (__TEXT,__text) external ___getrlimit
00000001802da304 (__TEXT,__text) external ___getsgroups
00000001802b832c (__TEXT,__text) external ___getsockname
00000001802b2934 (__TEXT,__text) external ___gettid
00000001802b4ccc (__TEXT,__text) external ___gettimeofday
00000001802b4ca0 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001802da330 (__TEXT,__text) external ___getwgroups
00000001802da35c (__TEXT,__text) external ___guarded_open_dprotected_np
00000001802b45c8 (__TEXT,__text) external ___guarded_open_np
00000001802da388 (__TEXT,__text) external ___identitysvc
00000001802b4a44 (__TEXT,__text) external ___inc_remove_counter
00000001802bbfdc (__TEXT,__text) external ___initgroups
00000001802b5390 (__TEXT,__text) external ___ioctl
