                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFAbsoluteTimeGetGregorianDate (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFCalendarComposeAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFCalendarCreateWithIdentifier (from CoreFoundation)
                 (undefined) external _CFCalendarSetTimeZone (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValueIfPresent (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFTimeZoneCopyDefault (from CoreFoundation)
                 (undefined) external _CFTimeZoneCreateWithName (from CoreFoundation)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceRelease (from CoreGraphics)
                 (undefined) external _CGContextClearRect (from CoreGraphics)
                 (undefined) external _CGContextDrawImage (from CoreGraphics)
                 (undefined) external _CGContextRelease (from CoreGraphics)
                 (undefined) external _CGImageDestinationAddImage (from ImageIO)
                 (undefined) external _CGImageDestinationCreateWithData (from ImageIO)
                 (undefined) external _CGImageDestinationFinalize (from ImageIO)
                 (undefined) external _CGImageGetHeight (from CoreGraphics)
                 (undefined) external _CGImageGetWidth (from CoreGraphics)
                 (undefined) external _CGImageRelease (from CoreGraphics)
                 (undefined) external _CGImageSourceCopyPropertiesAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateImageAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateThumbnailAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithData (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithURL (from ImageIO)
00007ff818f89f68 (__TEXT,__text) external _ICACloseSession
00007ff818f8b781 (__TEXT,__text) external _ICAConvertJPEGDataToICADataInPlace
00007ff818f8b31f (__TEXT,__text) external _ICAConvertTIFFDataToICADataInPlace
00007ff818f89d10 (__TEXT,__text) external _ICACopyMatchingDeviceDictionaries
00007ff818f89d4c (__TEXT,__text) external _ICACopyObjectData
00007ff818f8997a (__TEXT,__text) external _ICACopyObjectPropertyDictionary
00007ff818f899b6 (__TEXT,__text) non-external (was a private external) _ICACopyObjectPropertyDictionary_Deprecated
00007ff818f89a2e (__TEXT,__text) external _ICACopyObjectThumbnail
00007ff818f89c5c (__TEXT,__text) external _ICACopyParameterBlockPtrForAsyncCall
00007ff818f8b886 (__TEXT,__text) external _ICACreateCutsomIconForImageAtPath
00007ff818f8b1b5 (__TEXT,__text) external _ICACreateJPEGThumbnailDataFromURL
00007ff818f8ab96 (__TEXT,__text) external _ICADictionaryApplierFunction
00007ff818f89c98 (__TEXT,__text) external _ICADoMacho2CFMConversion
00007ff818f89a6a (__TEXT,__text) external _ICADownloadFile
00007ff818f89d88 (__TEXT,__text) external _ICADownloadFileWithOptions
00007ff818f8abb3 (__TEXT,__text) external _ICAElapsedTime
00007ff818f8b88e (__TEXT,__text) non-external (was a private external) _ICAGetApplicationSupportPath
00007ff818f899f2 (__TEXT,__text) external _ICAGetBehaviorFlags
00007ff818f8a184 (__TEXT,__text) external _ICAGetChildCount
00007ff818f8abd0 (__TEXT,__text) external _ICAGetDateFromSeconds
00007ff818f8ace5 (__TEXT,__text) external _ICAGetDateFromSecondsSince1904
00007ff818f8acf4 (__TEXT,__text) external _ICAGetDateFromSecondsSince1970
00007ff818f89752 (__TEXT,__text) external _ICAGetDeviceList
00007ff818f8978e (__TEXT,__text) non-external (was a private external) _ICAGetDeviceList_Deprecated
00007ff818f8af7d (__TEXT,__text) external _ICAGetEXIFDateCStringFromSecondsSince1904
00007ff818f8b00b (__TEXT,__text) external _ICAGetEXIFDateCStringFromSecondsSince1970
00007ff818f8b099 (__TEXT,__text) external _ICAGetEXIFUTCDateCStringFromSecondsSince1904
00007ff818f8b127 (__TEXT,__text) external _ICAGetEXIFUTCDateCStringFromSecondsSince1970
00007ff818f8b78e (__TEXT,__text) external _ICAGetICAObjectForFile
00007ff818f8aade (__TEXT,__text) external _ICAGetICAObjectFromDict
00007ff818f89b91 (__TEXT,__text) external _ICAGetLongValueFromDict
00007ff818f89b55 (__TEXT,__text) external _ICAGetNthChild
