00000001d71797d8 (__DATA,__common) external _BC
00000001d7179684 (__DATA,__common) external _COLORS
00000001a4514200 (__TEXT,__text) external _COLOR_PAIR
00000001d7179680 (__DATA,__common) external _COLOR_PAIRS
00000001d71797c4 (__DATA,__common) external _COLS
00000001d7179200 (__DATA,__data) external _ESCDELAY
00000001d71797c0 (__DATA,__common) external _LINES
00000001a45153a4 (__TEXT,__text) external _PAIR_NUMBER
00000001d71797e4 (__DATA,__common) external _PC
00000001d71796b0 (__DATA,__common) external _SP
00000001d71797c8 (__DATA,__common) external _TABSIZE
00000001d71797d0 (__DATA,__common) external _UP
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00000001a44f2ff8 (__TEXT,__text) external __nc_access
00000001a44f5880 (__TEXT,__text) external __nc_add_to_try
00000001a44f6034 (__TEXT,__text) external __nc_align_termtype
00000001a44f57dc (__TEXT,__text) external __nc_basename
00000001a44f56b8 (__TEXT,__text) external __nc_baudrate
00000001a44fc978 (__TEXT,__text) external __nc_build_wch
00000001a450d3f8 (__TEXT,__text) external __nc_capcmp
00000001a44f6f2c (__TEXT,__text) external __nc_captoinfo
00000001d9430b08 (__AUTH,__data) external __nc_check_termtype
00000001d9430b00 (__AUTH,__data) external __nc_check_termtype2
00000001d7179438 (__DATA,__common) external __nc_comment_end
00000001d7179430 (__DATA,__common) external __nc_comment_start
00000001a44f5ac8 (__TEXT,__text) external __nc_copy_entry
00000001a44f681c (__TEXT,__text) external __nc_copy_termtype
00000001d7179418 (__DATA,__common) external __nc_curr_col
00000001d7179428 (__DATA,__common) external __nc_curr_file_pos
00000001d7179414 (__DATA,__common) external __nc_curr_line
00000001d7179448 (__DATA,__common) external __nc_curr_token
00000001a44fb0b0 (__TEXT,__text) external __nc_delink_entry
00000001d7179460 (__DATA,__common) external __nc_disable_period
00000001a44ff4fc (__TEXT,__text) external __nc_do_color
00000001a44f3848 (__TEXT,__text) external __nc_doalloc
00000001a44f959c (__TEXT,__text) external __nc_entry_match
