0000000182cbeea8 (__DATA,__data) non-external _C
0000000182ccb830 (__DATA,__bss) non-external _EMSG
0000000182ccb831 (__DATA,__bss) non-external _EMSG
0000000182cc0b88 (__DATA,__bss) non-external _NXArgc_pointer
0000000182cc0b80 (__DATA,__bss) non-external _NXArgv_pointer
0000000180b33f4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180b71a9c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180b4ac3c (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180b4ac8c (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180b4adb0 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180b4ad58 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
0000000180c9d428 (__DATA_CONST,__const) non-external __C_messages_locale
0000000180c9d448 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180c9d4f0 (__DATA_CONST,__const) non-external __C_numeric_locale
0000000180c9d700 (__DATA_CONST,__const) non-external __C_time_locale
0000000182cbf728 (__DATA,__data) external __CurrentRuneLocale
0000000182cbfd78 (__DATA,__constrw) external __DefaultRuneLocale
0000000182ce5af8 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180b4d32c (__TEXT,__text) non-external (was a private external) __EUC_CN_init
0000000180b4d3b0 (__TEXT,__text) non-external __EUC_CN_mbrtowc
0000000180b4d3f8 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
0000000180b4d3e4 (__TEXT,__text) non-external __EUC_CN_wcrtomb
0000000180b4d3fc (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
0000000180b4d4f0 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
0000000180b4d574 (__TEXT,__text) non-external __EUC_JP_mbrtowc
0000000180b4d5bc (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
0000000180b4d5a8 (__TEXT,__text) non-external __EUC_JP_wcrtomb
0000000180b4d5c0 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
0000000180b4d41c (__TEXT,__text) non-external (was a private external) __EUC_KR_init
0000000180b4d4a0 (__TEXT,__text) non-external __EUC_KR_mbrtowc
0000000180b4d4e8 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
0000000180b4d4d4 (__TEXT,__text) non-external __EUC_KR_wcrtomb
0000000180b4d4ec (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
0000000180b4d648 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
0000000180b4d6cc (__TEXT,__text) non-external __EUC_TW_mbrtowc
0000000180b4d714 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
0000000180b4d700 (__TEXT,__text) non-external __EUC_TW_wcrtomb
0000000180b4d718 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
0000000180b4d5c4 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180b4d71c (__TEXT,__text) non-external __EUC_mbrtowc_impl
0000000180b4d400 (__TEXT,__text) non-external __EUC_mbsinit
0000000180b4d858 (__TEXT,__text) non-external __EUC_wcrtomb_impl
0000000180b7230c (__TEXT,__text) external __Exit
0000000180b4da50 (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180b4daa0 (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180b4dd14 (__TEXT,__text) non-external __GB18030_mbsinit
0000000180b4dc0c (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180b4dd30 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180b4dd80 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180b4def0 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180b4de98 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180b4df0c (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180b4df5c (__TEXT,__text) non-external __GBK_mbrtowc
0000000180b4e080 (__TEXT,__text) non-external __GBK_mbsinit
0000000180b4e028 (__TEXT,__text) non-external __GBK_wcrtomb
0000000180b4f5b8 (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180b4f608 (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180b4f808 (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180b4f6e0 (__TEXT,__text) non-external __MSKanji_wcrtomb
0000000180b333b0 (__TEXT,__text) external __NSGetArgc
0000000180b333a4 (__TEXT,__text) external __NSGetArgv
0000000180b333bc (__TEXT,__text) external __NSGetEnviron
0000000180b333d4 (__TEXT,__text) external __NSGetMachExecuteHeader
0000000180b333c8 (__TEXT,__text) external __NSGetProgname
0000000182ccb928 (__DATA,__common) external __PathLocale
0000000180b7b8bc (__TEXT,__text) external __Read_RuneMagi
