00000001d85324a4 (__TEXT,__text) non-external +[NFPromise new]
00000001d8533d50 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001d8533b10 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001d8533af8 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001d8533ae0 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001d85339d8 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001d8533a80 (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001d8533a18 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001d85352f4 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00000001d8534e94 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001d8538194 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00000001d8530814 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001d8531cec (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001d8531d7c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001d8531e10 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001d8531ec0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001d8533fe4 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001d8533f54 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001d8537588 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00000001d85374cc (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001d85304a0 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001d85306ac (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001d8530280 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001d852fd44 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001d8530270 (__TEXT,__text) non-external -[NFEventManager events]
00000001d852f6a8 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001d8537854 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001d85300ac (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001d852fea4 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001d852f624 (__TEXT,__text) non-external -[NFEventManager init]
00000001d852f894 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001d85379cc (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001d852fbf0 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001d8537c00 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001d852fb34 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001d8537b44 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001d852f744 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001d8537910 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001d852f9e4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001d8537a88 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001d8530278 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001d85303dc (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001d85303c4 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001d85303bc (__TEXT,__text) non-external -[NFEventTrigger events]
00000001d85303d4 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001d85303cc (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001d85302c4 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001d85303b4 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001d8531c9c (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001d8531c8c (__TEXT,__text) non-external -[NFLazy constructor]
00000001d8531ac0 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001d8531c94 (__TEXT,__text) non-external -[NFLazy lock]
00000001d8531c18 (__TEXT,__text) non-external -[NFLazy reset]
00000001d8531b60 (__TEXT,__text) non-external -[NFLazy value]
00000001d8537364 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001d8536c44 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001d8537340 (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001d8536e1c (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001d8537348 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001d8536c40 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001d85371d0 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001d8536b44 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001d8536b4c (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00000001d8537350 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00000001d8537028 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001d8536ccc (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001d8536d54 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001d8536eb0 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001d8537358 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00000001d85354ec (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001d853544c (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001d8535444 (__TEXT,__text) non-external -[NFMutexLock init]
00000001d853559c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001d8535538 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001d85355a4 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001d852f5d4 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001d852f430 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001d852f5a0 (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001d852f5c4 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001d852f5b4 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001d852f5a8 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001d852f5cc (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001d852f5bc (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001d85339cc (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001d85325c4 (__TEXT,__text) non-external -[NFPromise always:]
00000001d8532c5c (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001d8532558 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001d853384c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001d8533730 (__TEXT,__text) non-external -[NFPromise delay]
00000001d85325b4 (__TEXT,__text) non-external -[NFPromise error:]
00000001d8532bd0 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001d8533188 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001d8533088 (__TEXT,__text) non-external -[NFPromise error]
00000001d85324d0 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001d8532210 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001d853241c (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001d85320bc (__TEXT,__text) non-external -[NFPromise init]
00000001d8532f34 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001d8532df0 (__TEXT,__text) non-external -[NFPromise pipe]
00000001d85334e4 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001d8533214 (__TEXT,__text) non-external -[NFPromise resolve]
00000001d85339b8 (__TEXT,__text) non-external -[NFPromise seal]
00000001d85339c0 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001d85325a4 (__TEXT,__text) non-external -[NFPromise then:]
00000001d85325d4 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001d8532d64 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001d8532cdc (__TEXT,__text) non-external -[NFPromise then]
00000001d8535a08 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001d8535a7c (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001d8534dc8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001d853487c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001d85344a0 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001d8537f3c (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001d8538004 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001d8534d88 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001d8534dac (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001d853441c (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001d8534398 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001d8534310 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001d8534dc0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001d85349e4 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001d8534580 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001d8534574 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001d8534590 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001d8534b28 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001d85380cc (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001d8534d90 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001d8534db4 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001d8534da4 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001d8534d7c (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001d8534d9c (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001d8534d74 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001d85353f4 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001d8535224 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001d853511c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001d85353e0 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001d85353a8 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001d85350d0 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001d8534f1c (__TEXT,__text) non-external -[NFReachability init]
00000001d85353cc (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001d85353b8 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001d85353e8 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001d85353b0 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001d85353d4 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001d85353c0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001d85319b4 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001d8530c2c (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001d8530bbc (__TEXT,__text) non-external -[NFStateMachine activate]
00000001d8530e64 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001d8537d84 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001d8530d58 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001d8537cbc (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001d8530cfc (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001d8530c88 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001d8530ad0 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001d8530a34 (__TEXT,__text) non-external -[NFStateMachine description]
00000001d853197c (__TEXT,__text) non-external -[NFStateMachine events]
00000001d8530f70 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001d85308fc (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001d8531990 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001d8531930 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001d8531984 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001d8531998 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001d853195c (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001d8531924 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001d8531970 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001d8531914 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001d85319ac (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
