000000000003c1b8 (__DATA,__data) external _NDR_record
000000000001cb98 (__TEXT,__text) non-external __Xexception_raise
000000000001ccc8 (__TEXT,__text) non-external __Xexception_raise_state
000000000001ce40 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000d400 (__TEXT,__text) external _____sigwait_nocancel
0000000000030f08 (__TEXT,__const) external ____kernelVersionNumber
0000000000030ed6 (__TEXT,__const) external ____kernelVersionString
000000000000d428 (__TEXT,__text) external ___abort_with_payload
0000000000009198 (__TEXT,__text) external ___accept
000000000000d450 (__TEXT,__text) external ___accept_nocancel
000000000000d478 (__TEXT,__text) external ___access_extended
000000000000d4a0 (__TEXT,__text) external ___aio_suspend_nocancel
0000000000008638 (__TEXT,__text) external ___bind
0000000000004cd8 (__TEXT,__text) external ___bsdthread_create
0000000000002e84 (__TEXT,__text) external ___bsdthread_ctl
0000000000006b88 (__TEXT,__text) external ___bsdthread_register
0000000000003e74 (__TEXT,__text) external ___bsdthread_terminate
000000000000cc98 (__TEXT,__text) external ___carbon_delete
000000000000d4c8 (__TEXT,__text) external ___channel_get_info
000000000000d4f0 (__TEXT,__text) external ___channel_get_opt
000000000000d518 (__TEXT,__text) external ___channel_open
000000000000d540 (__TEXT,__text) external ___channel_set_opt
000000000000d568 (__TEXT,__text) external ___channel_sync
0000000000004c38 (__TEXT,__text) external ___chmod
00000000000066c8 (__TEXT,__text) external ___chmod_extended
00000000000029e4 (__TEXT,__text) external ___close_nocancel
000000000000d590 (__TEXT,__text) external ___coalition
000000000000d5b8 (__TEXT,__text) external ___coalition_info
000000000000d5e0 (__TEXT,__text) external ___coalition_ledger
0000000000002fb8 (__TEXT,__text) external ___commpage_gettimeofday
0000000000002fc0 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000000000053c4 (__TEXT,__text) external ___connect
000000000000524c (__TEXT,__text) external ___connect_nocancel
000000000000d608 (__TEXT,__text) external ___copyfile
0000000000001d0c (__TEXT,__text) external ___csrctl
00000000000156c4 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000d630 (__TEXT,__text) external ___debug_syscall_reject
000000000000d658 (__TEXT,__text) external ___debug_syscall_reject_config
000000000000ccc0 (__TEXT,__text) external ___delete
0000000000003e4c (__TEXT,__text) external ___disable_threadsignal
0000000000001c4c (__TEXT,__text) external ___error
000000000000d680 (__TEXT,__text) external ___execve
000000000000807c (__TEXT,__text) external ___exit
0000000000005648 (__TEXT,__text) external ___fchmod
00000000000067c0 (__TEXT,__text) external ___fchmod_extended
0000000000001dac (__TEXT,__text) external ___fcntl
00000000000051fc (__TEXT,__text) external ___fcntl_nocancel
0000000000008448 (__TEXT,__text) external ___fork
000000000000d6a8 (__TEXT,__text) external ___fs_snapshot
000000000000e894 (__TEXT,__text) external ___fstat
0000000000006798 (__TEXT,__text) external ___fstat64_extended
000000000000d6d0 (__TEXT,__text) external ___fstat_extended
000000000000e8e4 (__TEXT,__text) external ___fstatat
000000000000e934 (__TEXT,__text) external ___fstatfs
000000000000d6f8 (__TEXT,__text) external ___fsync_nocancel
0000000000009e94 (__TEXT,__text) external ___get_remove_counter
0000000000001c68 (__TEXT,__text) external ___getattrlist
0000000000002dbc (__TEXT,__text) external ___getdirentries64
000000000000ea24 (__TEXT,__text) external ___getfsstat
0000000000006678 (__TEXT,__text) external ___gethostuuid
000000000000c660 (__TEXT,__text) external ___getlogin
0000000000005538 (__TEXT,__text) external ___getpeername
00000000000017c4 (__TEXT,__text) external ___getpid
0000000000003450 (__TEXT,__text) external ___getrlimit
000000000000d720 (__TEXT,__text) external ___getsgroups
0000000000008514 (__TEXT,__text) external ___getsockname
0000000000002c8c (__TEXT,__text) external ___gettid
0000000000004d50 (__TEXT,__text) external ___gettimeofday
0000000000004d28 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000000d748 (__TEXT,__text) external ___getwgroups
000000000000d770 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000000004824 (__TEXT,__text) external ___guarded_open_np
000000000000d798 (__TEXT,__text) external ___identitysvc
0000000000004aec (__TEXT,__text) external ___inc_remove_counter
000000000000c638 (__TEXT,__text) external ___initgroups
000000000000539c (__TEXT,__text) external ___ioctl
00000000000056c8 (__TEXT,__text) external ___iopolicysys
000000000000d7c0 (__TEXT,__text) external ___kdebug_trace
0000000000003c34 (__TEXT,__text) external ___kdebug_trace64
000000000000d7e8 (__TEXT,__text) external ___kdebug_trace_string
0000000000006914 (__TEXT,__text) external ___kdebug_typefilter
0000000000030f78 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000000030f40 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000000008b34 (__TEXT,__text) external ___kill
000000000000724c (__TEXT,__text) external ___kqueue_workloop_ctl
0000000000006860 (__TEXT,__text) external ___lchown
000000000000693c (__TEXT,__text) external ___libkernel_init
