00000001d9428c20 (__DATA,__data) external _NDR_record
00000001803abbc0 (__TEXT,__text) non-external __Xexception_raise
00000001803aba44 (__TEXT,__text) non-external __Xexception_raise_state
00000001803ab870 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018039ae58 (__TEXT,__text) external _____sigwait_nocancel
00000001803c0838 (__TEXT,__const) external ____kernelVersionNumber
00000001803c0800 (__TEXT,__const) external ____kernelVersionString
000000018039ae84 (__TEXT,__text) external ___abort_with_payload
0000000180396944 (__TEXT,__text) external ___accept
000000018039aeb0 (__TEXT,__text) external ___accept_nocancel
000000018039aedc (__TEXT,__text) external ___access_extended
000000018039af08 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180395d6c (__TEXT,__text) external ___bind
0000000180391e10 (__TEXT,__text) external ___bsdthread_create
000000018038fdac (__TEXT,__text) external ___bsdthread_ctl
0000000180393eec (__TEXT,__text) external ___bsdthread_register
0000000180390ea0 (__TEXT,__text) external ___bsdthread_terminate
000000018039a6b0 (__TEXT,__text) external ___carbon_delete
000000018039af34 (__TEXT,__text) external ___channel_get_info
000000018039af60 (__TEXT,__text) external ___channel_get_opt
000000018039af8c (__TEXT,__text) external ___channel_open
000000018039afb8 (__TEXT,__text) external ___channel_set_opt
000000018039afe4 (__TEXT,__text) external ___channel_sync
0000000180391d58 (__TEXT,__text) external ___chmod
0000000180393988 (__TEXT,__text) external ___chmod_extended
000000018038f890 (__TEXT,__text) external ___close_nocancel
000000018039b010 (__TEXT,__text) external ___coalition
000000018039b03c (__TEXT,__text) external ___coalition_info
000000018039b068 (__TEXT,__text) external ___coalition_ledger
000000018038ff04 (__TEXT,__text) external ___commpage_gettimeofday
000000018038ff0c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180392580 (__TEXT,__text) external ___connect
00000001803923e8 (__TEXT,__text) external ___connect_nocancel
000000018039b094 (__TEXT,__text) external ___copyfile
000000018038eafc (__TEXT,__text) external ___csrctl
00000001803a3a2c (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018039b0c0 (__TEXT,__text) external ___debug_syscall_reject
000000018039b0ec (__TEXT,__text) external ___debug_syscall_reject_config
000000018039a6dc (__TEXT,__text) external ___delete
0000000180390e74 (__TEXT,__text) external ___disable_threadsignal
000000018038ea2c (__TEXT,__text) external ___error
000000018039b118 (__TEXT,__text) external ___execve
0000000180395748 (__TEXT,__text) external ___exit
000000018039283c (__TEXT,__text) external ___fchmod
0000000180393a94 (__TEXT,__text) external ___fchmod_extended
000000018038ebac (__TEXT,__text) external ___fcntl
0000000180392390 (__TEXT,__text) external ___fcntl_nocancel
0000000180395b28 (__TEXT,__text) external ___fork
000000018039b144 (__TEXT,__text) external ___fs_snapshot
000000018039c4f4 (__TEXT,__text) external ___fstat
0000000180393a68 (__TEXT,__text) external ___fstat64_extended
000000018039b170 (__TEXT,__text) external ___fstat_extended
000000018039c54c (__TEXT,__text) external ___fstatat
000000018039c5a4 (__TEXT,__text) external ___fstatfs
000000018039b19c (__TEXT,__text) external ___fsync_nocancel
0000000180397714 (__TEXT,__text) external ___get_remove_counter
000000018038ea48 (__TEXT,__text) external ___getattrlist
000000018038fcd0 (__TEXT,__text) external ___getdirentries64
000000018039c6ac (__TEXT,__text) external ___getfsstat
0000000180393930 (__TEXT,__text) external ___gethostuuid
000000018039a048 (__TEXT,__text) external ___getlogin
0000000180392714 (__TEXT,__text) external ___getpeername
000000018038e580 (__TEXT,__text) external ___getpid
00000001803903dc (__TEXT,__text) external ___getrlimit
000000018039b1c8 (__TEXT,__text) external ___getsgroups
0000000180395c34 (__TEXT,__text) external ___getsockname
000000018038fb90 (__TEXT,__text) external ___gettid
0000000180391e94 (__TEXT,__text) external ___gettimeofday
0000000180391e68 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018039b1f4 (__TEXT,__text) external ___getwgroups
000000018039b220 (__TEXT,__text) external ___guarded_open_dprotected_np
00000001803918cc (__TEXT,__text) external ___guarded_open_np
000000018039b24c (__TEXT,__text) external ___identitysvc
0000000180391bf0 (__TEXT,__text) external ___inc_remove_counter
000000018039a01c (__TEXT,__text) external ___initgroups
0000000180392554 (__TEXT,__text) external ___ioctl
00000001803928c4 (__TEXT,__text) external ___iopolicysys
000000018039b278 (__TEXT,__text) external ___kdebug_trace
0000000180390c34 (__TEXT,__text) external ___kdebug_trace64
000000018039b2a4 (__TEXT,__text) external ___kdebug_trace_string
0000000180393c08 (__TEXT,__text) external ___kdebug_typefilter
00000001803c08a8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001803c0870 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180396278 (__TEXT,__text) external ___kill
000000018039461c (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180393b44 (__TEXT,__text) external ___lchown
0000000180393c34 (__TEXT,__text) external ___libkernel_init
000000018039d8dc (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000018039d7ec (__TEXT,__text) external ___libkernel_init_late
0000000180393ed8 (__TEXT,__text) external ___libkernel_platform_init
000000018038e570 (__TEXT,__text) external ___libkernel_voucher_init
0000000180396918 (__TEXT,__text) external ___listen
000000018039b2d0 (__TEXT,__text) external ___log_data
000000018038f930 (__TEXT,__text) external ___lseek
000000018039c890 (__TEXT,__text) external ___lstat
00000001803939b4 (__TEXT,__text) external ___lstat64_extended
000000018039b2fc (__TEXT,__text) external ___lstat_extended
000000018039b328 (__TEXT,__text) external ___mac_execve
000000018039b354 (__TEXT,__text) external ___mac_get_fd
000000018039b380 (__TEXT,__text) external ___mac_get_file
000000018039b3ac (__TEXT,__text) external ___mac_get_link
000000018039b3d8 (__TEXT,__text) external ___mac_get_mount
000000018039b404 (__TEXT,__text) external ___mac_get_pid
000000018039b430 (__TEXT,__text) external ___mac_get_proc
000000018039b45c (__TEXT,__text) external ___mac_getfsstat
000000018039b488 (__TEXT,__text) external ___mac_mount
000000018039b4b4 (__TEXT,__text) external ___mac_set_fd
000000018039b4e0 (__TEXT,__text) external ___mac_set_file
000000018039b50c (__TEXT,__text) external ___mac_set_link
00000001803968b8 (__TEXT,__text) external ___mac_set_proc
000000018038fa3c (__TEXT,__text) external ___mac_syscall
000000018039b538 (__TEXT,__text) external ___mach_bridge_remote_time
000000018039b564 (__TEXT,__text) external ___mach_eventlink_signal
000000018039b590 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018039b5bc (__TEXT,__text) external ___mach_eventlink_wait_until
000000018039b5e8 (__TEXT,__text) external ___map_with_linking_np
000000018039b614 (__TEXT,__text) external ___memorystatus_available_memory
000000018039b640 (__TEXT,__text) external ___microstackshot
000000018039b66c (__TEXT,__text) external ___mkdir_extended
000000018039b698 (__TEXT,__text) external ___mkfifo_extended
000000018038ecfc (__TEXT,__text) external ___mmap
0000000180391e3c (__TEXT,__text) external ___mprotect
000000018039b6c4 (__TEXT,__text) external ___msgctl
000000018039b6f0 (__TEXT,__text) external ___msgrcv_nocancel
000000018039b71c (__TEXT,__text) external ___msgsnd_nocancel
000000018039b748 (__TEXT,__text) external ___msgsys
000000018039458c (__TEXT,__text) external ___msync
000000018039b774 (__TEXT,__text) external ___msync_nocancel
0000000180391a60 (__TEXT,__text) external ___munmap
000000018039b7a0 (__TEXT,__text) external ___nexus_create
