00007ffa04a5ab70 (__TEXT,__text) non-external +[INRecurrenceRule(REMUInt) rem_recurrenceRuleWithInterval:frequency:]
00007ffa04a5bc9b (__TEXT,__text) non-external +[NSColor(TTRCompatibility) ttr_systemPinkColor]
00007ffa04a5bc89 (__TEXT,__text) non-external +[NSColor(TTRCompatibility) ttr_systemPurpleColor]
00007ffa04a5ac1e (__TEXT,__text) non-external +[TTRUndoManager withActionName:undoManager:block:]
00007ffa04a5b65d (__TEXT,__text) non-external -[TTRReminderBaseTextStorage .cxx_destruct]
00007ffa04a5b4b5 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage attributesAtIndex:effectiveRange:]
00007ffa04a5b638 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage backingStore]
00007ffa04a5b3b4 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage init]
00007ffa04a5b613 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage mutableAttributedString:didEdit:range:changeInLength:]
00007ffa04a5b519 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage replaceCharactersInRange:withString:]
00007ffa04a5b596 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage setAttributes:range:]
00007ffa04a5b649 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage setBackingStore:]
00007ffa04a5b465 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage string]
00007ffa04a5b305 (__TEXT,__text) non-external -[TTRUndoManager .cxx_destruct]
00007ffa04a5ade7 (__TEXT,__text) non-external -[TTRUndoManager _consumePendingActionName]
00007ffa04a5ae82 (__TEXT,__text) non-external -[TTRUndoManager _registerLogUserAction:]
00007ffa04a5b2e3 (__TEXT,__text) non-external -[TTRUndoManager debugIdentifier]
00007ffa04a5b1ed (__TEXT,__text) non-external -[TTRUndoManager debug_redoStackDescription]
00007ffa04a5b13d (__TEXT,__text) non-external -[TTRUndoManager debug_undoStackDescription]
00007ffa04a5b0b5 (__TEXT,__text) non-external -[TTRUndoManager description]
00007ffa04a5b29d (__TEXT,__text) non-external -[TTRUndoManager disableRemoveAllActions]
00007ffa04a5aba4 (__TEXT,__text) non-external -[TTRUndoManager initWithDebugIdentifier:]
00007ffa04a5b2be (__TEXT,__text) non-external -[TTRUndoManager pendingActionName]
00007ffa04a5ad1e (__TEXT,__text) non-external -[TTRUndoManager registerUndoWithTarget:handler:]
00007ffa04a5ac94 (__TEXT,__text) non-external -[TTRUndoManager registerUndoWithTarget:selector:object:]
00007ffa04a5ada5 (__TEXT,__text) non-external -[TTRUndoManager removeAllActions]
00007ffa04a5b2f4 (__TEXT,__text) non-external -[TTRUndoManager setDebugIdentifier:]
00007ffa04a5b2ae (__TEXT,__text) non-external -[TTRUndoManager setDisableRemoveAllActions:]
00007ffa04a5b2cf (__TEXT,__text) non-external -[TTRUndoManager setPendingActionName:]
                 (undefined) external _CEMGetSharedEmojiCharacterSet (from CoreEmoji)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGColorCreateCopyByMatchingToColorSpace (from CoreGraphics)
                 (undefined) external _CGColorGetNumberOfComponents (from CoreGraphics)
