00007ffa445fc530 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa445fc470 (__DATA,__data) non-external _TIMEOUT
00007ffa445fc480 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa1ba7b4f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa1ba7b510 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa1ba77abe (__TEXT,__text) non-external __buf
00007ffa1ba8632a (__TEXT,__text) non-external __buf.cold.1
00007ffa1ba863d1 (__TEXT,__text) non-external __buf.cold.2
00007ffa1ba7799c (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa1ba86135 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa1ba861dc (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa1ba7c019 (__TEXT,__text) external __newrpclib__authenticate
00007ffa1ba86e34 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa1ba86ed1 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa1ba86f7f (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa445fc648 (__DATA,__common) external __newrpclib__null_auth
00007ffa1ba7bcbd (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa1ba7617c (__TEXT,__text) external __newrpclib_authnone_create
00007ffa1ba85c05 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa1ba762e0 (__TEXT,__text) external __newrpclib_authunix_create
00007ffa1ba85cac (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa1ba85d5a (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa1ba85e08 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa1ba85ea3 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa1ba7663f (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa1ba85fd9 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa1ba86087 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa1ba75f60 (__TEXT,__text) external __newrpclib_callrpc
00007ffa1ba7b229 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa1ba76c77 (__TEXT,__text) external __newrpclib_clnt_create
00007ffa1ba76a62 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa1ba76dc8 (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa1ba780d9 (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa1ba77e51 (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa1ba77d64 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa1ba77e93 (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa1ba77e1f (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa1ba77a85 (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa1ba78165 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa1ba8651f (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa1ba791e0 (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa1ba86c6c (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa1ba790bc (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa1ba86b36 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa1ba7914d (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa1ba86bd1 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa1ba79b64 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa1ba79bbc (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa1ba7973c (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa1ba79ba6 (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa1ba79bee (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa1ba7a25c (__TEXT,__text) external __newrpclib_getrpcport
00007ffa1ba82e64 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa1ba7afb9 (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa1ba7a2f8 (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa1ba7a53f (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa1ba7a54f (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa1ba7b3c4 (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa1ba7a55f (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa1ba83998 (__TEXT,__text) external __newrpclib_pmap_set
00007ffa1ba83aa4 (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa1ba7a78e (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa1ba83cdd (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa1ba83c9c (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa1ba83c57 (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa1ba83b9d (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffa1ba83bcd (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa1ba83c12 (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa1ba7cb20 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa1ba87205 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa1ba872a0 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa1ba8733b (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa1ba873e0 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa445fc518 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa1ba7b8cc (__TEXT,__text) external __newrpclib_rpc_control
00007ffa1ba86da0 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa445fc670 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa445fc418 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa1ba7a880 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa1ba85594 (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa1ba855b4 (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa1ba84df3 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa1ba8a6e3 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa1ba855a4 (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa1ba854e1 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa1ba7b233 (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa1ba856d0 (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa1ba8598a (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa1ba84070 (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa1ba83e3b (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa1ba83dfa (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa1ba8402f (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa1ba83db4 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa1ba83fe9 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa1ba84227 (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa1ba8426d (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa1ba83e88 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa1ba840bd (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa1ba84194 (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa1ba841da (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa1ba83d2a (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa1ba83f5f (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa1ba83f19 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa1ba8414e (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa1ba83ec8 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffa1ba840fd (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffa1ba83d6f (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffa1ba83fa4 (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffa1ba83210 (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffa1ba7662b (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffa1ba82da2 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffa1ba8043d (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffa1ba89e5e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffa1ba89ef2 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffa1ba89fa0 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffa1ba7ca8f (__TEXT,__text) external __newrpclib_svc_exit
00007ffa1ba80553 (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffa1ba80545 (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffa1ba80538 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffa1ba8002e (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffa1ba7c70b (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffa1ba8714a (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffa1ba7f42a (__TEXT,__text) external __newrpclib_svc_register
00007ffa1ba7f829 (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffa1ba7c239 (__TEXT,__text) external __newrpclib_svc_run
00007ffa1ba7f798 (__TEXT,__text) external __newrpclib_svc_sendreply
