0000000180482f1c (__TEXT,__text) external _OSAtomicAdd32
0000000180482fdc (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001804830d8 (__TEXT,__text) external _OSAtomicAdd64
0000000180483250 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001804831e0 (__TEXT,__text) external _OSAtomicAnd32
0000000180483c64 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180483bd8 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001804830fc (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180482f08 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180482f9c (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180481fa0 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180482f88 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180483198 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180483280 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001804831b8 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180483108 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001804831cc (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180482fb0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001804824e0 (__TEXT,__text) external _OSAtomicDecrement32
0000000180483050 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180483240 (__TEXT,__text) external _OSAtomicDecrement64
00000001804831f0 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001804806d0 (__TEXT,__text) external _OSAtomicDequeue
00000001804809b0 (__TEXT,__text) external _OSAtomicEnqueue
0000000180484b94 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180485fbc (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180484b28 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180485fbc (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
00000001804824d0 (__TEXT,__text) external _OSAtomicIncrement32
0000000180483040 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180482d9c (__TEXT,__text) external _OSAtomicIncrement64
