                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000200232bf8 (__TEXT,__text) external __crypt_blowfish_rn
0000000200235048 (__TEXT,__text) external __crypt_gensalt_blowfish_rn
0000000200232ba4 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
000000020023796c (__TEXT,__text) external _apr_base64_decode
0000000200237994 (__TEXT,__text) external _apr_base64_decode_binary
0000000200237928 (__TEXT,__text) external _apr_base64_decode_len
0000000200237ae8 (__TEXT,__text) external _apr_base64_encode
0000000200237aec (__TEXT,__text) external _apr_base64_encode_binary
0000000200237ac0 (__TEXT,__text) external _apr_base64_encode_len
0000000200231b14 (__TEXT,__text) external _apr_bcrypt_encode
000000020022d7e8 (__TEXT,__text) external _apr_brigade_cleanup
000000020022d8bc (__TEXT,__text) external _apr_brigade_create
000000020022d858 (__TEXT,__text) external _apr_brigade_destroy
000000020022dc18 (__TEXT,__text) external _apr_brigade_flatten
000000020022e758 (__TEXT,__text) external _apr_brigade_insert_file
000000020022db64 (__TEXT,__text) external _apr_brigade_length
000000020022da38 (__TEXT,__text) external _apr_brigade_partition
000000020022dce8 (__TEXT,__text) external _apr_brigade_pflatten
000000020022e5fc (__TEXT,__text) external _apr_brigade_printf
000000020022e544 (__TEXT,__text) external _apr_brigade_putc
000000020022e570 (__TEXT,__text) external _apr_brigade_puts
000000020022e5d0 (__TEXT,__text) external _apr_brigade_putstrs
000000020022da30 (__TEXT,__text) external _apr_brigade_split
000000020022d938 (__TEXT,__text) external _apr_brigade_split_ex
000000020022dd64 (__TEXT,__text) external _apr_brigade_split_line
000000020022e0a4 (__TEXT,__text) external _apr_brigade_to_iovec
000000020022e628 (__TEXT,__text) external _apr_brigade_vprintf
000000020022e154 (__TEXT,__text) external _apr_brigade_vputstrs
000000020022def4 (__TEXT,__text) external _apr_brigade_write
000000020022e250 (__TEXT,__text) external _apr_brigade_writev
000000020022e92c (__TEXT,__text) external _apr_bucket_alloc
000000020022e7e0 (__TEXT,__text) external _apr_bucket_alloc_create
000000020022e868 (__TEXT,__text) external _apr_bucket_alloc_create_ex
000000020022e8d4 (__TEXT,__text) external _apr_bucket_alloc_destroy
000000020022e7d0 (__TEXT,__text) external _apr_bucket_copy_notimpl
000000020022e7dc (__TEXT,__text) external _apr_bucket_destroy_noop
000000020022ea28 (__TEXT,__text) external _apr_bucket_eos_create
000000020022ea14 (__TEXT,__text) external _apr_bucket_eos_make
000000020022eb04 (__TEXT,__text) external _apr_bucket_file_create
000000020022eba4 (__TEXT,__text) external _apr_bucket_file_enable_mmap
000000020022ea8c (__TEXT,__text) external _apr_bucket_file_make
000000020022ef00 (__TEXT,__text) external _apr_bucket_flush_create
000000020022eeec (__TEXT,__text) external _apr_bucket_flush_make
000000020022e9e4 (__TEXT,__text) external _apr_bucket_free
000000020022f024 (__TEXT,__text) external _apr_bucket_heap_create
000000020022ef64 (__TEXT,__text) external _apr_bucket_heap_make
000000020022f99c (__TEXT,__text) external _apr_bucket_immortal_create
000000020022f988 (__TEXT,__text) external _apr_bucket_immortal_make
000000020022f1b4 (__TEXT,__text) external _apr_bucket_mmap_create
000000020022f10c (__TEXT,__text) external _apr_bucket_mmap_make
000000020022f3b4 (__TEXT,__text) external _apr_bucket_pipe_create
000000020022f39c (__TEXT,__text) external _apr_bucket_pipe_make
000000020022f6b8 (__TEXT,__text) external _apr_bucket_pool_create
000000020022f5b4 (__TEXT,__text) external _apr_bucket_pool_make
000000020022e7b0 (__TEXT,__text) external _apr_bucket_setaside_noop
000000020022e7b8 (__TEXT,__text) external _apr_bucket_setaside_notimpl
000000020022f83c (__TEXT,__text) external _apr_bucket_shared_copy
000000020022f870 (__TEXT,__text) external _apr_bucket_shared_destroy
000000020022f884 (__TEXT,__text) external _apr_bucket_shared_make
000000020022f808 (__TEXT,__text) external _apr_bucket_shared_split
000000020022f898 (__TEXT,__text) external _apr_bucket_simple_copy
000000020022f8f0 (__TEXT,__text) external _apr_bucket_simple_split
000000020022fae0 (__TEXT,__text) external _apr_bucket_socket_create
000000020022fac8 (__TEXT,__text) external _apr_bucket_socket_make
000000020022e7c4 (__TEXT,__text) external _apr_bucket_split_notimpl
000000020022fa14 (__TEXT,__text) external _apr_bucket_transient_create
000000020022fa00 (__TEXT,__text) external _apr_bucket_transient_make
0000000211085be0 (__AUTH_CONST,__const) external _apr_bucket_type_eos
0000000211085c18 (__AUTH_CONST,__const) external _apr_bucket_type_file
0000000211085c50 (__AUTH_CONST,__const) external _apr_bucket_type_flush
0000000211085c88 (__AUTH_CONST,__const) external _apr_bucket_type_heap
0000000211085d68 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
0000000211085cc0 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
0000000211085cf8 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
0000000211085d30 (__AUTH_CONST,__const) external _apr_bucket_type_pool
0000000211085dd8 (__AUTH_CONST,__const) external _apr_bucket_type_socket
0000000211085da0 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
000000020e2f1460 (__DATA,__common) external _apr_current_hooking_module
000000020023b11c (__TEXT,__text) external _apr_date_checkmask
000000020023b264 (__TEXT,__text) external _apr_date_parse_http
000000020023b640 (__TEXT,__text) external _apr_date_parse_rfc
0000000200235890 (__TEXT,__text) external _apr_dbd_check_conn
00000002002358b0 (__TEXT,__text) external _apr_dbd_close
0000000200236060 (__TEXT,__text) external _apr_dbd_datum_get
00000002002358a0 (__TEXT,__text) external _apr_dbd_error
