00007ff80efced35 (__TEXT,__text) external _BNNSAffineGridSample
00007ff80efd443c (__TEXT,__text) external _BNNSApplyMultiheadAttention
00007ff80efd4af0 (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
00007ff80efd3040 (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
00007ff80efd1510 (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
00007ff80efced0a (__TEXT,__text) external _BNNSBandPart
00007ff80f4dcd83 (__TEXT,__text) external _BNNSClearNetwork
00007ff80efcf3c1 (__TEXT,__text) external _BNNSClipByGlobalNorm
00007ff80efcf26f (__TEXT,__text) external _BNNSClipByNorm
00007ff80efcf11d (__TEXT,__text) external _BNNSClipByValue
00007ff80efdc6e2 (__TEXT,__text) external _BNNSCompareTensor
00007ff80efdbbd2 (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
00007ff80efcf51d (__TEXT,__text) external _BNNSComputeNorm
00007ff80efcf66e (__TEXT,__text) external _BNNSComputeNormBackward
00007ff80f08e8ac (__TEXT,__text) external _BNNSComputeSimilarities
00007ff80efd51ea (__TEXT,__text) external _BNNSCopy
00007ff80efcc0dc (__TEXT,__text) external _BNNSCreateNearestNeighbors
00007ff80efd0500 (__TEXT,__text) external _BNNSCreateRandomGenerator
00007ff80efd050a (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
00007ff80efced17 (__TEXT,__text) external _BNNSCropResize
00007ff80efced21 (__TEXT,__text) external _BNNSCropResizeBackward
00007ff80efdc735 (__TEXT,__text) external _BNNSDataLayoutGetRank
00007ff80ed4ff74 (__TEXT,__text) external _BNNSDequantize
00007ff80efcc0e6 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
00007ff80efd0514 (__TEXT,__text) external _BNNSDestroyRandomGenerator
00007ff80efdbc8c (__TEXT,__text) external _BNNSDirectApplyActivationBatch
00007ff80efdbd18 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
00007ff80efdbbbe (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
00007ff80efd56df (__TEXT,__text) external _BNNSDirectApplyInTopK
00007ff80efdbc2b (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
00007ff80efdbbdc (__TEXT,__text) external _BNNSDirectApplyLSTMBatchTrainingCaching
00007ff80efcefc1 (__TEXT,__text) external _BNNSDirectApplyQuantizer
00007ff80efd551a (__TEXT,__text) external _BNNSDirectApplyReduction
00007ff80efd56a8 (__TEXT,__text) external _BNNSDirectApplyTopK
00007ff80efdc6be (__TEXT,__text) external _BNNSFilterApply
00007ff80efd9226 (__TEXT,__text) external _BNNSFilterApplyBackwardBatch
00007ff80efd3c2c (__TEXT,__text) external _BNNSFilterApplyBackwardTwoInputBatch
00007ff80efd7d00 (__TEXT,__text) external _BNNSFilterApplyBatch
00007ff80efd355c (__TEXT,__text) external _BNNSFilterApplyTwoInput
00007ff80efd3581 (__TEXT,__text) external _BNNSFilterApplyTwoInputBatch
00007ff80efd5e28 (__TEXT,__text) external _BNNSFilterCreateBatchLayerFullyConnected
00007ff80efdc490 (__TEXT,__text) external _BNNSFilterCreateConvolutionLayer
00007ff80efdc6aa (__TEXT,__text) external _BNNSFilterCreateFullyConnectedLayer
00007ff80efd6054 (__TEXT,__text) external _BNNSFilterCreateFusedLayer
00007ff80efd5e46 (__TEXT,__text) external _BNNSFilterCreateLayerActivation
00007ff80efd602c (__TEXT,__text) external _BNNSFilterCreateLayerArithmetic
00007ff80efd354d (__TEXT,__text) external _BNNSFilterCreateLayerBroadcastMatMul
00007ff80efd5e06 (__TEXT,__text) external _BNNSFilterCreateLayerConvolution
00007ff80efd5506 (__TEXT,__text) external _BNNSFilterCreateLayerDepthwiseConvolution
00007ff80efd6040 (__TEXT,__text) external _BNNSFilterCreateLayerDropout
00007ff80efcefb7 (__TEXT,__text) external _BNNSFilterCreateLayerEmbedding
00007ff80efd5e1c (__TEXT,__text) external _BNNSFilterCreateLayerFullyConnected
00007ff80efd3521 (__TEXT,__text) external _BNNSFilterCreateLayerGram
00007ff80efd5e50 (__TEXT,__text) external _BNNSFilterCreateLayerLoss
00007ff80efd4432 (__TEXT,__text) external _BNNSFilterCreateLayerMultiheadAttention
00007ff80efd5e5a (__TEXT,__text) external _BNNSFilterCreateLayerNormalization
00007ff80efd604a (__TEXT,__text) external _BNNSFilterCreateLayerPadding
00007ff80efd6036 (__TEXT,__text) external _BNNSFilterCreateLayerPermute
00007ff80efd5e3c (__TEXT,__text) external _BNNSFilterCreateLayerPooling
00007ff80efd5510 (__TEXT,__text) external _BNNSFilterCreateLayerReduction
00007ff80efd4428 (__TEXT,__text) external _BNNSFilterCreateLayerResize
00007ff80efcf7cf (__TEXT,__text) external _BNNSFilterCreateLayerSparseEmbedding
00007ff80efd5e32 (__TEXT,__text) external _BNNSFilterCreateLayerSparseFullyConnected
00007ff80efd34ef (__TEXT,__text) external _BNNSFilterCreateLayerTensorContraction
00007ff80efd5e10 (__TEXT,__text) external _BNNSFilterCreateLayerTransposedConvolution
00007ff80efdc6b4 (__TEXT,__text) external _BNNSFilterCreatePoolingLayer
00007ff80efdc6d8 (__TEXT,__text) external _BNNSFilterCreateVectorActivationLayer
00007ff80efdbf9a (__TEXT,__text) external _BNNSFilterDestroy
00007ff80efd5b7c (__TEXT,__text) external _BNNSFilterGetState
00007ff80efd56f3 (__TEXT,__text) external _BNNSFilterGetStateSize
00007ff80efd5898 (__TEXT,__text) external _BNNSFilterSetState
00007ff80f007ff0 (__TEXT,__text) external _BNNSFunctionGRUFusedGates
00007ff80efdaf04 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardBatch
