                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffb0d587f09 (__TEXT,__text) external _PFCheckNATRule
00007ffb0d585909 (__TEXT,__text) external _PFCheckRule
00007ffb0d5848b0 (__TEXT,__text) external _PFFindStatesByDescriptor
00007ffb0d584c48 (__TEXT,__text) external _PFGetDescriptorStateDetails
00007ffb0d5856a5 (__TEXT,__text) external _PFManagerAddUser
00007ffb0d585741 (__TEXT,__text) external _PFManagerCheckUserExists
00007ffb0d5855b4 (__TEXT,__text) external _PFManagerCreate
00007ffb0d5853a7 (__TEXT,__text) external _PFManagerDebugLog
00007ffb0d5850a7 (__TEXT,__text) external _PFManagerErrorLog
00007ffb0d584fe8 (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00007ffb0d58545b (__TEXT,__text) external _PFManagerGetQueue
00007ffb0d5852f3 (__TEXT,__text) external _PFManagerInfoLog
00007ffb0d5851a1 (__TEXT,__text) external _PFManagerLogOpen
00007ffb0d585242 (__TEXT,__text) external _PFManagerNoticeLog
00007ffb0d58586a (__TEXT,__text) external _PFManagerRelease
00007ffb0d58579d (__TEXT,__text) external _PFManagerReleaseUser
00007ffb0d58582a (__TEXT,__text) external _PFManagerSendMessage
00007ffb0d584b38 (__TEXT,__text) external _PFStateQueryAppendTrafficDescriptor
00007ffb0d582aeb (__TEXT,__text) external _PFUserAddRule
00007ffb0d5828ba (__TEXT,__text) external _PFUserBeginRules
00007ffb0d5830f2 (__TEXT,__text) external _PFUserClearRules
00007ffb0d584178 (__TEXT,__text) external _PFUserClearStates
00007ffb0d582d4f (__TEXT,__text) external _PFUserCommitRules
00007ffb0d583fc2 (__TEXT,__text) external _PFUserCopyRules_S
00007ffb0d58240c (__TEXT,__text) external _PFUserCreate
00007ffb0d583b0f (__TEXT,__text) external _PFUserDeleteRule
00007ffb0d583258 (__TEXT,__text) external _PFUserDeleteRules
00007ffb0d583d7a (__TEXT,__text) external _PFUserGetRules
00007ffb0d5835f2 (__TEXT,__text) external _PFUserInsertRule
00007ffb0d5838d4 (__TEXT,__text) external _PFUserInsertRule_S
00007ffb0d5843d6 (__TEXT,__text) external _PFUserNATLook
00007ffb0d58468f (__TEXT,__text) external _PFUserNATLook_S
00007ffb0d5834b6 (__TEXT,__text) external _PFUserRelease
00007ffb0d5887ac (__TEXT,__text) external _PFXPCCleanup
00007ffb0d5884d0 (__TEXT,__text) external _PFXPCGetResponse
00007ffb0d5884dd (__TEXT,__text) external _PFXPCSetupAndSend
00007ffb0d588c98 (__TEXT,__const) external _PacketFilterVersionNumber
00007ffb0d588c60 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
