0000000180b61b6c (__TEXT,__text) external _OSAtomicAdd32
0000000180b61b78 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180b61bc4 (__TEXT,__text) external _OSAtomicAdd64
0000000180b61bd0 (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180b61c1c (__TEXT,__text) external _OSAtomicAnd32
0000000180b61c2c (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180b61c3c (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180b61c48 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180b61ca4 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180b61cb8 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180b61d44 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180b61d58 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180b61cf4 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180b61d08 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180b61d1c (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180b61d30 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180b61ccc (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180b61ce0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180b61ba4 (__TEXT,__text) external _OSAtomicDecrement32
0000000180b61bb4 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180b61bfc (__TEXT,__text) external _OSAtomicDecrement64
0000000180b61c0c (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180b61edc (__TEXT,__text) external _OSAtomicDequeue
0000000180b61e6c (__TEXT,__text) external _OSAtomicEnqueue
0000000180b60180 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180b63a4c (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180b60118 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180b63a4c (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180b61b84 (__TEXT,__text) external _OSAtomicIncrement32
0000000180b61b94 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180b61bdc (__TEXT,__text) external _OSAtomicIncrement64
0000000180b61bec (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180b61c54 (__TEXT,__text) external _OSAtomicOr32
0000000180b61c60 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180b61c6c (__TEXT,__text) external _OSAtomicOr32Orig
0000000180b61c74 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180b61dec (__TEXT,__text) external _OSAtomicTestAndClear
0000000180b61e2c (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180b61d6c (__TEXT,__text) external _OSAtomicTestAndSet
0000000180b61dac (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180b61c7c (__TEXT,__text) external _OSAtomicXor32
0000000180b61c88 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180b61c94 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180b61c9c (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180b61f5c (__TEXT,__text) external _OSMemoryBarrier
0000000180b60650 (__TEXT,__text) external _OSSpinLockLock
0000000180b6066c (__TEXT,__text) external _OSSpinLockTry
0000000180b6069c (__TEXT,__text) external _OSSpinLockUnlock
0000000180b64233 (__TEXT,__cstring) non-external __0x
0000000180b64211 (__TEXT,__cstring) non-external __H
0000000180b61f38 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180b61eb4 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180b60508 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180b60580 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180b62fe0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182bc8058 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180b5e000 (__TEXT,__text) external ___libplatform_init
0000000180b61074 (__TEXT,__text) external ___os_once_reset
0000000180b602f0 (__TEXT,__text) non-external (was a private external) ___os_security_config_init
0000000180b63a74 (__TEXT,__text) non-external ___os_security_config_init.cold.1
0000000180b60040 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180b641a0 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180b64168 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180b61fd4 (__TEXT,__text) external ___platform_sigaction
0000000182bc8040 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180b5e51c (__TEXT,__text) non-external ___simple_bprintf
0000000180b6248c (__TEXT,__text) external ___sme_memchr
0000000180b62828 (__TEXT,__text) external ___sme_memcpy
0000000180b628fc (__TEXT,__text) external ___sme_memmove
0000000180b633a0 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180b635c8 (__TEXT,__text) external __ctx_done
0000000180b638f0 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180b5ef60 (__TEXT,__text) non-external __enlarge
0000000180b63a24 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180b5ee2c (__TEXT,__text) non-external __flush
0000000180b5e4f0 (__TEXT,__text) non-external __flush_reset
0000000180b64222 (__TEXT,__cstring) non-external __h
0000000180b620b0 (__TEXT,__text) external __longjmp
0000000180b616c8 (__TEXT,__text) non-external __os_alloc
0000000180b63cf4 (__TEXT,__text) non-external __os_alloc.cold.1
0000000182bc8050 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180b61678 (__TEXT,__text) external __os_alloc_once
0000000180b61784 (__TEXT,__text) non-external __os_alloc_slow
0000000180b63a94 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180b606ec (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180b6073c (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180b60710 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180b60730 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180b61010 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180b61034 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180b61054 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180b63c24 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180b606a4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180b606c4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180b606e0 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180b641a8 (__TEXT,__const) non-external __os_lock_type_base
0000000182c4f940 (__AUTH_CONST,__const) external __os_lock_type_eliding
0000000182c4f960 (__AUTH_CONST,__const) external __os_lock_type_handoff
0000000182c4f9a0 (__AUTH_CONST,__const) external __os_lock_type_nospin
0000000182c4f940 (__AUTH_CONST,__const) external __os_lock_type_spin
0000000182c4f940 (__AUTH_CONST,__const) external __os_lock_type_transactional
0000000182c4f980 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180b60da0 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180b60dcc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180b60dec (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180b60e0c (__TEXT,__text) external __os_nospin_lock_lock
0000000180b60e2c (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180b60f28 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180b60f44 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180b60f60 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180b6113c (__TEXT,__text) external __os_once
0000000180b63cd0 (__TEXT,__text) non-external __os_once.cold.1
0000000180b61194 (__TEXT,__text) non-external __os_once_callout
0000000180b61090 (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180b63bfc (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180b63bac (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180b63bd4 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180b61208 (__TEXT,__text) non-external __os_once_gate_wait
0000000180b61a90 (__TEXT,__text) external __os_semaphore_create
0000000180b63d1c (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180b63d44 (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180b61ae4 (__TEXT,__text) external __os_semaphore_dispose
0000000180b63d6c (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180b61b14 (__TEXT,__text) external __os_semaphore_signal
0000000180b63d94 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180b61b34 (__TEXT,__text) external __os_semaphore_wait
0000000180b63dbc (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180b63b0c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180b60828 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180b63abc (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180b60a00 (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180b60ad8 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180b63ae4 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180b62fe0 (__TEXT,__text) external __platform_bzero
0000000180b622e0 (__TEXT,__text) external __platform_memccpy
0000000180b62b60 (__TEXT,__text) external __platform_memchr
0000000180b62c70 (__TEXT,__text) external __platform_memcmp
0000000180b63120 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180b62560 (__TEXT,__text) external __platform_memmove
0000000180b63040 (__TEXT,__text) external __platform_memset
0000000180b63220 (__TEXT,__text) external __platform_memset_pattern16
0000000180b631e0 (__TEXT,__text) external __platform_memset_pattern4
0000000180b63200 (__TEXT,__text) external __platform_memset_pattern8
0000000180b634c0 (__TEXT,__text) external __platform_strchr
0000000180b63468 (__TEXT,__text) external __platform_strcmp
0000000180b62a10 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
0000000180b62224 (__TEXT,__text) external __platform_strcpy
0000000182c4f8b8 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180b623f0 (__TEXT,__text) external __platform_strlcat
0000000180b62264 (__TEXT,__text) external __platform_strlcpy
0000000180b62e60 (__TEXT,__text) external __platform_strlen
0000000180b6347c (__TEXT,__text) external __platform_strncmp
0000000180b62ed0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180b62368 (__TEXT,__text) external __platform_strncpy
0000000180b62dc0 (__TEXT,__text) external __platform_strnlen
0000000180b6219c (__TEXT,__text) external __platform_strstr
0000000180b6385c (__TEXT,__text) non-external (was a private external) __setcontext
0000000180b62050 (__TEXT,__text) external __setjmp
0000000180b61f80 (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180b61f64 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180b5e28c (__TEXT,__text) non-external __simple_asl_escape_key
0000000180b5e300 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180b5e488 (__TEXT,__text) external __simple_asl_log
0000000180b5e3a8 (__TEXT,__text) external __simple_asl_log_prog
0000000180b5e0f4 (__TEXT,__text) external __simple_asl_msg_new
0000000180b5e140 (__TEXT,__text) external __simple_asl_msg_set
0000000180b5e360 (__TEXT,__text) external __simple_asl_send
0000000180b5eea8 (__TEXT,__text) external __simple_dprintf
0000000180b5f1fc (__TEXT,__text) external __simple_esappend
0000000180b5f11c (__TEXT,__text) external __simple_esprintf
0000000180b5e048 (__TEXT,__text) external __simple_getenv
0000000180b5f2cc (__TEXT,__text) external __simple_put
0000000180b5f2d4 (__TEXT,__text) external __simple_putline
0000000180b5eed4 (__TEXT,__text) external __simple_salloc
0000000180b5f190 (__TEXT,__text) external __simple_sappend
0000000180b5f31c (__TEXT,__text) external __simple_sfree
0000000180b5f0e4 (__TEXT,__text) external __simple_sprintf
0000000180b5f15c (__TEXT,__text) external __simple_sresize
0000000180b5f14c (__TEXT,__text) external __simple_string
0000000180b5e490 (__TEXT,__text) external __simple_vdprintf
0000000180b5f0c8 (__TEXT,__text) external __simple_vesprintf
0000000180b5f0a0 (__TEXT,__text) external __simple_vsprintf
0000000180b60650 (__TEXT,__text) external __spin_lock
0000000180b60684 (__TEXT,__text) external __spin_lock_try
0000000180b6069c (__TEXT,__text) external __spin_unlock
0000000182bc8048 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
0000000180b602c8 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000180b5f3b0 (__TEXT,__text) non-external _dec
0000000180b62ae8 (__TEXT,__text) external _ffs
0000000180b62b00 (__TEXT,__text) external _ffsl
0000000180b62b00 (__TEXT,__text) external _ffsll
0000000180b62b18 (__TEXT,__text) external _fls
0000000180b62b28 (__TEXT,__text) external _flsl
0000000180b62b28 (__TEXT,__text) external _flsll
0000000182bc1dd8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180b63920 (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180b5f8ac (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
0000000180b62160 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180b635f0 (__TEXT,__text) external _makecontext
0000000180b622dc (__TEXT,__text) non-external (was a private external) _memset
0000000180b5f6d8 (__TEXT,__text) non-external _oct
0000000180b618bc (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
0000000180b61974 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
0000000180b6191c (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
0000000180b6199c (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
0000000180b6194c (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
0000000180b619a0 (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
0000000180b61a60 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
0000000180b61a00 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
0000000180b61a8c (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
0000000180b61a34 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
0000000180b604d8 (__TEXT,__text) external _os_lock_lock
0000000180b604e8 (__TEXT,__text) external _os_lock_trylock
0000000180b604f8 (__TEXT,__text) external _os_lock_unlock
0000000180b60408 (__TEXT,__text) external _os_security_config_get
0000000180b60414 (__TEXT,__text) external _os_security_config_get_for_proc
0000000180b60480 (__TEXT,__text) external _os_security_config_get_for_task
0000000180b614d8 (__TEXT,__text) external _os_sync_wait_on_address
0000000180b61398 (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
0000000180b61438 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
0000000180b615f0 (__TEXT,__text) external _os_sync_wake_by_address_all
0000000180b61568 (__TEXT,__text) external _os_sync_wake_by_address_any
0000000180b60c08 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180b63c74 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180b60bdc (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180b63c4c (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180b60800 (__TEXT,__text) external _os_unfair_lock_lock
0000000180b60b84 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180b60bb8 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
0000000180b6099c (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180b609c0 (__TEXT,__text) external _os_unfair_lock_trylock
0000000180b609dc (__TEXT,__text) external _os_unfair_lock_trylock_with_options
0000000180b60abc (__TEXT,__text) external _os_unfair_lock_unlock
0000000180b60ba4 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180b60c50 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180b60c34 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180b63b68 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180b60cf0 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180b63c9c (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
0000000180b60c90 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180b60d60 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180b63cb0 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180b6374c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
0000000180b63a1c (__TEXT,__text) non-external _sb
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180b637f4 (__TEXT,__text) external _setcontext
0000000180b62120 (__TEXT,__text) external _setjmp
0000000180b62154 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180b62114 (__TEXT,__text) external _sigsetjmp
0000000180b60650 (__TEXT,__text) external _spin_lock
0000000180b60684 (__TEXT,__text) external _spin_lock_try
0000000180b6069c (__TEXT,__text) external _spin_unlock
0000000180b63538 (__TEXT,__text) external _swapcontext
0000000180b601e8 (__TEXT,__text) external _sys_cache_control
0000000180b602e8 (__TEXT,__text) external _sys_dcache_flush
0000000180b60234 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180b639a8 (__TEXT,__text) external _timingsafe_enable_if_supported
0000000180b63a00 (__TEXT,__text) external _timingsafe_restore_if_supported
0000000180b5fc08 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180b5fdec (__TEXT,__text) non-external _ydec
