
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstored (for architecture x86_64):
                 (undefined) external _$s10Foundation10CocoaErrorV13userCancelledAC4CodeVvgZ (from Foundation)
                 (undefined) external _$s10Foundation10CocoaErrorV18fileReadNoSuchFileAC4CodeVvgZ (from Foundation)
                 (undefined) external _$s10Foundation10CocoaErrorV4CodeVAA01_cD8ProtocolAAMc (from Foundation)
                 (undefined) external _$s10Foundation10CocoaErrorV4CodeVMa (from Foundation)
                 (undefined) external _$s10Foundation10POSIXErrorV6ENOSPC6Darwin0B4CodeOvgZ (from Foundation)
                 (undefined) external _$s10Foundation10POSIXErrorV8_nsErrorSo7NSErrorCvg (from Foundation)
                 (undefined) external _$s10Foundation10POSIXErrorVAA21_BridgedStoredNSErrorAAMc (from Foundation)
                 (undefined) external _$s10Foundation10POSIXErrorVMa (from Foundation)
                 (undefined) external _$s10Foundation10URLRequestV19_bridgeToObjectiveCSo12NSURLRequestCyF (from Foundation)
                 (undefined) external _$s10Foundation10URLRequestV36_unconditionallyBridgeFromObjectiveCyACSo12NSURLRequestCSgFZ (from Foundation)
                 (undefined) external _$s10Foundation10URLRequestV3url11cachePolicy15timeoutIntervalAcA3URLV_So017NSURLRequestCacheE0VSdtcfC (from Foundation)
                 (undefined) external _$s10Foundation10URLRequestV3urlAA3URLVSgvg (from Foundation)
                 (undefined) external _$s10Foundation10URLRequestV5value18forHTTPHeaderFieldSSSgSS_tF (from Foundation)
                 (undefined) external _$s10Foundation10URLRequestV8setValue_18forHTTPHeaderFieldySSSg_SStF (from Foundation)
                 (undefined) external _$s10Foundation10URLRequestVMa (from Foundation)
                 (undefined) external _$s10Foundation10URLRequestVMn (from Foundation)
                 (undefined) external _$s10Foundation11JSONDecoderC6decode_4fromxxm_AA4DataVtKSeRzlFTj (from Foundation)
                 (undefined) external _$s10Foundation11JSONDecoderCACycfc (from Foundation)
                 (undefined) external _$s10Foundation11JSONDecoderCMa (from Foundation)
                 (undefined) external _$s10Foundation11JSONDecoderCMn (from Foundation)
                 (undefined) external _$s10Foundation11JSONEncoderC19KeyEncodingStrategyO18convertToSnakeCaseyA2EmFWC (from Foundation)
                 (undefined) external _$s10Foundation11JSONEncoderC19KeyEncodingStrategyOMa (from Foundation)
                 (undefined) external _$s10Foundation11JSONEncoderC19keyEncodingStrategyAC03KeydE0OvsTj (from Foundation)
                 (undefined) external _$s10Foundation11JSONEncoderC6encodeyAA4DataVxKSERzlFTj (from Foundation)
                 (undefined) external _$s10Foundation11JSONEncoderCACycfc (from Foundation)
                 (undefined) external _$s10Foundation11JSONEncoderCMa (from Foundation)
                 (undefined) external _$s10Foundation11JSONEncoderCMn (from Foundation)
                 (undefined) external _$s10Foundation12DateIntervalV19_bridgeToObjectiveCSo06NSDateC0CyF (from Foundation)
                 (undefined) external _$s10Foundation12DateIntervalV5start8durationAcA0B0V_SdtcfC (from Foundation)
                 (undefined) external _$s10Foundation12DateIntervalVMa (from Foundation)
                 (undefined) external _$s10Foundation12DateIntervalVMn (from Foundation)
                 (undefined) external _$s10Foundation12URLQueryItemV4name5valueACSSh_SSSghtcfC (from Foundation)
                 (undefined) external _$s10Foundation12URLQueryItemV4nameSSvg (from Foundation)
                 (undefined) external _$s10Foundation12URLQueryItemV5valueSSSgvg (from Foundation)
                 (undefined) external _$s10Foundation12URLQueryItemVMa (from Foundation)
                 (undefined) external _$s10Foundation12URLQueryItemVMn (from Foundation)
                 (undefined) external _$s10Foundation13CustomNSErrorMp (from Foundation)
                 (undefined) external _$s10Foundation13CustomNSErrorP11errorDomainSSvgZTq (from Foundation)
                 (undefined) external _$s10Foundation13CustomNSErrorP13errorUserInfoSDySSypGvgTq (from Foundation)
                 (undefined) external _$s10Foundation13CustomNSErrorP9errorCodeSivgTq (from Foundation)
                 (undefined) external _$s10Foundation13CustomNSErrorPAAE11errorDomainSSvgZ (from Foundation)
                 (undefined) external _$s10Foundation13CustomNSErrorPs5ErrorTb (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsV10queryItemsSayAA12URLQueryItemVGSgvg (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsV10queryItemsSayAA12URLQueryItemVGSgvs (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsV3url23resolvingAgainstBaseURLACSgAA0G0Vh_SbtcfC (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsV3urlAA3URLVSgvg (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsV4hostSSSgvs (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsV4pathSSvs (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsV6schemeSSSgvs (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsVACycfC (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsVMa (from Foundation)
                 (undefined) external _$s10Foundation13URLComponentsVMn (from Foundation)
                 (undefined) external _$s10Foundation13__DataStorageC5bytes6lengthACSVSg_Sitcfc (from Foundation)
                 (undefined) external _$s10Foundation13__DataStorageC6_bytesSvSgvg (from Foundation)
                 (undefined) external _$s10Foundation13__DataStorageC7_lengthSivg (from Foundation)
                 (undefined) external _$s10Foundation13__DataStorageC7_offsetSivg (from Foundation)
                 (undefined) external _$s10Foundation13__DataStorageCMa (from Foundation)
                 (undefined) external _$s10Foundation14DateComponentsV8calendar8timeZone3era4year5month3day4hour6minute6second10nanosecond7weekday0O7Ordinal7quarter11weekOfMonth0rS4Year0h7ForWeeksU0AcA8CalendarVSg_AA04TimeF0VSgSiSgA13ZtcfC (from Foundation)
                 (undefined) external _$s10Foundation14DateComponentsVMa (from Foundation)
                 (undefined) external _$s10Foundation18IntegerFormatStyleVMn (from Foundation)
                 (undefined) external _$s10Foundation18IntegerFormatStyleVyxG17_StringProcessing14RegexComponentAAMc (from Foundation)
                 (undefined) external _$s10Foundation18_ErrorCodeProtocolMp (from Foundation)
                 (undefined) external _$s10Foundation18_ErrorCodeProtocolP01_B4TypeAC_AA21_BridgedStoredNSErrorTn (from Foundation)
                 (undefined) external _$s10Foundation18_ErrorCodeProtocolPAAE2teoiySbx_s0B0_ptFZ (from Foundation)
                 (undefined) external _$s10Foundation18_ErrorCodeProtocolPSQTb (from Foundation)
                 (undefined) external _$s10Foundation19PropertyListDecoderC6decode_4fromxxm_AA4DataVtKSeRzlFTj (from Foundation)
                 (undefined) external _$s10Foundation19PropertyListDecoderCACycfc (from Foundation)
                 (undefined) external _$s10Foundation19PropertyListDecoderCMa (from Foundation)
                 (undefined) external _$s10Foundation19PropertyListEncoderC6encodeyAA4DataVxKSERzlFTj (from Foundation)
                 (undefined) external _$s10Foundation19PropertyListEncoderCACycfc (from Foundation)
                 (undefined) external _$s10Foundation19PropertyListEncoderCMa (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorMp (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorP4CodeAC_8RawValueSYs17FixedWidthIntegerTn (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorP4CodeAC_AA06_ErrorE8ProtocolTn (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorP4CodeAC_SYTn (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorP8_nsErrorSo0D0CvgTq (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorP8_nsErrorxSo0D0C_tcfCTq (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAA06CustomD0Tb (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAA26_ObjectiveCBridgeableErrorTb (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAAE012_getEmbeddedD0yXlSgyF (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAAE08_bridgedD0xSgSo0D0C_tcfC (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAAE13errorUserInfoSDySSypGvg (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAAE2eeoiySbx_xtFZ (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAAE4hash4intoys6HasherVz_tF (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAAE8userInfoSDySSypGvg (from Foundation)
                 (undefined) external _$s10Foundation21_BridgedStoredNSErrorPAAE9errorCodeSivg (from Foundation)
