00007ff81f28f1b7 (__TEXT,__text) non-external +[Calculate _lock]
00007ff81f28f100 (__TEXT,__text) non-external +[Calculate _resetGlobals]
00007ff81f28f27a (__TEXT,__text) non-external +[Calculate _unlock]
00007ff81f2957ee (__TEXT,__text) non-external +[Calculate evaluate:options:]
00007ff81f28f2e3 (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
00007ff81f295670 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
00007ff81f295d7d (__TEXT,__text) non-external +[CalculateRequest _lock]
00007ff81f295db5 (__TEXT,__text) non-external +[CalculateRequest _unlock]
00007ff81f295dce (__TEXT,__text) non-external +[CalculateRequest serialQueue]
00007ff81f29eace (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
00007ff81f29ea4b (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
00007ff81f29f041 (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
00007ff81f29eb77 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
00007ff81f29995a (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
00007ff81f29f752 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
00007ff81f2a3937 (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
00007ff81f2a38ea (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
00007ff81f29e8e3 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
00007ff81f2a9e14 (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
00007ff81f2a9de4 (__TEXT,__text) non-external +[Converter dispatchQueue]
00007ff81f2a9d8c (__TEXT,__text) non-external +[Converter initialize]
00007ff81f2a9e6b (__TEXT,__text) non-external +[Converter needsRefresh]
00007ff81f2a9f03 (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
00007ff81f2a9eb7 (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
00007ff81f2784b3 (__TEXT,__text) non-external +[CurrencyCache shared]
00007ff81f28a4a2 (__TEXT,__text) non-external +[Localize availableLocaleNames]
00007ff81f28a627 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
00007ff81f28a4f9 (__TEXT,__text) non-external +[Localize localizationForLocale:]
00007ff81f28a970 (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
00007ff81f28aa51 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
00007ff81f28a477 (__TEXT,__text) non-external +[Localize mainBundle]
