00007ffb058f8aec (__TEXT,__text) non-external _AppleNVMeDeviceHasAVP
00007ffb058f87a1 (__TEXT,__text) external _AppleNVMeDeviceSupportsPanicLogAccess
00007ffb058f828c (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByNSType
00007ffb058f82b1 (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByName
00007ffb058f8552 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockCount
00007ffb058f84a9 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockSize
00007ffb058f8440 (__TEXT,__text) non-external _AppleNVMeNamespaceAccessMatchingServiceCallback
00007ffb058f8487 (__TEXT,__text) external _AppleNVMeNamespaceAccessOpenConection
00007ffb058f85fb (__TEXT,__text) external _AppleNVMeNamespaceAccessReadData
00007ffb058f8716 (__TEXT,__text) external _AppleNVMeNamespaceAccessUnmapRange
00007ffb058f8687 (__TEXT,__text) external _AppleNVMeNamespaceAccessWriteData
00007ffb058f88c5 (__TEXT,__text) external _AppleNVMePanicLogGetSize
00007ffb413043e0 (__DATA,__data) external _AppleNVMePanicLogSourcePath
00007ffb058f8987 (__TEXT,__text) external _AppleNVMeReadPanicLogData
00007ffb058f8be8 (__TEXT,__const) external _AppleNVMeVersionNumber
00007ffb058f8bb0 (__TEXT,__const) external _AppleNVMeVersionString
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFStringCreateFromExternalRepresentation (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IONotificationPortCreate (from IOKit)
                 (undefined) external _IONotificationPortDestroy (from IOKit)
                 (undefined) external _IONotificationPortGetRunLoopSource (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IOObjectRetain (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceAddMatchingNotification (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffb41304370 (__DATA,__data) external _sNVMeEmbeddedNamespaceTypeNames
