00007ffc1fe07ef6 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc1fe08273 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffc1fe0730c (__TEXT,__text) external _AAAFSCStreamOpen
00007ffc1fe079fe (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffc1fe07b06 (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffc1fd8f29f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffc1fd8f268 (__TEXT,__text) external _AAArchiveStreamClose
00007ffc1fda5416 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffc1fd8f21a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffc1fd8f200 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffc1fd8f24e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffc1fd8f234 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffc1fd90881 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffc1fd946b2 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffc1fd945f7 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffc1fd94538 (__TEXT,__text) external _AAAssetBuilderCreate
00007ffc1fd945e6 (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffc1fdfce10 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffc1fd94750 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffc1fd946bd (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffc1fd94da6 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffc1fd95391 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffc1fd95de3 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffc1fd95d6e (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffc1fd958a2 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffc1fe0f972 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffc1fe0f987 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffc1fe0f363 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffc1fe0f810 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffc1fdc61d8 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
