                 (undefined) external _CC_MD5_Final (from libSystem)
                 (undefined) external _CC_MD5_Init (from libSystem)
                 (undefined) external _CC_MD5_Update (from libSystem)
00000001e890ad00 (__TEXT,__text) external _CONV_DuplicateName
00000001e890abc8 (__TEXT,__text) external _CONV_GetCurrentTime
00000001e890abd4 (__TEXT,__text) external _CONV_UTF8ToLowerCase
00000001e890a178 (__TEXT,__text) external _CONV_UTF8ToUnistr255
00000001e890ab90 (__TEXT,__text) external _CONV_Unistr255ToLowerCase
00000001e890a810 (__TEXT,__text) external _CONV_Unistr255ToUTF8
00000001e890ac8c (__TEXT,__text) external _CONV_convert_to_fsm
00000001e890fcec (__TEXT,__text) non-external _DIROPS_AcquireHTLRUSlotAndUnlockNode
00000001e890d85c (__TEXT,__text) external _DIROPS_CreateHTForDirectory
00000001e890c21c (__TEXT,__text) external _DIROPS_CreateNewEntry
00000001e891299c (__TEXT,__text) non-external _DIROPS_CreateNewEntry.cold.1
00000001e8911fcc (__TEXT,__text) external _DIROPS_DeInitDirClusterDataCache
00000001e8911da0 (__TEXT,__text) external _DIROPS_DeInitDirEntryLockList
00000001e890be38 (__TEXT,__text) external _DIROPS_DeReferenceDirCluster
00000001e8911ef0 (__TEXT,__text) external _DIROPS_DereferenceDirEntrlyLockListEntry
00000001e890ffa4 (__TEXT,__text) external _DIROPS_DestroyHTForDirectory
00000001e890f4c4 (__TEXT,__text) non-external _DIROPS_FlushDirectoryEntryIntoMemory
00000001e890bda4 (__TEXT,__text) non-external _DIROPS_FlushEntrySector
00000001e89115c0 (__TEXT,__text) non-external _DIROPS_GetClusterInternal
00000001e890bb80 (__TEXT,__text) external _DIROPS_GetDirCluster
00000001e890f994 (__TEXT,__text) non-external _DIROPS_GetDirEntryByOffset
00000001e890c004 (__TEXT,__text) external _DIROPS_GetMD5Digest
00000001e890e204 (__TEXT,__text) external _DIROPS_GetRecordId
00000001e890bfa4 (__TEXT,__text) external _DIROPS_GetStartCluster
00000001e8912068 (__TEXT,__text) external _DIROPS_InitDirClusterDataCache
00000001e8911d64 (__TEXT,__text) external _DIROPS_InitDirEntryLockList
00000001e8911dac (__TEXT,__text) external _DIROPS_InitDirEntryLockListEntry
00000001e890c1bc (__TEXT,__text) external _DIROPS_IsDotOrDotDotName
00000001e8910044 (__TEXT,__text) external _DIROPS_LookForDirEntry
00000001e890d968 (__TEXT,__text) external _DIROPS_LookForDirEntryByName
00000001e890de18 (__TEXT,__text) external _DIROPS_LookupInternal
00000001e890f0a4 (__TEXT,__text) external _DIROPS_MarkNodeDirEntriesAsDeleted
00000001e890fe90 (__TEXT,__text) non-external _DIROPS_MaybeFreeEvictedHTAndUnlockNode
00000001e890f50c (__TEXT,__text) non-external _DIROPS_PopulateHT
00000001e890e66c (__TEXT,__text) non-external _DIROPS_ReadDirInternal
00000001e891236c (__TEXT,__text) non-external _DIROPS_ReadDirectoryEntryFromMemory
00000001e890e13c (__TEXT,__text) external _DIROPS_ReleaseHTForDirectory
00000001e8911e6c (__TEXT,__text) external _DIROPS_SetParentDirClusterCacheLock
00000001e890bfc8 (__TEXT,__text) external _DIROPS_SetStartCluster
00000001e890b9d8 (__TEXT,__text) external _DIROPS_UpdateDirLastModifiedTime
00000001e89113dc (__TEXT,__text) external _DIROPS_UpdateDirectoryEntry
00000001e8911c1c (__TEXT,__text) non-external _DIROPS_VerifyCookieAndVerifier
00000001e890c0dc (__TEXT,__text) external _DIROPS_VerifyIfLinkAndGetLinkLength
00000001e890bfe8 (__TEXT,__text) external _DIROPS_VolumeOffsetForCluster
00000001e890ff30 (__TEXT,__text) non-external _DIROPS_WasEvictedFromHTLRUSlot
00000001e890f748 (__TEXT,__text) external _DIROPS_isDirEmpty
00000001e8907b00 (__TEXT,__text) external _FATMOD_FlushAllCacheEntries
00000001e8909764 (__TEXT,__text) non-external _FATMOD_FlushSpecificCacheEntry
00000001e89095a4 (__TEXT,__text) external _FATMOD_SetDriveDirtyBit
00000001e8908d0c (__TEXT,__text) external _FAT_Access_M_AllocateClusters
00000001e8908598 (__TEXT,__text) external _FAT_Access_M_ChainLength
00000001e8907f94 (__TEXT,__text) external _FAT_Access_M_ContiguousClustersInChain
00000001e8909a74 (__TEXT,__text) non-external _FAT_Access_M_FATChainAlloc
00000001e89089d8 (__TEXT,__text) external _FAT_Access_M_FATChainFree
00000001e890892c (__TEXT,__text) external _FAT_Access_M_FATFini
00000001e8908804 (__TEXT,__text) external _FAT_Access_M_FATInit
00000001e8908160 (__TEXT,__text) external _FAT_Access_M_Fat12EntryGet
00000001e8908154 (__TEXT,__text) external _FAT_Access_M_Fat12EntryOffset
00000001e8908178 (__TEXT,__text) external _FAT_Access_M_Fat12EntrySet
00000001e8908140 (__TEXT,__text) external _FAT_Access_M_Fat16EntryGet
00000001e8908138 (__TEXT,__text) external _FAT_Access_M_Fat16EntryOffset
00000001e8908148 (__TEXT,__text) external _FAT_Access_M_Fat16EntrySet
00000001e8908118 (__TEXT,__text) external _FAT_Access_M_Fat32EntryGet
00000001e8908110 (__TEXT,__text) external _FAT_Access_M_Fat32EntryOffset
00000001e8908124 (__TEXT,__text) external _FAT_Access_M_Fat32EntrySet
00000001e8907dcc (__TEXT,__text) external _FAT_Access_M_FindFirstFreeClusterFromGivenCluster
00000001e8907c24 (__TEXT,__text) non-external _FAT_Access_M_FlushCacheEntry
00000001e89099c4 (__TEXT,__text) non-external _FAT_Access_M_FreeChainLength
00000001e8907f00 (__TEXT,__text) external _FAT_Access_M_GetClustersFatEntryContent
00000001e89081c0 (__TEXT,__text) non-external _FAT_Access_M_GetFatEntry
00000001e8909880 (__TEXT,__text) external _FAT_Access_M_GetTotalFreeClusters
