00007ff8433508f0 (__DATA,__data) external _NDR_record
00007ff800422c23 (__TEXT,__text) non-external __Xexception_raise
00007ff800422ccb (__TEXT,__text) non-external __Xexception_raise_state
00007ff800422dbd (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800414420 (__TEXT,__text) external _____sigwait_nocancel
00007ff800433948 (__TEXT,__const) external ____kernelVersionNumber
00007ff800433910 (__TEXT,__const) external ____kernelVersionString
00007ff800414438 (__TEXT,__text) external ___abort_with_payload
00007ff800410bdc (__TEXT,__text) external ___accept
00007ff800414450 (__TEXT,__text) external ___accept_nocancel
00007ff800414468 (__TEXT,__text) external ___access_extended
00007ff800414480 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8004100d0 (__TEXT,__text) external ___bind
00007ff80040ce00 (__TEXT,__text) external ___bsdthread_create
00007ff80040b598 (__TEXT,__text) external ___bsdthread_ctl
00007ff80040e904 (__TEXT,__text) external ___bsdthread_register
00007ff80040c240 (__TEXT,__text) external ___bsdthread_terminate
00007ff8004159ae (__TEXT,__text) non-external ___bzero
00007ff800413dce (__TEXT,__text) external ___carbon_delete
00007ff800414498 (__TEXT,__text) external ___channel_get_info
00007ff8004144b0 (__TEXT,__text) external ___channel_get_opt
00007ff8004144c8 (__TEXT,__text) external ___channel_open
00007ff8004144e0 (__TEXT,__text) external ___channel_set_opt
00007ff8004144f8 (__TEXT,__text) external ___channel_sync
00007ff80040cd8c (__TEXT,__text) external ___chmod
00007ff80040e480 (__TEXT,__text) external ___chmod_extended
00007ff80040b24c (__TEXT,__text) external ___close_nocancel
00007ff800414510 (__TEXT,__text) external ___coalition
00007ff800414528 (__TEXT,__text) external ___coalition_info
00007ff800414540 (__TEXT,__text) external ___coalition_ledger
00007ff80040b663 (__TEXT,__text) external ___commpage_gettimeofday
00007ff80040b66a (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff80040d4e8 (__TEXT,__text) external ___connect
00007ff80040d370 (__TEXT,__text) external ___connect_nocancel
00007ff800414558 (__TEXT,__text) external ___copyfile
00007ff800414570 (__TEXT,__text) external ___crossarch_trap
00007ff80040a624 (__TEXT,__text) external ___csrctl
00007ff80041bf97 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800414588 (__TEXT,__text) external ___debug_syscall_reject
00007ff8004145a0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800413de8 (__TEXT,__text) external ___delete
00007ff80040c228 (__TEXT,__text) external ___disable_threadsignal
00007ff80040a58a (__TEXT,__text) external ___error
00007ff8004145b8 (__TEXT,__text) external ___execve
00007ff80040fc58 (__TEXT,__text) external ___exit
00007ff80040d6fc (__TEXT,__text) external ___fchmod
00007ff80040e5b0 (__TEXT,__text) external ___fchmod_extended
00007ff80040a840 (__TEXT,__text) external ___fcntl
00007ff80040d340 (__TEXT,__text) external ___fcntl_nocancel
00007ff80040ff38 (__TEXT,__text) external ___fork
00007ff8004145d0 (__TEXT,__text) external ___fs_snapshot
00007ff80040e598 (__TEXT,__text) external ___fstat64_extended
00007ff8004145e8 (__TEXT,__text) external ___fstat_extended
00007ff800414600 (__TEXT,__text) external ___fsync_nocancel
00007ff800411760 (__TEXT,__text) external ___get_remove_counter
00007ff80040a5a4 (__TEXT,__text) external ___getattrlist
00007ff80040b520 (__TEXT,__text) external ___getdirentries64
00007ff80040e450 (__TEXT,__text) external ___gethostuuid
00007ff8004138d0 (__TEXT,__text) external ___getlogin
00007ff80040d5ec (__TEXT,__text) external ___getpeername
00007ff80040a1e0 (__TEXT,__text) external ___getpid
00007ff80040ba34 (__TEXT,__text) external ___getrlimit
00007ff800414618 (__TEXT,__text) external ___getsgroups
00007ff80040ffdc (__TEXT,__text) external ___getsockname
00007ff80040b42c (__TEXT,__text) external ___gettid
00007ff80040ce45 (__TEXT,__text) external ___gettimeofday
00007ff80040ce30 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800414630 (__TEXT,__text) external ___getwgroups
00007ff800414648 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff80040ca78 (__TEXT,__text) external ___guarded_open_np
00007ff800414660 (__TEXT,__text) external ___identitysvc
00007ff80040cc53 (__TEXT,__text) external ___inc_remove_counter
00007ff8004138b8 (__TEXT,__text) external ___initgroups
00007ff80040d4d0 (__TEXT,__text) external ___ioctl
00007ff80040d760 (__TEXT,__text) external ___iopolicysys
00007ff800414678 (__TEXT,__text) external ___kdebug_trace
00007ff80040c0b0 (__TEXT,__text) external ___kdebug_trace64
00007ff800414690 (__TEXT,__text) external ___kdebug_trace_string
00007ff80040e684 (__TEXT,__text) external ___kdebug_typefilter
00007ff8004339b8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800433980 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff80041067c (__TEXT,__text) external ___kill
00007ff80040ee30 (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff80040e610 (__TEXT,__text) external ___lchown
00007ff80040e69b (__TEXT,__text) external ___libkernel_init
00007ff800415b58 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800415aa8 (__TEXT,__text) external ___libkernel_init_late
00007ff80040e8f3 (__TEXT,__text) external ___libkernel_platform_init
00007ff80040a1d3 (__TEXT,__text) external ___libkernel_voucher_init
00007ff800410bc4 (__TEXT,__text) external ___listen
00007ff8004146a8 (__TEXT,__text) external ___log_data
00007ff80040b2ac (__TEXT,__text) external ___lseek
00007ff80040e498 (__TEXT,__text) external ___lstat64_extended
00007ff8004146c0 (__TEXT,__text) external ___lstat_extended
00007ff8004146d8 (__TEXT,__text) external ___mac_execve
00007ff8004146f0 (__TEXT,__text) external ___mac_get_fd
00007ff800414708 (__TEXT,__text) external ___mac_get_file
00007ff800414720 (__TEXT,__text) external ___mac_get_link
00007ff800414738 (__TEXT,__text) external ___mac_get_mount
00007ff800414750 (__TEXT,__text) external ___mac_get_pid
00007ff800414768 (__TEXT,__text) external ___mac_get_proc
00007ff800414780 (__TEXT,__text) external ___mac_getfsstat
00007ff800414798 (__TEXT,__text) external ___mac_mount
00007ff8004147b0 (__TEXT,__text) external ___mac_set_fd
00007ff8004147c8 (__TEXT,__text) external ___mac_set_file
00007ff8004147e0 (__TEXT,__text) external ___mac_set_link
00007ff800410b78 (__TEXT,__text) external ___mac_set_proc
00007ff80040b348 (__TEXT,__text) external ___mac_syscall
00007ff8004147f8 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800414810 (__TEXT,__text) external ___mach_eventlink_signal
00007ff800414828 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800414840 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800414858 (__TEXT,__text) external ___map_with_linking_np
00007ff800414870 (__TEXT,__text) external ___memorystatus_available_memory
00007ff800414888 (__TEXT,__text) external ___microstackshot
00007ff8004148a0 (__TEXT,__text) external ___mkdir_extended
00007ff8004148b8 (__TEXT,__text) external ___mkfifo_extended
00007ff80040a938 (__TEXT,__text) external ___mmap
00007ff80040ce18 (__TEXT,__text) external ___mprotect
00007ff8004148d0 (__TEXT,__text) external ___msgctl
00007ff8004148e8 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800414900 (__TEXT,__text) external ___msgsnd_nocancel
00007ff800414918 (__TEXT,__text) external ___msgsys
00007ff80040ede4 (__TEXT,__text) external ___msync
00007ff800414930 (__TEXT,__text) external ___msync_nocancel
00007ff80040cb64 (__TEXT,__text) external ___munmap
00007ff800414948 (__TEXT,__text) external ___nexus_create
00007ff800414960 (__TEXT,__text) external ___nexus_deregister
00007ff800414978 (__TEXT,__text) external ___nexus_destroy
00007ff800414990 (__TEXT,__text) external ___nexus_get_opt
00007ff8004149a8 (__TEXT,__text) external ___nexus_open
00007ff8004149c0 (__TEXT,__text) external ___nexus_register
00007ff8004149d8 (__TEXT,__text) external ___nexus_set_opt
00007ff80040a5d4 (__TEXT,__text) external ___open
00007ff80040e580 (__TEXT,__text) external ___open_dprotected_np
00007ff800413da0 (__TEXT,__text) external ___open_extended
00007ff80040a888 (__TEXT,__text) external ___open_nocancel
00007ff80040b264 (__TEXT,__text) external ___openat
00007ff8004149f0 (__TEXT,__text) external ___openat_dprotected_np
00007ff80040e640 (__TEXT,__text) external ___openat_nocancel
00007ff843350968 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800420343 (__TEXT,__text) external ___os_nexus_flow_add
00007ff8004203ac (__TEXT,__text) external ___os_nexus_flow_del
00007ff8004204ce (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff8004201c8 (__TEXT,__text) external ___os_nexus_ifattach
00007ff8004202ae (__TEXT,__text) external ___os_nexus_ifdetach
00007ff80040cee8 (__TEXT,__text) external ___persona
00007ff80040edfc (__TEXT,__text) external ___pipe
00007ff800414a08 (__TEXT,__text) external ___poll_nocancel
00007ff80040f9bc (__TEXT,__text) external ___posix_spawn
00007ff800414a20 (__TEXT,__text) external ___pread_nocancel
00007ff800414a38 (__TEXT,__text) external ___preadv_nocancel
00007ff80040ae9c (__TEXT,__text) external ___proc_info
00007ff800414a50 (__TEXT,__text) external ___proc_info_extended_id
00007ff80041003c (__TEXT,__text) external ___process_policy
00007ff80040ec34 (__TEXT,__text) external ___pselect
00007ff800414a68 (__TEXT,__text) external ___pselect_nocancel
00007ff80040c9b8 (__TEXT,__text) external ___psynch_cvbroad
00007ff80040ce88 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff80040da84 (__TEXT,__text) external ___psynch_cvsignal
00007ff80040c9a0 (__TEXT,__text) external ___psynch_cvwait
00007ff80040c258 (__TEXT,__text) external ___psynch_mutexdrop
00007ff80040c124 (__TEXT,__text) external ___psynch_mutexwait
00007ff800414a80 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800414a98 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff80040e11c (__TEXT,__text) external ___psynch_rw_rdlock
00007ff80040e104 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800414ab0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800414ac8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff80040e0ec (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800414ae0 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800413b14 (__TEXT,__text) external ___pthread_canceled
00007ff80040f6b4 (__TEXT,__text) external ___pthread_chdir
00007ff80040f69c (__TEXT,__text) external ___pthread_fchdir
00007ff800410b48 (__TEXT,__text) external ___pthread_kill
00007ff800414af8 (__TEXT,__text) external ___pthread_markcancel
00007ff80040fc00 (__TEXT,__text) external ___pthread_sigmask
00007ff800410f44 (__TEXT,__text) external ___ptrace
00007ff800414b10 (__TEXT,__text) external ___pwrite_nocancel
00007ff800414b28 (__TEXT,__text) external ___pwritev_nocancel
00007ff80040b6fc (__TEXT,__text) external ___read_nocancel
00007ff800414b40 (__TEXT,__text) external ___readv_nocancel
00007ff800414b58 (__TEXT,__text) external ___reboot
00007ff800414b70 (__TEXT,__text) external ___record_system_event
00007ff80040d518 (__TEXT,__text) external ___recvfrom
00007ff80040d3e8 (__TEXT,__text) external ___recvfrom_nocancel
00007ff80040d838 (__TEXT,__text) external ___recvmsg
00007ff800414b88 (__TEXT,__text) external ___recvmsg_nocancel
00007ff843169800 (__DATA_DIRTY,__bss) non-external ___remove_counter
