00007ffa1e97e082 (__TEXT,__text) non-external _DiToMD5
00007ffa1e97e302 (__TEXT,__text) non-external _DiToSHA1
00007ffa1e96753e (__TEXT,__text) external _DriverExecutableMain
00007ffa41b40718 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa41b409d8 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa41b408e0 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa41b40ad0 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa41b40c30 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1e963f7b (__TEXT,__text) external _IODelay
00007ffa41b40de0 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa41b40f90 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa1e967a2b (__TEXT,__text) external _IODriverKitTest
00007ffa1e98f2cc (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1e98f2f7 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1e98f31a (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1e98f345 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1e98f368 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1e98f38b (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1e98f3ae (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1e98f3d1 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa41b41140 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa41b412a0 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffa1e963f2a (__TEXT,__text) external _IOFree
00007ffa1e963f61 (__TEXT,__text) external _IOFreeData
00007ffa1e967a10 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa41b41b20 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa41b41430 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1e963f8e (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1e966bf2 (__TEXT,__text) external _IOLockAlloc
00007ffa1e966c41 (__TEXT,__text) external _IOLockAssert
00007ffa1e98ed43 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa1e966c0d (__TEXT,__text) external _IOLockFree
