00000001d98fb4a4 (__TEXT,__text) non-external +[NFPromise new]
00000001d98fcd50 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001d98fcb10 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001d98fcaf8 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001d98fcae0 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001d98fc9d8 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001d98fca80 (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001d98fca18 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001d98fe2f4 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00000001d98fde94 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001d9901194 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00000001d98f9814 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001d98facec (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001d98fad7c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001d98fae10 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001d98faec0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001d98fcfe4 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001d98fcf54 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001d9900588 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00000001d99004cc (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001d98f94a0 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001d98f96ac (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
