                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80e9d2f25 (__TEXT,__text) external ___absvdi2
00007ff80e9d2f58 (__TEXT,__text) external ___absvsi2
00007ff80e9d2f81 (__TEXT,__text) external ___absvti2
00007ff80e9d2fc1 (__TEXT,__text) external ___addvdi3
00007ff80e9d3007 (__TEXT,__text) external ___addvsi3
00007ff80e9d3049 (__TEXT,__text) external ___addvti3
00007ff80e9d30a6 (__TEXT,__text) external ___ashldi3
00007ff80e9d30d2 (__TEXT,__text) external ___ashlti3
00007ff80e9d30fa (__TEXT,__text) external ___ashrdi3
00007ff80e9d312b (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80e9d33c4 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80e9d3904 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80e9d3950 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80e9d399c (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80e9d39e8 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80e9d3604 (__TEXT,__text) external ___atomic_exchange
00007ff80e9d3836 (__TEXT,__text) external ___atomic_exchange_1
00007ff80e9d386c (__TEXT,__text) external ___atomic_exchange_2
00007ff80e9d38a0 (__TEXT,__text) external ___atomic_exchange_4
00007ff80e9d38d0 (__TEXT,__text) external ___atomic_exchange_8
00007ff80e9d3a34 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80e9d3a6c (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80e9d3aa0 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80e9d3ad4 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80e9d3be4 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80e9d3c5c (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80e9d3cdc (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80e9d3d4c (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80e9d3dd0 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80e9d3e48 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80e9d3ec8 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80e9d3f38 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80e9d3b08 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80e9d3b40 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80e9d3b78 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80e9d3bac (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80e9d3fbc (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80e9d4034 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80e9d40b4 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80e9d4124 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80e9d315c (__TEXT,__text) external ___atomic_is_lock_free
00007ff80e9d31b0 (__TEXT,__text) external ___atomic_load
00007ff80e9d37b0 (__TEXT,__text) external ___atomic_load_1
00007ff80e9d37c1 (__TEXT,__text) external ___atomic_load_2
00007ff80e9d37d3 (__TEXT,__text) external ___atomic_load_4
00007ff80e9d37e1 (__TEXT,__text) external ___atomic_load_8
00007ff80e9d32ac (__TEXT,__text) external ___atomic_store
00007ff80e9d37f0 (__TEXT,__text) external ___atomic_store_1
00007ff80e9d3802 (__TEXT,__text) external ___atomic_store_2
00007ff80e9d3814 (__TEXT,__text) external ___atomic_store_4
00007ff80e9d3824 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80e9d4258 (__TEXT,__text) external ___clear_cache
00007ff80e9d4259 (__TEXT,__text) external ___clzdi2
00007ff80e9d4278 (__TEXT,__text) external ___clzsi2
00007ff80e9d42e8 (__TEXT,__text) external ___clzti2
00007ff80e9d4306 (__TEXT,__text) external ___cmpdi2
00007ff80e9d4332 (__TEXT,__text) external ___cmpti2
00007ff80e9d6598 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80e9d4353 (__TEXT,__text) external ___ctzdi2
00007ff80e9d4371 (__TEXT,__text) external ___ctzsi2
00007ff80e9d43d5 (__TEXT,__text) external ___ctzti2
00007ff80e9d43f0 (__TEXT,__text) external ___divdc3
00007ff80e9d2e9a (__TEXT,__text) external ___divdi3
00007ff80e9d4a8a (__TEXT,__text) external ___divsc3
00007ff80e9d2ed5 (__TEXT,__text) external ___divti3
00007ff80e9d5065 (__TEXT,__text) external ___divxc3
00007ff80e9d556c (__TEXT,__text) external ___enable_execute_stack
00007ff80e9d558d (__TEXT,__text) external ___extendhfsf2
00007ff80e9d55fb (__TEXT,__text) external ___ffsdi2
00007ff80e9d5617 (__TEXT,__text) external ___ffsti2
00007ff80e9d5633 (__TEXT,__text) external ___fixdfdi
00007ff80e9d5654 (__TEXT,__text) external ___fixdfti
00007ff80e9d5709 (__TEXT,__text) external ___fixsfdi
00007ff80e9d5727 (__TEXT,__text) external ___fixsfti
00007ff80e9d2d8c (__TEXT,__text) external ___fixunsdfdi
00007ff80e9d57d4 (__TEXT,__text) external ___fixunsdfsi
00007ff80e9d5820 (__TEXT,__text) external ___fixunsdfti
00007ff80e9d58a0 (__TEXT,__text) external ___fixunssfdi
00007ff80e9d58e5 (__TEXT,__text) external ___fixunssfsi
00007ff80e9d5932 (__TEXT,__text) external ___fixunssfti
00007ff80e9d2dcf (__TEXT,__text) external ___fixunsxfdi
00007ff80e9d59aa (__TEXT,__text) external ___fixunsxfsi
