                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc00df558e (__TEXT,__text) external __Z13iex_debugTrapv
00007ffc00df5197 (__TEXT,__text) external __ZN7Iex_2_311stackTracerEv
00007ffc00df5b70 (__TEXT,__text) external __ZN7Iex_2_313throwErrnoExcERKNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEE
00007ffc00df56aa (__TEXT,__text) external __ZN7Iex_2_313throwErrnoExcERKNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEEi
00007ffc00df5b88 (__TEXT,__text) external __ZN7Iex_2_313throwErrnoExcEv
00007ffc00df518a (__TEXT,__text) external __ZN7Iex_2_314setStackTracerEPFNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEEvE
00007ffc00df554c (__TEXT,__text) external __ZN7Iex_2_37BaseExc6appendEPKc
00007ffc00df547a (__TEXT,__text) external __ZN7Iex_2_37BaseExc6appendERNSt3__118basic_stringstreamIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
00007ffc00df5514 (__TEXT,__text) external __ZN7Iex_2_37BaseExc6assignEPKc
00007ffc00df5430 (__TEXT,__text) external __ZN7Iex_2_37BaseExc6assignERNSt3__118basic_stringstreamIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
00007ffc00df5228 (__TEXT,__text) external __ZN7Iex_2_37BaseExcC1EPKc
00007ffc00df52a8 (__TEXT,__text) external __ZN7Iex_2_37BaseExcC1ERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
00007ffc00df53a4 (__TEXT,__text) external __ZN7Iex_2_37BaseExcC1ERKS0_
00007ffc00df532c (__TEXT,__text) external __ZN7Iex_2_37BaseExcC1ERNSt3__118basic_stringstreamIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
00007ffc00df51a4 (__TEXT,__text) external __ZN7Iex_2_37BaseExcC2EPKc
00007ffc00df5232 (__TEXT,__text) external __ZN7Iex_2_37BaseExcC2ERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
00007ffc00df5336 (__TEXT,__text) external __ZN7Iex_2_37BaseExcC2ERKS0_
