00000001e3447b90 (__DATA,__data) external _NDR_record
000000018042ca88 (__TEXT,__text) non-external __Xexception_raise
000000018042c974 (__TEXT,__text) non-external __Xexception_raise_state
000000018042c810 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018041ab18 (__TEXT,__text) external _____sigwait_nocancel
0000000180441898 (__TEXT,__const) external ____kernelVersionNumber
0000000180441860 (__TEXT,__const) external ____kernelVersionString
000000018041ab44 (__TEXT,__text) external ___abort_with_payload
00000001804166dc (__TEXT,__text) external ___accept
000000018041ab70 (__TEXT,__text) external ___accept_nocancel
000000018041ab9c (__TEXT,__text) external ___access_extended
000000018041abc8 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180415b38 (__TEXT,__text) external ___bind
0000000180411b90 (__TEXT,__text) external ___bsdthread_create
000000018040fb2c (__TEXT,__text) external ___bsdthread_ctl
0000000180413c58 (__TEXT,__text) external ___bsdthread_register
0000000180410c34 (__TEXT,__text) external ___bsdthread_terminate
000000018041a354 (__TEXT,__text) external ___carbon_delete
000000018041abf4 (__TEXT,__text) external ___channel_get_info
000000018041ac20 (__TEXT,__text) external ___channel_get_opt
000000018041ac4c (__TEXT,__text) external ___channel_open
000000018041ac78 (__TEXT,__text) external ___channel_set_opt
000000018041aca4 (__TEXT,__text) external ___channel_sync
0000000180411ad8 (__TEXT,__text) external ___chmod
00000001804136f4 (__TEXT,__text) external ___chmod_extended
000000018040f610 (__TEXT,__text) external ___close_nocancel
000000018041acd0 (__TEXT,__text) external ___coalition
000000018041acfc (__TEXT,__text) external ___coalition_info
000000018041ad28 (__TEXT,__text) external ___coalition_ledger
000000018040fc84 (__TEXT,__text) external ___commpage_gettimeofday
000000018040fc8c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001804122f8 (__TEXT,__text) external ___connect
0000000180412160 (__TEXT,__text) external ___connect_nocancel
000000018041ad54 (__TEXT,__text) external ___copyfile
000000018041ad80 (__TEXT,__text) external ___crossarch_trap
000000018040e8a0 (__TEXT,__text) external ___csrctl
0000000180424640 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018041adac (__TEXT,__text) external ___debug_syscall_reject
000000018041add8 (__TEXT,__text) external ___debug_syscall_reject_config
000000018041a380 (__TEXT,__text) external ___delete
0000000180410c08 (__TEXT,__text) external ___disable_threadsignal
000000018040e7d0 (__TEXT,__text) external ___error
000000018041ae04 (__TEXT,__text) external ___execve
0000000180415588 (__TEXT,__text) external ___exit
00000001804125b4 (__TEXT,__text) external ___fchmod
0000000180413800 (__TEXT,__text) external ___fchmod_extended
000000018040e950 (__TEXT,__text) external ___fcntl
0000000180412108 (__TEXT,__text) external ___fcntl_nocancel
00000001804158f4 (__TEXT,__text) external ___fork
000000018041ae30 (__TEXT,__text) external ___fs_snapshot
000000018041c238 (__TEXT,__text) external ___fstat
00000001804137d4 (__TEXT,__text) external ___fstat64_extended
000000018041ae5c (__TEXT,__text) external ___fstat_extended
000000018041c290 (__TEXT,__text) external ___fstatat
000000018041c2e8 (__TEXT,__text) external ___fstatfs
000000018041ae88 (__TEXT,__text) external ___fsync_nocancel
00000001804174dc (__TEXT,__text) external ___get_remove_counter
000000018040e7ec (__TEXT,__text) external ___getattrlist
000000018040fa50 (__TEXT,__text) external ___getdirentries64
000000018041c3f0 (__TEXT,__text) external ___getfsstat
000000018041369c (__TEXT,__text) external ___gethostuuid
0000000180419cfc (__TEXT,__text) external ___getlogin
000000018041248c (__TEXT,__text) external ___getpeername
000000018040e330 (__TEXT,__text) external ___getpid
0000000180410154 (__TEXT,__text) external ___getrlimit
000000018041aeb4 (__TEXT,__text) external ___getsgroups
0000000180415a00 (__TEXT,__text) external ___getsockname
000000018040f910 (__TEXT,__text) external ___gettid
0000000180411c14 (__TEXT,__text) external ___gettimeofday
0000000180411be8 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018041aee0 (__TEXT,__text) external ___getwgroups
000000018041af0c (__TEXT,__text) external ___guarded_open_dprotected_np
000000018041164c (__TEXT,__text) external ___guarded_open_np
000000018041af38 (__TEXT,__text) external ___identitysvc
0000000180411970 (__TEXT,__text) external ___inc_remove_counter
0000000180419cd0 (__TEXT,__text) external ___initgroups
00000001804122cc (__TEXT,__text) external ___ioctl
000000018041263c (__TEXT,__text) external ___iopolicysys
000000018041af64 (__TEXT,__text) external ___kdebug_trace
00000001804109cc (__TEXT,__text) external ___kdebug_trace64
000000018041af90 (__TEXT,__text) external ___kdebug_trace_string
0000000180413974 (__TEXT,__text) external ___kdebug_typefilter
0000000180441908 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001804418d0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
000000018041601c (__TEXT,__text) external ___kill
000000018041439c (__TEXT,__text) external ___kqueue_workloop_ctl
00000001804138b0 (__TEXT,__text) external ___lchown
00000001804139a0 (__TEXT,__text) external ___libkernel_init
000000018041d62c (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000018041d53c (__TEXT,__text) external ___libkernel_init_late
0000000180413c44 (__TEXT,__text) external ___libkernel_platform_init
000000018040e320 (__TEXT,__text) external ___libkernel_voucher_init
00000001804166b0 (__TEXT,__text) external ___listen
000000018041afbc (__TEXT,__text) external ___log_data
000000018040f6b0 (__TEXT,__text) external ___lseek
000000018041c5d4 (__TEXT,__text) external ___lstat
0000000180413720 (__TEXT,__text) external ___lstat64_extended
000000018041afe8 (__TEXT,__text) external ___lstat_extended
000000018041b014 (__TEXT,__text) external ___mac_execve
000000018041b040 (__TEXT,__text) external ___mac_get_fd
000000018041b06c (__TEXT,__text) external ___mac_get_file
000000018041b098 (__TEXT,__text) external ___mac_get_link
000000018041b0c4 (__TEXT,__text) external ___mac_get_mount
