00007ff90daa9d86 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90daa9d9d (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff90da9a24d (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00007ff90da9a0bd (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff90da9a597 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff90daaa217 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff90daad5fd (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff90daad684 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff90daaa523 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff90daa99b6 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff90daa2748 (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff90daac89c (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00007ff90daa27a4 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff90daa2d98 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff90daaca7c (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff90daacae6 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff90daa2727 (__TEXT,__text) non-external +[MIS isAvailable]
00007ff90daa2ca2 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff90daaca14 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff90daaca48 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff90daa2bf0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff90daac9e0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff90daa29a8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff90daac8b4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff90daac91e (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff90daac952 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff90daac986 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff90daa2fbb (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff90daacc04 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff90daacc84 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff90daa2e97 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff90daacb1a (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff90daacb84 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff90daa8db5 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff90daad345 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff90daad39f (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff90da9c082 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90da9c19c (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff90da9a7a8 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff90da94949 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
