0000000182bbf1d8 (__DATA,__data) external _NDR_record
0000000180ab2d98 (__TEXT,__text) non-external __Xexception_raise
0000000180ab2c80 (__TEXT,__text) non-external __Xexception_raise_state
0000000180ab2b20 (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180a9a92c (__TEXT,__text) external _____sigwait_nocancel
0000000180accf88 (__TEXT,__const) external ____kernelVersionNumber
0000000180accf50 (__TEXT,__const) external ____kernelVersionString
0000000180a9a958 (__TEXT,__text) external ___abort_with_payload
0000000180a9a984 (__TEXT,__text) external ___accept
0000000180a9a9b0 (__TEXT,__text) external ___accept_nocancel
0000000180a9a9dc (__TEXT,__text) external ___access_extended
0000000180a9aa08 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180a9aa34 (__TEXT,__text) external ___bind
0000000180a9aa60 (__TEXT,__text) external ___bsdthread_create
0000000180a9aa8c (__TEXT,__text) external ___bsdthread_ctl
0000000180a9aab8 (__TEXT,__text) external ___bsdthread_register
0000000180a9aae4 (__TEXT,__text) external ___bsdthread_terminate
0000000180ab1d0c (__TEXT,__text) external ___carbon_delete
0000000180a9ab10 (__TEXT,__text) external ___channel_get_info
0000000180a9ab3c (__TEXT,__text) external ___channel_get_opt
0000000180a9ab68 (__TEXT,__text) external ___channel_open
0000000180a9ab94 (__TEXT,__text) external ___channel_set_opt
0000000180a9abc0 (__TEXT,__text) external ___channel_sync
0000000180a9abec (__TEXT,__text) external ___chmod
0000000180a9ac18 (__TEXT,__text) external ___chmod_extended
0000000180a9ac44 (__TEXT,__text) external ___close_nocancel
0000000180a9ac70 (__TEXT,__text) external ___coalition
0000000180a9ac9c (__TEXT,__text) external ___coalition_info
0000000180a9acc8 (__TEXT,__text) external ___coalition_ledger
0000000180aa3350 (__TEXT,__text) external ___commpage_gettimeofday
0000000180aa3358 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180a9acf4 (__TEXT,__text) external ___connect
0000000180a9ad20 (__TEXT,__text) external ___connect_nocancel
0000000180a9ad4c (__TEXT,__text) external ___copyfile
0000000180a9ad78 (__TEXT,__text) external ___crossarch_trap
0000000180a9ada4 (__TEXT,__text) external ___csrctl
0000000180aa9328 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180a9add0 (__TEXT,__text) external ___debug_syscall_reject
0000000180a9adfc (__TEXT,__text) external ___debug_syscall_reject_config
0000000180a9ae28 (__TEXT,__text) external ___delete
0000000180a9ae54 (__TEXT,__text) external ___disable_threadsignal
0000000180aa3b10 (__TEXT,__text) external ___error
0000000180a9ae80 (__TEXT,__text) external ___execve
0000000180a9aeac (__TEXT,__text) external ___exit
0000000180a9aed8 (__TEXT,__text) external ___fchmod
0000000180a9af04 (__TEXT,__text) external ___fchmod_extended
0000000180a9af30 (__TEXT,__text) external ___fcntl
0000000180a9af5c (__TEXT,__text) external ___fcntl_nocancel
0000000180a9af88 (__TEXT,__text) external ___fork
0000000180a9afd4 (__TEXT,__text) external ___fs_snapshot
0000000180a9b000 (__TEXT,__text) external ___fstat64_extended
0000000180a9b02c (__TEXT,__text) external ___fstat_extended
0000000180a9b058 (__TEXT,__text) external ___fsync_nocancel
0000000180aaf744 (__TEXT,__text) external ___get_remove_counter
0000000180a9b084 (__TEXT,__text) external ___getattrlist
0000000180a9b0b0 (__TEXT,__text) external ___getdirentries64
0000000180a9b0dc (__TEXT,__text) external ___gethostuuid
0000000180a9b108 (__TEXT,__text) external ___getlogin
0000000180a9b134 (__TEXT,__text) external ___getpeername
0000000180a9b160 (__TEXT,__text) external ___getpid
0000000180a9b1b0 (__TEXT,__text) external ___getrlimit
0000000180a9b1dc (__TEXT,__text) external ___getsgroups
0000000180a9b208 (__TEXT,__text) external ___getsockname
0000000180a9b234 (__TEXT,__text) external ___gettid
0000000180a9b28c (__TEXT,__text) external ___gettimeofday
0000000180a9b260 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180a9b2bc (__TEXT,__text) external ___getwgroups
0000000180a9b2e8 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180a9b314 (__TEXT,__text) external ___guarded_open_np
0000000180a9b340 (__TEXT,__text) external ___identitysvc
0000000180aaf758 (__TEXT,__text) external ___inc_remove_counter
0000000180a9b36c (__TEXT,__text) external ___initgroups
0000000180a9b398 (__TEXT,__text) external ___ioctl
0000000180a9b3c4 (__TEXT,__text) external ___iopolicysys
0000000180a9b3f0 (__TEXT,__text) external ___kdebug_trace
0000000180a9b41c (__TEXT,__text) external ___kdebug_trace64
0000000180a9b448 (__TEXT,__text) external ___kdebug_trace_string
0000000180a9b474 (__TEXT,__text) external ___kdebug_typefilter
0000000180accff8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180accfc0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180a9b4a0 (__TEXT,__text) external ___kill
0000000180a9b4cc (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180a9b4f8 (__TEXT,__text) external ___lchown
0000000180a9fb94 (__TEXT,__text) external ___libkernel_init
0000000180a9fc48 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180a9fc44 (__TEXT,__text) external ___libkernel_init_late
0000000180a9f9cc (__TEXT,__text) external ___libkernel_platform_init
0000000180a9fa04 (__TEXT,__text) external ___libkernel_voucher_init
0000000180a9b524 (__TEXT,__text) external ___listen
0000000180a9b550 (__TEXT,__text) external ___log_data
0000000180a9b57c (__TEXT,__text) external ___lseek
0000000180a9b5a8 (__TEXT,__text) external ___lstat64_extended
0000000180a9b5d4 (__TEXT,__text) external ___lstat_extended
0000000180a9b600 (__TEXT,__text) external ___mac_execve
0000000180a9b62c (__TEXT,__text) external ___mac_get_fd
0000000180a9b658 (__TEXT,__text) external ___mac_get_file
0000000180a9b684 (__TEXT,__text) external ___mac_get_link
0000000180a9b6b0 (__TEXT,__text) external ___mac_get_mount
0000000180a9b6dc (__TEXT,__text) external ___mac_get_pid
0000000180a9b708 (__TEXT,__text) external ___mac_get_proc
0000000180a9b734 (__TEXT,__text) external ___mac_getfsstat
0000000180a9b760 (__TEXT,__text) external ___mac_mount
0000000180a9b78c (__TEXT,__text) external ___mac_set_fd
0000000180a9b7b8 (__TEXT,__text) external ___mac_set_file
0000000180a9b7e4 (__TEXT,__text) external ___mac_set_link
0000000180a9b810 (__TEXT,__text) external ___mac_set_proc
0000000180a9b83c (__TEXT,__text) external ___mac_syscall
0000000180a9b868 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180a9b894 (__TEXT,__text) external ___mach_eventlink_signal
0000000180a9b8c0 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180a9b8ec (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180a9b918 (__TEXT,__text) external ___map_with_linking_np
0000000180a9b944 (__TEXT,__text) external ___memorystatus_available_memory
0000000180a9b970 (__TEXT,__text) external ___microstackshot
0000000180a9b99c (__TEXT,__text) external ___mkdir_extended
0000000180a9b9c8 (__TEXT,__text) external ___mkfifo_extended
0000000180a9b9f4 (__TEXT,__text) external ___mmap
0000000180a9ba20 (__TEXT,__text) external ___mprotect
0000000180a9ba4c (__TEXT,__text) external ___msgctl
0000000180a9ba78 (__TEXT,__text) external ___msgrcv_nocancel
0000000180a9baa4 (__TEXT,__text) external ___msgsnd_nocancel
0000000180a9bad0 (__TEXT,__text) external ___msgsys
0000000180a9bafc (__TEXT,__text) external ___msync
0000000180a9bb28 (__TEXT,__text) external ___msync_nocancel
0000000180a9bb54 (__TEXT,__text) external ___munmap
0000000180a9bb80 (__TEXT,__text) external ___nexus_create
0000000180a9bbac (__TEXT,__text) external ___nexus_deregister
0000000180a9bbd8 (__TEXT,__text) external ___nexus_destroy
0000000180a9bc04 (__TEXT,__text) external ___nexus_get_opt
0000000180a9bc30 (__TEXT,__text) external ___nexus_open
0000000180a9bc5c (__TEXT,__text) external ___nexus_register
0000000180a9bc88 (__TEXT,__text) external ___nexus_set_opt
0000000180a9bcb4 (__TEXT,__text) external ___open
0000000180a9bce0 (__TEXT,__text) external ___open_dprotected_np
0000000180a9bd0c (__TEXT,__text) external ___open_extended
0000000180a9bd38 (__TEXT,__text) external ___open_nocancel
0000000180a9bd64 (__TEXT,__text) external ___openat
0000000180a9bd90 (__TEXT,__text) external ___openat_dprotected_np
0000000180a9bdbc (__TEXT,__text) external ___openat_nocancel
0000000182bbf250 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180aaec14 (__TEXT,__text) external ___os_nexus_flow_add
0000000180aaeca0 (__TEXT,__text) external ___os_nexus_flow_del
0000000180aaedfc (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180aaea20 (__TEXT,__text) external ___os_nexus_ifattach
0000000180aaeb4c (__TEXT,__text) external ___os_nexus_ifdetach
0000000180a9bde8 (__TEXT,__text) external ___oslog_coproc
0000000180a9be14 (__TEXT,__text) external ___oslog_coproc_reg
0000000180a9be40 (__TEXT,__text) external ___persona
0000000180a9be6c (__TEXT,__text) external ___pipe
0000000180a9bea4 (__TEXT,__text) external ___poll_nocancel
0000000180a9bed0 (__TEXT,__text) external ___posix_spawn
0000000180a9befc (__TEXT,__text) external ___pread_nocancel
0000000180a9bf28 (__TEXT,__text) external ___preadv_nocancel
0000000180a9bf54 (__TEXT,__text) external ___proc_info
0000000180a9bf80 (__TEXT,__text) external ___proc_info_extended_id
0000000180a9bfac (__TEXT,__text) external ___process_policy
0000000180a9bfd8 (__TEXT,__text) external ___pselect
0000000180a9c004 (__TEXT,__text) external ___pselect_nocancel
0000000180a9c030 (__TEXT,__text) external ___psynch_cvbroad
0000000180a9c05c (__TEXT,__text) external ___psynch_cvclrprepost
0000000180a9c088 (__TEXT,__text) external ___psynch_cvsignal
0000000180a9c0b4 (__TEXT,__text) external ___psynch_cvwait
0000000180a9c0e0 (__TEXT,__text) external ___psynch_mutexdrop
0000000180a9c10c (__TEXT,__text) external ___psynch_mutexwait
0000000180a9c138 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180a9c164 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180a9c190 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180a9c1bc (__TEXT,__text) external ___psynch_rw_unlock
0000000180a9c1e8 (__TEXT,__text) external ___psynch_rw_unlock2
0000000180a9c214 (__TEXT,__text) external ___psynch_rw_upgrade
0000000180a9c240 (__TEXT,__text) external ___psynch_rw_wrlock
0000000180a9c26c (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180a9c298 (__TEXT,__text) external ___pthread_canceled
0000000180a9c2c4 (__TEXT,__text) external ___pthread_chdir
0000000180a9c2f0 (__TEXT,__text) external ___pthread_fchdir
0000000180a9c31c (__TEXT,__text) external ___pthread_kill
0000000180a9c348 (__TEXT,__text) external ___pthread_markcancel
0000000180a9c374 (__TEXT,__text) external ___pthread_sigmask
0000000180a9c3a0 (__TEXT,__text) external ___ptrace
0000000180a9c3d8 (__TEXT,__text) external ___pwrite_nocancel
0000000180a9c404 (__TEXT,__text) external ___pwritev_nocancel
0000000180a9c430 (__TEXT,__text) external ___read_nocancel
0000000180a9c45c (__TEXT,__text) external ___readv_nocancel
0000000180a9c488 (__TEXT,__text) external ___reboot
0000000180a9c4b4 (__TEXT,__text) external ___record_system_event
0000000180a9c4e0 (__TEXT,__text) external ___recvfrom
0000000180a9c50c (__TEXT,__text) external ___recvfrom_nocancel
0000000180a9c538 (__TEXT,__text) external ___recvmsg
0000000180a9c564 (__TEXT,__text) external ___recvmsg_nocancel
0000000182bbf270 (__DATA,__bss) non-external ___remove_counter
0000000180a9c590 (__TEXT,__text) external ___rename
0000000180a9c5bc (__TEXT,__text) external ___renameat
0000000180a9c5e8 (__TEXT,__text) external ___renameatx_np
0000000180a9c614 (__TEXT,__text) external ___rmdir
0000000180a9b600 (__TEXT,__text) external ___sandbox_me
0000000180a9b760 (__TEXT,__text) external ___sandbox_mm
0000000180a9b83c (__TEXT,__text) external ___sandbox_ms
0000000180a9b810 (__TEXT,__text) external ___sandbox_msp
0000000180a9c640 (__TEXT,__text) external ___select
0000000180a9c66c (__TEXT,__text) external ___select_nocancel
0000000180a9c698 (__TEXT,__text) external ___sem_open
0000000180a9c6c4 (__TEXT,__text) external ___sem_wait_nocancel
0000000180a9c6f0 (__TEXT,__text) external ___semctl
0000000180a9c71c (__TEXT,__text) external ___semsys
0000000180a9c748 (__TEXT,__text) external ___semwait_signal
0000000180a9c774 (__TEXT,__text) external ___semwait_signal_nocancel
0000000180a9c7a0 (__TEXT,__text) external ___sendmsg
0000000180a9c7cc (__TEXT,__text) external ___sendmsg_nocancel
0000000180a9c7f8 (__TEXT,__text) external ___sendto
0000000180a9c824 (__TEXT,__text) external ___sendto_nocancel
0000000180a9c850 (__TEXT,__text) external ___setattrlist
0000000180a9c87c (__TEXT,__text) external ___setlogin
0000000180a9c8a8 (__TEXT,__text) external ___setpriority
0000000180a9c8d4 (__TEXT,__text) external ___setregid
0000000180a9c900 (__TEXT,__text) external ___setreuid
0000000180a9c92c (__TEXT,__text) external ___setrlimit
0000000180a9c958 (__TEXT,__text) external ___setsgroups
0000000180a9c984 (__TEXT,__text) external ___settid
0000000180a9c9b0 (__TEXT,__text) external ___settid_with_pid
0000000180a9c9dc (__TEXT,__text) external ___settimeofday
0000000180a9ca08 (__TEXT,__text) external ___setwgroups
0000000180a9ca34 (__TEXT,__text) external ___sfi_ctl
0000000180a9ca60 (__TEXT,__text) external ___sfi_pidctl
0000000180a9ca8c (__TEXT,__text) external ___shared_region_check_np
0000000180a9cab8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180a9cae4 (__TEXT,__text) external ___shm_open
0000000180a9cb10 (__TEXT,__text) external ___shmctl
0000000180a9cb3c (__TEXT,__text) external ___shmsys
0000000180a9cb68 (__TEXT,__text) external ___sigaction
0000000180a9cb94 (__TEXT,__text) external ___sigaltstack
