                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffc135c15d8 (__TEXT,__text) external _apr__SHA256_Data
00007ffc135c1507 (__TEXT,__text) external _apr__SHA256_End
00007ffc135c13e9 (__TEXT,__text) external _apr__SHA256_Final
00007ffc135c1073 (__TEXT,__text) external _apr__SHA256_Init
00007ffc135c10ae (__TEXT,__text) external _apr__SHA256_Transform
00007ffc135c1302 (__TEXT,__text) external _apr__SHA256_Update
00007ffc135b9875 (__TEXT,__text) external _apr_allocator_alloc
00007ffc135b9738 (__TEXT,__text) external _apr_allocator_create
00007ffc135b97a8 (__TEXT,__text) external _apr_allocator_destroy
00007ffc135b9a2c (__TEXT,__text) external _apr_allocator_free
00007ffc135b980b (__TEXT,__text) external _apr_allocator_max_free_set
00007ffc135b97ed (__TEXT,__text) external _apr_allocator_mutex_get
00007ffc135b97e3 (__TEXT,__text) external _apr_allocator_mutex_set
00007ffc135b9801 (__TEXT,__text) external _apr_allocator_owner_get
00007ffc135b97f7 (__TEXT,__text) external _apr_allocator_owner_set
00007ffc135bbc54 (__TEXT,__text) external _apr_app_initialize
00007ffc135b3723 (__TEXT,__text) external _apr_array_append
00007ffc135b357c (__TEXT,__text) external _apr_array_cat
00007ffc135b34a7 (__TEXT,__text) external _apr_array_clear
00007ffc135b3642 (__TEXT,__text) external _apr_array_copy
00007ffc135b36ee (__TEXT,__text) external _apr_array_copy_hdr
00007ffc135b3425 (__TEXT,__text) external _apr_array_make
00007ffc135b34b4 (__TEXT,__text) external _apr_array_pop
00007ffc135b3779 (__TEXT,__text) external _apr_array_pstrcat
00007ffc135b34de (__TEXT,__text) external _apr_array_push
00007ffc135b193e (__TEXT,__text) external _apr_atoi64
00007ffc135b4f88 (__TEXT,__text) external _apr_atomic_add32
