0000000205b9c778 (__DATA,__bss) non-external _A
00000002066d10f0 (__AUTH,__data) external _CMARK_ARENA_MEM_ALLOCATOR
00000002066d10d8 (__AUTH,__data) external _CMARK_DEFAULT_MEM_ALLOCATOR
0000000206254aa8 (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_BLOCK
0000000206254aac (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_INLINE
0000000206254b18 (__DATA_DIRTY,__common) external _CMARK_NODE_STRIKETHROUGH
0000000206254b1c (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE
0000000206254b24 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_CELL
0000000206254b20 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_ROW
00000001ff344d2b (__TEXT,__const) non-external _HREF_SAFE
00000002020ec538 (__DATA_CONST,__const) non-external _HTML_ESCAPES
00000001ff343413 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00000001ff33f7c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001ff344c2b (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00000001ff33c658 (__TEXT,__text) non-external _S_advance_offset
00000001ff32efec (__TEXT,__text) non-external _S_blankline
00000001ff33cebc (__TEXT,__text) non-external _S_can_contain
00000001ff32efd0 (__TEXT,__text) non-external _S_cr
00000001ff33c700 (__TEXT,__text) non-external _S_find_first_nonspace
00000001ff3222dc (__TEXT,__text) non-external _S_node_unlink
00000001ff32f004 (__TEXT,__text) non-external _S_out
00000001ff32dfc8 (__TEXT,__text) non-external _S_outc
00000001ff33b0c4 (__TEXT,__text) non-external _S_parser_feed
00000001ff344c28 (__TEXT,__const) non-external _S_parser_feed.repl
00000001ff33e370 (__TEXT,__text) non-external _S_print_error
00000001ff33b3ac (__TEXT,__text) non-external _S_process_line
00000001ff34270c (__TEXT,__text) non-external _S_process_line.cold.1
00000001ff342738 (__TEXT,__text) non-external _S_process_line.cold.2
00000001ff342764 (__TEXT,__text) non-external _S_process_line.cold.3
00000001ff342790 (__TEXT,__text) non-external _S_process_line.cold.4
00000001ff3427bc (__TEXT,__text) non-external _S_process_line.cold.5
00000001ff32d8b8 (__TEXT,__text) non-external _S_put_footnote_backref
00000001ff32b9b0 (__TEXT,__text) non-external _S_render_node
00000001ff32e0f0 (__TEXT,__text) non-external _S_render_node
00000001ff330ba4 (__TEXT,__text) non-external _S_render_node
00000001ff34033c (__TEXT,__text) non-external _S_render_node
00000001ff342468 (__TEXT,__text) non-external _S_render_node.cold.1
00000001ff342520 (__TEXT,__text) non-external _S_render_node.cold.1
00000001ff3425a4 (__TEXT,__text) non-external _S_render_node.cold.1
00000001ff343004 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
