000000018a97e340 (__TEXT,__const) non-external _KW_ANY
000000018a97e2c5 (__TEXT,__const) non-external _KW_ATTLIST
000000018a97e2f3 (__TEXT,__const) non-external _KW_CDATA
000000018a97e2a8 (__TEXT,__const) non-external _KW_DOCTYPE
000000018a97e2cd (__TEXT,__const) non-external _KW_ELEMENT
000000018a97e33a (__TEXT,__const) non-external _KW_EMPTY
000000018a97e309 (__TEXT,__const) non-external _KW_ENTITIES
000000018a97e2be (__TEXT,__const) non-external _KW_ENTITY
000000018a97e334 (__TEXT,__const) non-external _KW_FIXED
000000018a97e2f9 (__TEXT,__const) non-external _KW_ID
000000018a97e2fc (__TEXT,__const) non-external _KW_IDREF
000000018a97e302 (__TEXT,__const) non-external _KW_IDREFS
000000018a97e2e6 (__TEXT,__const) non-external _KW_IGNORE
000000018a97e323 (__TEXT,__const) non-external _KW_IMPLIED
000000018a97e2de (__TEXT,__const) non-external _KW_INCLUDE
000000018a97ea50 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018a97e2ed (__TEXT,__const) non-external _KW_NDATA
000000018a97e312 (__TEXT,__const) non-external _KW_NMTOKEN
000000018a97e31a (__TEXT,__const) non-external _KW_NMTOKENS
000000018a97e2d5 (__TEXT,__const) non-external _KW_NOTATION
000000018a97e344 (__TEXT,__const) non-external _KW_PCDATA
000000018a97e2b7 (__TEXT,__const) non-external _KW_PUBLIC
000000018a97e32b (__TEXT,__const) non-external _KW_REQUIRED
000000018a97e2b0 (__TEXT,__const) non-external _KW_SYSTEM
000000018a97ea5b (__TEXT,__const) non-external _KW_US_ASCII
000000018a97ea6a (__TEXT,__const) non-external _KW_UTF_16
000000018a97ea71 (__TEXT,__const) non-external _KW_UTF_16BE
000000018a97ea7a (__TEXT,__const) non-external _KW_UTF_16LE
000000018a97ea64 (__TEXT,__const) non-external _KW_UTF_8
000000018a97ea91 (__TEXT,__const) non-external _KW_encoding
000000018a97eaa9 (__TEXT,__const) non-external _KW_no
000000018a97ea9a (__TEXT,__const) non-external _KW_standalone
000000018a97ea89 (__TEXT,__const) non-external _KW_version
000000018a97eaa5 (__TEXT,__const) non-external _KW_yes
000000018a966e30 (__TEXT,__text) external _XML_DefaultCurrent
000000018a966f60 (__TEXT,__text) external _XML_ErrorString
000000018a966f84 (__TEXT,__text) external _XML_ExpatVersion
000000018a966f90 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018a965648 (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018a966ddc (__TEXT,__text) external _XML_FreeContentModel
000000018a966310 (__TEXT,__text) external _XML_GetBase
000000018a96674c (__TEXT,__text) external _XML_GetBuffer
000000018a966cc0 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018a966c9c (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018a966d84 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018a966d28 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018a966c88 (__TEXT,__text) external _XML_GetErrorCode
000000018a966fa0 (__TEXT,__text) external _XML_GetFeatureList
00000001e5f91088 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018a966330 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018a966ce8 (__TEXT,__text) external _XML_GetInputContext
000000018a966c60 (__TEXT,__text) external _XML_GetParsingStatus
000000018a97d3b0 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018a96631c (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018a966e1c (__TEXT,__text) external _XML_MemFree
000000018a966df0 (__TEXT,__text) external _XML_MemMalloc
000000018a966e04 (__TEXT,__text) external _XML_MemRealloc
000000018a96650c (__TEXT,__text) external _XML_Parse
000000018a96699c (__TEXT,__text) external _XML_ParseBuffer
000000018a964de4 (__TEXT,__text) external _XML_ParserCreate
000000018a964dfc (__TEXT,__text) external _XML_ParserCreateNS
000000018a964df4 (__TEXT,__text) external _XML_ParserCreate_MM
000000018a965dc4 (__TEXT,__text) external _XML_ParserFree
000000018a96507c (__TEXT,__text) external _XML_ParserReset
000000018a966b70 (__TEXT,__text) external _XML_ResumeParser
000000018a96648c (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018a966260 (__TEXT,__text) external _XML_SetBase
000000018a966fdc (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018a966fac (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018a96638c (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018a966368 (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018a966380 (__TEXT,__text) external _XML_SetCommentHandler
000000018a9663b0 (__TEXT,__text) external _XML_SetDefaultHandler
000000018a9663c0 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018a9663d4 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018a966480 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018a966344 (__TEXT,__text) external _XML_SetElementHandler
000000018a965574 (__TEXT,__text) external _XML_SetEncoding
000000018a9663a4 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018a9663ec (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018a96635c (__TEXT,__text) external _XML_SetEndElementHandler
000000018a966428 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018a966498 (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018a966440 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018a96644c (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018a9664d8 (__TEXT,__text) external _XML_SetHashSalt
000000018a966410 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018a966434 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018a966404 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018a9664b0 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018a966374 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018a966218 (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018a966464 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018a966398 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018a9663e0 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018a966350 (__TEXT,__text) external _XML_SetStartElementHandler
000000018a96641c (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018a966470 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018a9663f8 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018a966240 (__TEXT,__text) external _XML_SetUserData
000000018a9664a4 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018a966afc (__TEXT,__text) external _XML_StopParser
000000018a9661e4 (__TEXT,__text) external _XML_UseForeignDTD
000000018a9661d8 (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018a970a14 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018a970fc0 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
