000000018bb1e348 (__TEXT,__const) non-external _KW_ANY
000000018bb1e2cd (__TEXT,__const) non-external _KW_ATTLIST
000000018bb1e2fb (__TEXT,__const) non-external _KW_CDATA
000000018bb1e2b0 (__TEXT,__const) non-external _KW_DOCTYPE
000000018bb1e2d5 (__TEXT,__const) non-external _KW_ELEMENT
000000018bb1e342 (__TEXT,__const) non-external _KW_EMPTY
000000018bb1e311 (__TEXT,__const) non-external _KW_ENTITIES
000000018bb1e2c6 (__TEXT,__const) non-external _KW_ENTITY
000000018bb1e33c (__TEXT,__const) non-external _KW_FIXED
000000018bb1e301 (__TEXT,__const) non-external _KW_ID
000000018bb1e304 (__TEXT,__const) non-external _KW_IDREF
000000018bb1e30a (__TEXT,__const) non-external _KW_IDREFS
000000018bb1e2ee (__TEXT,__const) non-external _KW_IGNORE
000000018bb1e32b (__TEXT,__const) non-external _KW_IMPLIED
000000018bb1e2e6 (__TEXT,__const) non-external _KW_INCLUDE
000000018bb1ea58 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018bb1e2f5 (__TEXT,__const) non-external _KW_NDATA
000000018bb1e31a (__TEXT,__const) non-external _KW_NMTOKEN
000000018bb1e322 (__TEXT,__const) non-external _KW_NMTOKENS
000000018bb1e2dd (__TEXT,__const) non-external _KW_NOTATION
000000018bb1e34c (__TEXT,__const) non-external _KW_PCDATA
000000018bb1e2bf (__TEXT,__const) non-external _KW_PUBLIC
000000018bb1e333 (__TEXT,__const) non-external _KW_REQUIRED
000000018bb1e2b8 (__TEXT,__const) non-external _KW_SYSTEM
000000018bb1ea63 (__TEXT,__const) non-external _KW_US_ASCII
000000018bb1ea72 (__TEXT,__const) non-external _KW_UTF_16
000000018bb1ea79 (__TEXT,__const) non-external _KW_UTF_16BE
000000018bb1ea82 (__TEXT,__const) non-external _KW_UTF_16LE
000000018bb1ea6c (__TEXT,__const) non-external _KW_UTF_8
000000018bb1ea99 (__TEXT,__const) non-external _KW_encoding
000000018bb1eab1 (__TEXT,__const) non-external _KW_no
000000018bb1eaa2 (__TEXT,__const) non-external _KW_standalone
000000018bb1ea91 (__TEXT,__const) non-external _KW_version
000000018bb1eaad (__TEXT,__const) non-external _KW_yes
000000018bb071b8 (__TEXT,__text) external _XML_DefaultCurrent
000000018bb072e8 (__TEXT,__text) external _XML_ErrorString
000000018bb0730c (__TEXT,__text) external _XML_ExpatVersion
000000018bb07318 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018bb0599c (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018bb07164 (__TEXT,__text) external _XML_FreeContentModel
000000018bb06694 (__TEXT,__text) external _XML_GetBase
000000018bb06ad4 (__TEXT,__text) external _XML_GetBuffer
000000018bb07048 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018bb07024 (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018bb0710c (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018bb070b0 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018bb07010 (__TEXT,__text) external _XML_GetErrorCode
000000018bb07328 (__TEXT,__text) external _XML_GetFeatureList
00000001d2035f40 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018bb066b4 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018bb07070 (__TEXT,__text) external _XML_GetInputContext
000000018bb06fe8 (__TEXT,__text) external _XML_GetParsingStatus
000000018bb1d430 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018bb066a0 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018bb071a4 (__TEXT,__text) external _XML_MemFree
000000018bb07178 (__TEXT,__text) external _XML_MemMalloc
000000018bb0718c (__TEXT,__text) external _XML_MemRealloc
000000018bb06890 (__TEXT,__text) external _XML_Parse
000000018bb06d24 (__TEXT,__text) external _XML_ParseBuffer
000000018bb0513c (__TEXT,__text) external _XML_ParserCreate
000000018bb05154 (__TEXT,__text) external _XML_ParserCreateNS
000000018bb0514c (__TEXT,__text) external _XML_ParserCreate_MM
000000018bb06148 (__TEXT,__text) external _XML_ParserFree
000000018bb053e8 (__TEXT,__text) external _XML_ParserReset
000000018bb06ef8 (__TEXT,__text) external _XML_ResumeParser
000000018bb06810 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018bb065e4 (__TEXT,__text) external _XML_SetBase
000000018bb07364 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018bb07334 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018bb06710 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018bb066ec (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018bb06704 (__TEXT,__text) external _XML_SetCommentHandler
000000018bb06734 (__TEXT,__text) external _XML_SetDefaultHandler
000000018bb06744 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018bb06758 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018bb06804 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018bb066c8 (__TEXT,__text) external _XML_SetElementHandler
000000018bb058c8 (__TEXT,__text) external _XML_SetEncoding
000000018bb06728 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018bb06770 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018bb066e0 (__TEXT,__text) external _XML_SetEndElementHandler
000000018bb067ac (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018bb0681c (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018bb067c4 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018bb067d0 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018bb0685c (__TEXT,__text) external _XML_SetHashSalt
000000018bb06794 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018bb067b8 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018bb06788 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018bb06834 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018bb066f8 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018bb0659c (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018bb067e8 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018bb0671c (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018bb06764 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018bb066d4 (__TEXT,__text) external _XML_SetStartElementHandler
000000018bb067a0 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
