                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff814a1f29e (__TEXT,__text) non-external _alone_decode
00007ff814a1f558 (__TEXT,__text) non-external _alone_decoder_end
00007ff814a1f579 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff814a1de3e (__TEXT,__text) non-external _alone_encode
00007ff814a1df02 (__TEXT,__text) non-external _alone_encoder_end
00007ff814a1dcc3 (__TEXT,__text) non-external _alone_encoder_init
00007ff814a296d8 (__TEXT,__text) non-external _arm64_code
00007ff814a2c5aa (__TEXT,__text) non-external _arm_code
00007ff814a2c66d (__TEXT,__text) non-external _armthumb_code
00007ff814a1f73f (__TEXT,__text) non-external _auto_decode
00007ff814a1f87c (__TEXT,__text) non-external _auto_decoder_end
00007ff814a1f89d (__TEXT,__text) non-external _auto_decoder_get_check
00007ff814a1f663 (__TEXT,__text) non-external _auto_decoder_init
00007ff814a1f8b4 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff814a32140 (__TEXT,__const) non-external _bcj_optmap
00007ff814a1dfbf (__TEXT,__text) non-external _block_buffer_encode
00007ff814a1fbda (__TEXT,__text) non-external _block_decode
00007ff814a1fe6c (__TEXT,__text) non-external _block_decoder_end
00007ff814a18a40 (__TEXT,__text) non-external _block_encode
00007ff814a1e27f (__TEXT,__text) non-external _block_encode_normal
00007ff814a1e3e1 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff814a1cdb2 (__TEXT,__text) non-external _block_encoder_end
00007ff814a16c5e (__TEXT,__text) non-external _block_encoder_init
00007ff814a1e562 (__TEXT,__text) non-external _block_encoder_update
00007ff814a1bc2b (__TEXT,__text) non-external _bt_find_func
00007ff814a19cd4 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _clock_gettime (from libSystem)
00007ff814a2bf9a (__TEXT,__text) non-external _copy_or_code
00007ff814a24758 (__TEXT,__text) non-external _decode_buffer
00007ff814a20297 (__TEXT,__text) non-external _decoder_find
