000000020c795b4c (__TEXT,__text) non-external _Done_iODBC
000000020c7b49f0 (__TEXT,__const) non-external _FunctionNumbers
000000020c7b3858 (__TEXT,__text) non-external _GetPrivateProfileString
000000020c7959c8 (__TEXT,__text) non-external _Init_iODBC
000000021b0d3e94 (__DATA,__common) non-external _ODBCSharedTraceFlag
000000020c7940c8 (__TEXT,__text) external _SQLAllocConnect
000000020c793fd8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000020c795938 (__TEXT,__text) external _SQLAllocEnv
000000020c795794 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000020c79f8e4 (__TEXT,__text) external _SQLAllocHandle
000000020c79f9fc (__TEXT,__text) non-external _SQLAllocHandleStd
000000020c79f644 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000020c7985b8 (__TEXT,__text) external _SQLAllocStmt
000000020c798104 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000020c79d5ac (__TEXT,__text) external _SQLBindCol
000000020c7a55c8 (__TEXT,__text) external _SQLBindParam
000000020c79ca54 (__TEXT,__text) external _SQLBindParameter
000000020c790d90 (__TEXT,__text) external _SQLBrowseConnect
000000020c790ed8 (__TEXT,__text) external _SQLBrowseConnectA
000000020c791020 (__TEXT,__text) external _SQLBrowseConnectW
000000020c79086c (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000020c7a50dc (__TEXT,__text) external _SQLBulkOperations
000000020c7994e8 (__TEXT,__text) external _SQLCancel
000000020c7a560c (__TEXT,__text) external _SQLCloseCursor
000000020c7a4b20 (__TEXT,__text) external _SQLColAttribute
000000020c7a4cc8 (__TEXT,__text) external _SQLColAttributeA
000000020c7a4e70 (__TEXT,__text) external _SQLColAttributeW
000000020c7a4458 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000020c79f14c (__TEXT,__text) external _SQLColAttributes
000000020c79f2f4 (__TEXT,__text) external _SQLColAttributesA
000000020c79f49c (__TEXT,__text) external _SQLColAttributesW
000000020c79ecb0 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000020c789ce8 (__TEXT,__text) external _SQLColumnPrivileges
