00007ff841aeddd0 (__DATA,__data) external _NDR_record
00007ff800414c36 (__TEXT,__text) non-external __Xexception_raise
00007ff800414cde (__TEXT,__text) non-external __Xexception_raise_state
00007ff800414dd0 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800406680 (__TEXT,__text) external _____sigwait_nocancel
00007ff8004258c8 (__TEXT,__const) external ____kernelVersionNumber
00007ff800425890 (__TEXT,__const) external ____kernelVersionString
00007ff800406698 (__TEXT,__text) external ___abort_with_payload
00007ff800402e3c (__TEXT,__text) external ___accept
00007ff8004066b0 (__TEXT,__text) external ___accept_nocancel
00007ff8004066c8 (__TEXT,__text) external ___access_extended
00007ff8004066e0 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800402334 (__TEXT,__text) external ___bind
00007ff8003ff090 (__TEXT,__text) external ___bsdthread_create
00007ff8003fd80c (__TEXT,__text) external ___bsdthread_ctl
00007ff800400b74 (__TEXT,__text) external ___bsdthread_register
00007ff8003fe4c4 (__TEXT,__text) external ___bsdthread_terminate
00007ff800407bde (__TEXT,__text) non-external ___bzero
00007ff800406037 (__TEXT,__text) external ___carbon_delete
00007ff8004066f8 (__TEXT,__text) external ___channel_get_info
00007ff800406710 (__TEXT,__text) external ___channel_get_opt
00007ff800406728 (__TEXT,__text) external ___channel_open
00007ff800406740 (__TEXT,__text) external ___channel_set_opt
00007ff800406758 (__TEXT,__text) external ___channel_sync
00007ff8003ff020 (__TEXT,__text) external ___chmod
00007ff800400708 (__TEXT,__text) external ___chmod_extended
00007ff8003fd4c4 (__TEXT,__text) external ___close_nocancel
00007ff800406770 (__TEXT,__text) external ___coalition
00007ff800406788 (__TEXT,__text) external ___coalition_info
00007ff8004067a0 (__TEXT,__text) external ___coalition_ledger
00007ff8003fd8d6 (__TEXT,__text) external ___commpage_gettimeofday
00007ff8003fd8dd (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8003ff76c (__TEXT,__text) external ___connect
00007ff8003ff5f4 (__TEXT,__text) external ___connect_nocancel
