00007ffa1a9546eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa1a955bde (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa1a955a02 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa1a9559df (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa1a9559bc (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa1a9558f2 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa1a95596f (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa1a95591f (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa1a9570f0 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa1a956d05 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa1a959fb4 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00007ffa1a9528f2 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa1a953fd1 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa1a95405d (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa1a9540eb (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa1a954194 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa1a955e19 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa1a955d95 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa1a95928c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa1a95920b (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa1a952581 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa1a95278b (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa1a95241c (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa1a951cd5 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa1a952408 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa1a9514ee (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa1a9594f8 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa1a952194 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa1a951eb9 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa1a951479 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa1a951732 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa1a9596ba (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1a951b35 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa1a95995d (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa1a951a64 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa1a95987c (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa1a951599 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa1a9595d9 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1a9518c8 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa1a95979b (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa1a952412 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa1a95254e (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa1a952530 (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa1a952526 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa1a952544 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa1a95253a (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa1a952444 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa1a95251c (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa1a953f9e (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa1a953f8a (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa1a953d84 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa1a953f94 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa1a953efe (__TEXT,__text) non-external -[NFLazy reset]
00007ffa1a953e30 (__TEXT,__text) non-external -[NFLazy value]
00007ffa1a9590e2 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa1a95886e (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa1a9590b3 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa1a958a99 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa1a9590bd (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa1a958865 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa1a958ecd (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa1a958756 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa1a95876b (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa1a9590c7 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa1a958cdd (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa1a958909 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa1a9589a4 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa1a958b27 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa1a9590d1 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa1a9572c2 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa1a95722e (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa1a95721a (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa1a95734b (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa1a9572fc (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa1a957359 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa1a951446 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa1a9512b4 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa1a9513f9 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa1a95142d (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa1a951414 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa1a951403 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa1a951437 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa1a95141e (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa1a9558e2 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa1a954801 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa1a954e1f (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa1a954789 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa1a955798 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa1a9556c6 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa1a9547e5 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa1a954d85 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa1a955248 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa1a95518b (__TEXT,__text) non-external -[NFPromise error]
00007ffa1a954707 (__TEXT,__text) non-external -[NFPromise initWithError:]
