                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80e2d6661 (__TEXT,__text) external __cg_jcopy_block_row
00007ff80e2d6609 (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff80e2f5f65 (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff80e2cd151 (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff80e2d5873 (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff80e2d667b (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff80e2e2094 (__TEXT,__text) external __cg_jinit_c_master_control
00007ff80e2d684f (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff80e2cc284 (__TEXT,__text) external __cg_jinit_color_converter
00007ff80e2d4dc0 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff80e2cc16b (__TEXT,__text) external __cg_jinit_compress_master
00007ff80e2e0e70 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff80e2e38ec (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff80e2e4518 (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff80e2edd7d (__TEXT,__text) external __cg_jinit_downsampler
00007ff80e2d43bd (__TEXT,__text) external __cg_jinit_forward_dct
00007ff80e2ef194 (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff80e2f300a (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff80e2d77f5 (__TEXT,__text) external __cg_jinit_input_controller
00007ff80e2cca8a (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff80e2ce97f (__TEXT,__text) external __cg_jinit_marker_reader
00007ff80e2f1d84 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff80e2e33f7 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff80e2f726c (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff80e2eeaf9 (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff80e2e4004 (__TEXT,__text) external __cg_jinit_upsampler
00007ff80e2ed9a6 (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff80e2d6f38 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff80e2d110f (__TEXT,__text) external __cg_jpeg_abort
00007ff80e2edadc (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff80e2d7031 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff80e2e02c0 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff80e2d119c (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff80e2d117f (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff80e2e30c1 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff80e2d70aa (__TEXT,__text) external __cg_jpeg_consume_input
00007ff80e2f1705 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff80e2e065b (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff80e2d1151 (__TEXT,__text) external __cg_jpeg_destroy
