                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000027844e4e0 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000027844ef5c (__TEXT,__const) external _libopenpam
000000027844ea00 (__TEXT,__text) external _misc_conv
000000027844e70c (__TEXT,__text) external _pam_acct_mgmt
000000027844e614 (__TEXT,__text) external _pam_authenticate
000000027844e788 (__TEXT,__text) external _pam_chauthtok
000000027844e880 (__TEXT,__text) external _pam_close_session
000000027844e5a0 (__TEXT,__text) external _pam_end
000000027844ec48 (__TEXT,__text) external _pam_get_data
000000027844e97c (__TEXT,__text) external _pam_get_item
000000027844ee78 (__TEXT,__text) external _pam_get_pass
000000027844ed58 (__TEXT,__text) external _pam_get_user
000000027844eb70 (__TEXT,__text) external _pam_getenv
000000027844ebe0 (__TEXT,__text) external _pam_getenvlist
000000027844e808 (__TEXT,__text) external _pam_open_session
000000027844eddc (__TEXT,__text) external _pam_prompt
000000027844eafc (__TEXT,__text) external _pam_putenv
000000027844eccc (__TEXT,__text) external _pam_set_data
000000027844e8f8 (__TEXT,__text) external _pam_set_item
000000027844e690 (__TEXT,__text) external _pam_setcred
000000027844e514 (__TEXT,__text) external _pam_start
000000027844ea8c (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000027844e480 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000027844e490 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000027844e4dc (__TEXT,__text) external _xlate_pam_shim_item_type
000000027844e4b8 (__TEXT,__text) external _xlate_pam_shim_retval
000000027844e4a4 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000027844e4b0 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
