00007ffa0878d96e (__TEXT,__text) non-external +[NFPromise new]
00007ffa0878ef0e (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa0878ed32 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa0878ece5 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa0878ec98 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa0878ebce (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa0878ec4b (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa0878ebfb (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa08790072 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa0878bb33 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa0878d252 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa0878d2de (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa0878d36c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa0878d413 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa0878f14a (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa0878f0c5 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa08791a5c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa0878b7b4 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa0878b9c5 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa0878b652 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa0878af1c (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa0878b63e (__TEXT,__text) non-external -[NFEventManager events]
00007ffa0878a76b (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa08791c61 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa0878b3cd (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa0878b100 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa0878a6f6 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa0878a99c (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa08791def (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa0878ad87 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa08792044 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa0878acbc (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa08791f7d (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa0878a816 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa08791d28 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa0878ab29 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa08791eb6 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa0878b648 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa0878b781 (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa0878b763 (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa0878b759 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa0878b777 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa0878b76d (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa0878b67a (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa0878b74f (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa0878d21f (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa0878d20b (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa0878d005 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa0878d215 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa0878d17f (__TEXT,__text) non-external -[NFLazy reset]
00007ffa0878d0b1 (__TEXT,__text) non-external -[NFLazy value]
