00007ffb1aec3ec0 (__TEXT,__text) non-external _AppleNVMeDeviceHasAVP
00007ffb1aec3b88 (__TEXT,__text) external _AppleNVMeDeviceSupportsPanicLogAccess
00007ffb1aec3668 (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByNSType
00007ffb1aec368e (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByName
00007ffb1aec3939 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockCount
00007ffb1aec3890 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockSize
00007ffb1aec3826 (__TEXT,__text) non-external _AppleNVMeNamespaceAccessMatchingServiceCallback
00007ffb1aec386d (__TEXT,__text) external _AppleNVMeNamespaceAccessOpenConection
00007ffb1aec39e2 (__TEXT,__text) external _AppleNVMeNamespaceAccessReadData
00007ffb1aec3afd (__TEXT,__text) external _AppleNVMeNamespaceAccessUnmapRange
00007ffb1aec3a6e (__TEXT,__text) external _AppleNVMeNamespaceAccessWriteData
00007ffb1aec3cac (__TEXT,__text) external _AppleNVMePanicLogGetSize
00007ffb44e41108 (__DATA,__data) external _AppleNVMePanicLogSourcePath
00007ffb1aec3d69 (__TEXT,__text) external _AppleNVMeReadPanicLogData
00007ffb1aec3fc8 (__TEXT,__const) external _AppleNVMeVersionNumber
00007ffb1aec3f90 (__TEXT,__const) external _AppleNVMeVersionString
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFStringCreateFromExternalRepresentation (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IONotificationPortCreate (from IOKit)
                 (undefined) external _IONotificationPortDestroy (from IOKit)
                 (undefined) external _IONotificationPortGetRunLoopSource (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IOObjectRetain (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceAddMatchingNotification (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffb44e41090 (__DATA,__data) external _sNVMeEmbeddedNamespaceTypeNames
