00007ffa12deea78 (__TEXT,__text) non-external +[NFPromise new]
00007ffa12deff6b (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa12defd8f (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa12defd6c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa12defd49 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa12defc7f (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa12defcfc (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa12defcac (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa12df148a (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa12df1091 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa12decc61 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa12dee342 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa12dee3ce (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa12dee45c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa12dee505 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa12df01a6 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa12df0122 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa12df3652 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa12df35b6 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa12dec8f0 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa12decafa (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa12dec78b (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa12dec044 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa12dec777 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa12deb85d (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa12df38b4 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa12dec503 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa12dec228 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa12deb7e8 (__TEXT,__text) non-external -[NFEventManager init]
