                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
000000018dfeed4c (__TEXT,__text) external _CMCloneProfileRef
00000001d6a2c760 (__DATA,__bss) non-external _CMCloneProfileRef.func
000000018dfeece4 (__TEXT,__text) external _CMCloseProfile
00000001d6a2c758 (__DATA,__bss) non-external _CMCloseProfile.func
000000018dfeec44 (__TEXT,__text) external _CMConvertDoubleXYZToD50
00000001d6a2c750 (__DATA,__bss) non-external _CMConvertDoubleXYZToD50.func
000000018dfeebc8 (__TEXT,__text) external _CMConvertRGBFloatBitmap
00000001d6a2c748 (__DATA,__bss) non-external _CMConvertRGBFloatBitmap.func
000000018dfeeb28 (__TEXT,__text) external _CMConvertXYZFloatBitmap
00000001d6a2c740 (__DATA,__bss) non-external _CMConvertXYZFloatBitmap.func
000000018dfeea40 (__TEXT,__text) external _CMCopyProfile
00000001d6a2c738 (__DATA,__bss) non-external _CMCopyProfile.func
000000018dfee968 (__TEXT,__text) external _CMCopyProfileDescriptionString
00000001d6a2c730 (__DATA,__bss) non-external _CMCopyProfileDescriptionString.func
000000018dfee868 (__TEXT,__text) external _CMCopyProfileLocalizedString
00000001d6a2c728 (__DATA,__bss) non-external _CMCopyProfileLocalizedString.func
000000018dfee780 (__TEXT,__text) external _CMCopyProfileLocalizedStringDictionary
00000001d6a2c720 (__DATA,__bss) non-external _CMCopyProfileLocalizedStringDictionary.func
000000018dfee6a8 (__TEXT,__text) external _CMCountProfileElements
00000001d6a2c718 (__DATA,__bss) non-external _CMCountProfileElements.func
000000018dfee5f0 (__TEXT,__text) external _CMFloatBitmapMakeChunky
00000001d6a2c710 (__DATA,__bss) non-external _CMFloatBitmapMakeChunky.func
000000018dfee588 (__TEXT,__text) external _CMGetColorSyncVersion
00000001d6a2c708 (__DATA,__bss) non-external _CMGetColorSyncVersion.func
000000018dfee50c (__TEXT,__text) external _CMGetDefaultDevice
00000001d6a2c700 (__DATA,__bss) non-external _CMGetDefaultDevice.func
000000018dfee490 (__TEXT,__text) external _CMGetDefaultProfileBySpace
00000001d6a2c6f8 (__DATA,__bss) non-external _CMGetDefaultProfileBySpace.func
000000018dfee414 (__TEXT,__text) external _CMGetDefaultProfileByUse
00000001d6a2c6f0 (__DATA,__bss) non-external _CMGetDefaultProfileByUse.func
000000018dfee390 (__TEXT,__text) external _CMGetDeviceDefaultProfileID
00000001d6a2c6e8 (__DATA,__bss) non-external _CMGetDeviceDefaultProfileID.func
000000018dfee2f0 (__TEXT,__text) external _CMGetDeviceFactoryProfiles
00000001d6a2c6e0 (__DATA,__bss) non-external _CMGetDeviceFactoryProfiles.func
000000018dfee26c (__TEXT,__text) external _CMGetDeviceInfo
00000001d6a2c6d8 (__DATA,__bss) non-external _CMGetDeviceInfo.func
000000018dfee1d4 (__TEXT,__text) external _CMGetDeviceProfile
00000001d6a2c6d0 (__DATA,__bss) non-external _CMGetDeviceProfile.func
000000018dfee150 (__TEXT,__text) external _CMGetDeviceState
00000001d6a2c6c8 (__DATA,__bss) non-external _CMGetDeviceState.func
000000018dfee0cc (__TEXT,__text) external _CMGetDeviceTrackingByUse
00000001d6a2c6c0 (__DATA,__bss) non-external _CMGetDeviceTrackingByUse.func
000000018dfee048 (__TEXT,__text) external _CMGetGammaByAVID
00000001d6a2c6b8 (__DATA,__bss) non-external _CMGetGammaByAVID.func
000000018dfedf58 (__TEXT,__text) external _CMGetIndNamedColorValue
00000001d6a2c6b0 (__DATA,__bss) non-external _CMGetIndNamedColorValue.func
000000018dfede68 (__TEXT,__text) external _CMGetIndProfileElement
00000001d6a2c6a8 (__DATA,__bss) non-external _CMGetIndProfileElement.func
000000018dfedd68 (__TEXT,__text) external _CMGetIndProfileElementInfo
00000001d6a2c6a0 (__DATA,__bss) non-external _CMGetIndProfileElementInfo.func
000000018dfedc80 (__TEXT,__text) external _CMGetNamedColorIndex
00000001d6a2c698 (__DATA,__bss) non-external _CMGetNamedColorIndex.func
000000018dfedb68 (__TEXT,__text) external _CMGetNamedColorInfo
00000001d6a2c690 (__DATA,__bss) non-external _CMGetNamedColorInfo.func
000000018dfeda80 (__TEXT,__text) external _CMGetNamedColorName
00000001d6a2c688 (__DATA,__bss) non-external _CMGetNamedColorName.func
000000018dfed990 (__TEXT,__text) external _CMGetNamedColorValue
00000001d6a2c680 (__DATA,__bss) non-external _CMGetNamedColorValue.func
000000018dfed814 (__TEXT,__text) external _CMGetPS2ColorRendering
00000001d6a2c678 (__DATA,__bss) non-external _CMGetPS2ColorRendering.func
000000018dfed714 (__TEXT,__text) external _CMGetPS2ColorRenderingIntent
00000001d6a2c670 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.func
000000018dfed5b0 (__TEXT,__text) external _CMGetPS2ColorRenderingVMSize
00000001d6a2c668 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.func
000000018dfed4b0 (__TEXT,__text) external _CMGetPS2ColorSpace
00000001d6a2c660 (__DATA,__bss) non-external _CMGetPS2ColorSpace.func
000000018dfed3b0 (__TEXT,__text) external _CMGetPartialProfileElement
00000001d6a2c658 (__DATA,__bss) non-external _CMGetPartialProfileElement.func
000000018dfed334 (__TEXT,__text) external _CMGetProfileByAVID
00000001d6a2c650 (__DATA,__bss) non-external _CMGetProfileByAVID.func
000000018dfed21c (__TEXT,__text) external _CMGetProfileDescriptions
00000001d6a2c648 (__DATA,__bss) non-external _CMGetProfileDescriptions.func
