00007fff8691d0b0 (__DATA,__data) external _DefaultServerName
00007fff778244f4 (__TEXT,__text) external _FindLockBytePosition
00007fff77824653 (__TEXT,__text) external _FindResBytePosition
00007fff77842149 (__TEXT,__text) external _GetRfTransRegValProc
00007fff8691ed58 (__DATA,__common) external _NdefInfo
00007fff7783cce6 (__TEXT,__text) external _VerifyRoutingTable
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007fff7788a1a0 (__TEXT,__const) external _aCrcTab
00007fff7788ab28 (__TEXT,__const) external _aHsuBr_115_2K
00007fff7788ab38 (__TEXT,__const) external _aHsuBr_1288K
00007fff7788ab40 (__TEXT,__const) external _aHsuBr_2400K
00007fff7788ab48 (__TEXT,__const) external _aHsuBr_3500K
00007fff7788ab50 (__TEXT,__const) external _aHsuBr_3750K
00007fff7788ab58 (__TEXT,__const) external _aHsuBr_4000K
00007fff7788ab60 (__TEXT,__const) external _aHsuBr_5000K
00007fff7788ab20 (__TEXT,__const) external _aHsuBr_57_6K
00007fff7788ab30 (__TEXT,__const) external _aHsuBr_921_6K
00007fff8691e9c0 (__DATA,__common) external _aIoctlInputBuff
00007fff8691eac0 (__DATA,__common) external _aIoctlOutputBuff
00007fff8691b430 (__DATA,__data) external _atLibNfc_SM_Discovery
00007fff8691cee0 (__DATA,__data) external _atLibNfc_SM_Dnld_Busy
00007fff8691ce50 (__DATA,__data) external _atLibNfc_SM_Dnld_Idle
00007fff8691cf20 (__DATA,__data) external _atLibNfc_SM_Dnld_Recovery
00007fff8691acf0 (__DATA,__data) external _atLibNfc_SM_Idle
00007fff8691ada0 (__DATA,__data) external _atLibNfc_SM_Init
00007fff8691bd20 (__DATA,__data) external _atLibNfc_SM_ListenActive
00007fff8691bfd0 (__DATA,__data) external _atLibNfc_SM_ListenReceive
00007fff8691c250 (__DATA,__data) external _atLibNfc_SM_ListenSend
00007fff8691c4d0 (__DATA,__data) external _atLibNfc_SM_ListenSleep
00007fff8691b930 (__DATA,__data) external _atLibNfc_SM_PollActive
00007fff8691b6c0 (__DATA,__data) external _atLibNfc_SM_PollDiscovered
00007fff8691cbe0 (__DATA,__data) external _atLibNfc_SM_SE_Apdu
00007fff8691c7a0 (__DATA,__data) external _atLibNfc_SM_SE_Idle
00007fff8691c840 (__DATA,__data) external _atLibNfc_SM_SE_Init
00007fff8691cd90 (__DATA,__data) external _atLibNfc_SM_SE_PowerOff
00007fff8691ca10 (__DATA,__data) external _atLibNfc_SM_SE_Virtual
00007fff8691acd0 (__DATA,__data) external _atLibNfc_SM_Start
00007fff8691b2a0 (__DATA,__data) external _atLibNfc_SM_TestMode
00007fff8691c740 (__DATA,__data) external _atLibNfc_Shutdown
00007fff77880b90 (__TEXT,__cstring) non-external _au8ResCarrier
00007fff7788aa98 (__TEXT,__const) external _bHsuBaudrate_115_2K
00007fff7788aae0 (__TEXT,__const) external _bHsuBaudrate_115_2K_4_0
00007fff7788aaa8 (__TEXT,__const) external _bHsuBaudrate_1288K
00007fff7788aaf0 (__TEXT,__const) external _bHsuBaudrate_1288K_4_0
00007fff7788aab0 (__TEXT,__const) external _bHsuBaudrate_2400K
00007fff7788aaf8 (__TEXT,__const) external _bHsuBaudrate_2400K_4_0
00007fff7788aab8 (__TEXT,__const) external _bHsuBaudrate_3500K
00007fff7788ab00 (__TEXT,__const) external _bHsuBaudrate_3500K_4_0
00007fff7788aac0 (__TEXT,__const) external _bHsuBaudrate_3750K
00007fff7788ab08 (__TEXT,__const) external _bHsuBaudrate_3750K_4_0
00007fff7788aac8 (__TEXT,__const) external _bHsuBaudrate_4000K
00007fff7788ab10 (__TEXT,__const) external _bHsuBaudrate_4000K_4_0
00007fff7788aad0 (__TEXT,__const) external _bHsuBaudrate_5000K
00007fff7788ab18 (__TEXT,__const) external _bHsuBaudrate_5000K_4_0
00007fff7788aa90 (__TEXT,__const) external _bHsuBaudrate_57_6K
00007fff7788aad8 (__TEXT,__const) external _bHsuBaudrate_57_6K_4_0
00007fff7788aaa0 (__TEXT,__const) external _bHsuBaudrate_921_6K
00007fff7788aae8 (__TEXT,__const) external _bHsuBaudrate_921_6K_4_0
00007fff8691e9b0 (__DATA,__common) external _bSetPwdReqd
00007fff77824378 (__TEXT,__text) external _chkDynLockBytes
00007fff77824433 (__TEXT,__text) external _chkReservedBytes
00007fff8691a5a0 (__DATA,__data) external _consoleLogLevel
00007fff778240bb (__TEXT,__text) external _cpDynLockBytes
00007fff77824216 (__TEXT,__text) external _cpReservedBytes
00007fff8691f31c (__DATA,__common) external _dwDnldCurrentAPI
00007fff8691f318 (__DATA,__common) external _dwMemDumpStarAddress
00007fff8691f320 (__DATA,__bss) non-external _eMwLoggingInfo
00007fff8691e2d0 (__DATA,__data) external _fALMPhaseInfoMul
00007fff8691ecd0 (__DATA,__common) external _gCBContext
00007fff8691eca8 (__DATA,__common) external _gGetDebugInfoCtx
00007fff8691ed88 (__DATA,__common) external _gStateMachineCtx
00007fff8691ed4b (__DATA,__common) external _gbControllerConfigType
00007fff8691a4a0 (__DATA,__data) external _gbDualNfccBoard
00007fff8691ecf0 (__DATA,__common) external _gbIgnoreWkUpRet
00007fff8691eca0 (__DATA,__common) external _gbPktLogging
00007fff8691ec98 (__DATA,__common) external _gbReadWrite
00007fff8691ec9b (__DATA,__common) external _gbSkipNciInit
00007fff8691ec9a (__DATA,__common) external _gbWakeUpByteCnt
00007fff8691ed4a (__DATA,__common) external _gblinkType
00007fff8691ec90 (__DATA,__common) external _gpLibCtx
00007fff8691ece8 (__DATA,__common) external _gpNdefCtx
00007fff8691ee20 (__DATA,__common) external _gphDnldNfc_CoreContext
00007fff8691d420 (__DATA,__data) external _gphDnldNfc_DnldGDidSequence
00007fff8691d460 (__DATA,__data) external _gphDnldNfc_DnldGetIntegrityInfoSeq
00007fff8691d440 (__DATA,__data) external _gphDnldNfc_DnldGetSessnStateSeq
00007fff8691d3c0 (__DATA,__data) external _gphDnldNfc_DnldLogSequence
00007fff8691d3e0 (__DATA,__data) external _gphDnldNfc_DnldRecSequence
00007fff8691d300 (__DATA,__data) external _gphDnldNfc_DnldSequence
00007fff8691ec99 (__DATA,__common) external _gphLibNciNfc_MuxState
00007fff8691a600 (__DATA,__data) external _gphLibNfc_CfgHostCESeq
00007fff8691ac40 (__DATA,__data) external _gphLibNfc_CfgRtngTableSeq
00007fff8691d0f0 (__DATA,__data) external _gphLibNfc_ChkPresRecon3BSeq
00007fff8691e610 (__DATA,__data) external _gphLibNfc_ClearMultiTagInfo
00007fff8691e420 (__DATA,__data) external _gphLibNfc_ConfigAssertLoggingSeq
00007fff8691e3a0 (__DATA,__data) external _gphLibNfc_ConfigHsuBrSeq
00007fff8691e3f0 (__DATA,__data) external _gphLibNfc_ConfigLoggingSeq
00007fff8691e6c0 (__DATA,__data) external _gphLibNfc_ConfigTestModeOffSeq
00007fff8691e630 (__DATA,__data) external _gphLibNfc_ConfigTestModeSeq
00007fff8691aca0 (__DATA,__data) external _gphLibNfc_DeInitSequence
00007fff8691db50 (__DATA,__data) external _gphLibNfc_DeactivateToIdle
00007fff8691db80 (__DATA,__data) external _gphLibNfc_DeactivateToIdleSetConfig
00007fff8691db00 (__DATA,__data) external _gphLibNfc_DiscSeqWithDeactSleep
00007fff8691d9d0 (__DATA,__data) external _gphLibNfc_DiscoverSeq
00007fff8691ac20 (__DATA,__data) external _gphLibNfc_FelicaStaticFeatureConfig
00007fff8691d050 (__DATA,__data) external _gphLibNfc_Felica_CheckPresSeq
00007fff8691d090 (__DATA,__data) external _gphLibNfc_Felica_ConnectSeq
00007fff8691a630 (__DATA,__data) external _gphLibNfc_GenericTransceive
00007fff8691a320 (__DATA,__data) external _gphLibNfc_GetFwVersionSequence
00007fff8691e4e0 (__DATA,__data) external _gphLibNfc_GetHlmDbgLog
00007fff8691e520 (__DATA,__data) external _gphLibNfc_GetLpcdFalseDetCntVal
00007fff8691a340 (__DATA,__data) external _gphLibNfc_GetMemDumpSequence
00007fff8691e5f0 (__DATA,__data) external _gphLibNfc_GetMultiTagInfo
00007fff8691e470 (__DATA,__data) external _gphLibNfc_GetPowerTrackData
00007fff8691e500 (__DATA,__data) external _gphLibNfc_GetRfTransRegVal
00007fff8691e2b0 (__DATA,__data) external _gphLibNfc_GetSeRfCfgSeq
00007fff8691e4c0 (__DATA,__data) external _gphLibNfc_GetSmbLog
00007fff8691e560 (__DATA,__data) external _gphLibNfc_GetSuicaEntrySysCode
00007fff8691d1c0 (__DATA,__data) external _gphLibNfc_GetTagTypeInfo
00007fff8691e540 (__DATA,__data) external _gphLibNfc_GetVasCodeCfg
00007fff8691dc60 (__DATA,__data) external _gphLibNfc_HciChildEseInitSequence
00007fff8691dd30 (__DATA,__data) external _gphLibNfc_HciChildIFSeInitSequence
00007fff8691dcf0 (__DATA,__data) external _gphLibNfc_HciChildSE2InitSequence
00007fff8691dcb0 (__DATA,__data) external _gphLibNfc_HciChildUiccInitSequence
00007fff8691dbf0 (__DATA,__data) external _gphLibNfc_HciInitSequence
00007fff8691e160 (__DATA,__data) external _gphLibNfc_IFPwrCtrlSeq
00007fff8691df60 (__DATA,__data) external _gphLibNfc_IFSeApduSetMode
00007fff8691e0d0 (__DATA,__data) external _gphLibNfc_IFSePowerCycleSequence
00007fff8691e200 (__DATA,__data) external _gphLibNfc_IFSeRecoverSeq
00007fff8691df30 (__DATA,__data) external _gphLibNfc_IFSeVirtualSetMode
00007fff8691a960 (__DATA,__data) external _gphLibNfc_InitializeSequence
00007fff8691a650 (__DATA,__data) external _gphLibNfc_InvokeNciTranscvSeq
00007fff8691ebc0 (__DATA,__common) external _gphLibNfc_IoctlCtx
00007fff8691a390 (__DATA,__data) external _gphLibNfc_IoctlGetIfResVal
00007fff8691a420 (__DATA,__data) external _gphLibNfc_IoctlGetRfCalData
00007fff8691a370 (__DATA,__data) external _gphLibNfc_IoctlGetRfConfig
00007fff8691a3d0 (__DATA,__data) external _gphLibNfc_IoctlGetRfRegVal
00007fff8691a3b0 (__DATA,__data) external _gphLibNfc_IoctlGetSpmiGpio
00007fff8691a440 (__DATA,__data) external _gphLibNfc_IoctlLoopbackSequence
00007fff8691a2c0 (__DATA,__data) external _gphLibNfc_IoctlSetPropConfigSigned
00007fff8691a290 (__DATA,__data) external _gphLibNfc_IoctlSetPropRfConfig
00007fff8691a3f0 (__DATA,__data) external _gphLibNfc_IoctlSetRfCalData
00007fff8691a2f0 (__DATA,__data) external _gphLibNfc_IoctlSetRfConfig
00007fff8691d5b0 (__DATA,__data) external _gphLibNfc_MFCIncDecRestore
00007fff8691d5d0 (__DATA,__data) external _gphLibNfc_MFCIncDecRestorePayload
00007fff8691d610 (__DATA,__data) external _gphLibNfc_MFCSendAuthCmd
00007fff8691d630 (__DATA,__data) external _gphLibNfc_MFCSendAuthCmdForPresChk
00007fff8691d5f0 (__DATA,__data) external _gphLibNfc_MFCTransfer
00007fff8691d580 (__DATA,__data) external _gphLibNfc_MFCWrite16
00007fff8691d290 (__DATA,__data) external _gphLibNfc_MifareULReactivateSeq
00007fff8691d220 (__DATA,__data) external _gphLibNfc_MifareULTagTypeInfo
00007fff8691da40 (__DATA,__data) external _gphLibNfc_MultiTagEnableDisable
00007fff8691aaa0 (__DATA,__data) external _gphLibNfc_MultiTagInitializeSequence
00007fff8691d560 (__DATA,__data) external _gphLibNfc_P2PSend
00007fff8691d4b0 (__DATA,__data) external _gphLibNfc_P2pConfigSeq
00007fff8691d0c0 (__DATA,__data) external _gphLibNfc_ReActivate4ASeq
00007fff8691d650 (__DATA,__data) external _gphLibNfc_ReActivate_MFC4ASeq
00007fff8691d190 (__DATA,__data) external _gphLibNfc_ReActivate_MFCSeq
00007fff8691d130 (__DATA,__data) external _gphLibNfc_ReActivate_MFCSeq1
00007fff8691a670 (__DATA,__data) external _gphLibNfc_ReActivate_MFCSeq1Select
00007fff8691d160 (__DATA,__data) external _gphLibNfc_ReActivate_MFCSeq2
00007fff8691a690 (__DATA,__data) external _gphLibNfc_ReActivate_MFCSeq2Select
00007fff8691a6b0 (__DATA,__data) external _gphLibNfc_ReActivate_MFCSeqSelect
00007fff8691a5e0 (__DATA,__data) external _gphLibNfc_ReDiscSeqWithDeact
00007fff8691db20 (__DATA,__data) external _gphLibNfc_ReDiscSeqWithDeactAndDisc
00007fff8691daa0 (__DATA,__data) external _gphLibNfc_ReDiscSeqWithDisc
00007fff8691aac0 (__DATA,__data) external _gphLibNfc_ReInitSequence
00007fff8691da70 (__DATA,__data) external _gphLibNfc_ReStartDiscoverSeq
00007fff8691e490 (__DATA,__data) external _gphLibNfc_ReadSwioPadVoltage
00007fff8691ab80 (__DATA,__data) external _gphLibNfc_RecoverySequence
00007fff8691e1a0 (__DATA,__data) external _gphLibNfc_SeRecoverSeq
00007fff77839f87 (__TEXT,__text) external _gphLibNfc_SeSelectSeqComplete
00007fff8691df10 (__DATA,__data) external _gphLibNfc_SeSetPowerModeSeq
00007fff8691e180 (__DATA,__data) external _gphLibNfc_SeSvddCtrlSeq
00007fff8691e370 (__DATA,__data) external _gphLibNfc_SetCfgSignedSeq
00007fff8691e6f0 (__DATA,__data) external _gphLibNfc_SetChipScopeCfg
00007fff8691e5b0 (__DATA,__data) external _gphLibNfc_SetHLMCfg
00007fff8691dee0 (__DATA,__data) external _gphLibNfc_SetModeHce
00007fff8691e5d0 (__DATA,__data) external _gphLibNfc_SetMultiTag
00007fff8691ac80 (__DATA,__data) external _gphLibNfc_SetPowerModeSeq
00007fff8691de20 (__DATA,__data) external _gphLibNfc_SetPwdModeSeMode
00007fff8691de60 (__DATA,__data) external _gphLibNfc_SetPwdModeSeModeDisable
00007fff8691dea0 (__DATA,__data) external _gphLibNfc_SetPwrModeSeModeDisWtForNtf
00007fff8691e340 (__DATA,__data) external _gphLibNfc_SetRfSettingsSeq
00007fff8691e660 (__DATA,__data) external _gphLibNfc_SetRfTransRegCfg
00007fff8691e580 (__DATA,__data) external _gphLibNfc_SetSmbLogCfg
00007fff8691e6a0 (__DATA,__data) external _gphLibNfc_SetSuicaEntrySysCode
00007fff8691e680 (__DATA,__data) external _gphLibNfc_SetVasCodeCfg
00007fff8691a460 (__DATA,__data) external _gphLibNfc_SysConfigSeq
00007fff8691d530 (__DATA,__data) external _gphLibNfc_T1tGetUidSequence
00007fff8691d070 (__DATA,__data) external _gphLibNfc_T3t_CheckPresSeq
00007fff8691dbd0 (__DATA,__data) external _gphLibNfc_TagRemovalDetect
00007fff8691e450 (__DATA,__data) external _gphLibNfc_TrigRfOnSeq
00007fff8691e2e0 (__DATA,__data) external _gphLibNfc_VldteEepromStngsSeq
00007fff8691e070 (__DATA,__data) external _gphLibNfc_eSePowerCycleSequence
00007fff8691abb0 (__DATA,__data) external _gphLibNfc_staticFeatureConfig
00007fff8691a580 (__DATA,__data) external _gphNciNfc_ClearMultiTagInfo
00007fff8691a540 (__DATA,__data) external _gphNciNfc_ConfigHsuBr
00007fff8691f638 (__DATA,__bss) non-external _gphNciNfc_ConnMgmtInt
00007fff8691a1d0 (__DATA,__data) external _gphNciNfc_DeActivateSequence
00007fff8691a100 (__DATA,__data) external _gphNciNfc_DetTagRemSeq
00007fff8691a190 (__DATA,__data) external _gphNciNfc_DiscSelSequence
00007fff8691a1b0 (__DATA,__data) external _gphNciNfc_DiscoverSequence
00007fff8691e750 (__DATA,__data) external _gphNciNfc_EnableExtnSequence
00007fff8691ddc0 (__DATA,__data) external _gphNciNfc_EseReInitSequence
00007fff8691e770 (__DATA,__data) external _gphNciNfc_FlushDataSequence
00007fff8691e850 (__DATA,__data) external _gphNciNfc_GetConfigRawSequence
00007fff8691e830 (__DATA,__data) external _gphNciNfc_GetConfigSequence
00007fff8691a4e0 (__DATA,__data) external _gphNciNfc_GetFwIntVerSequence
00007fff8691a0e0 (__DATA,__data) external _gphNciNfc_GetFwTypeSeq
00007fff8691a080 (__DATA,__data) external _gphNciNfc_GetHlmDbgLogCmdSeq
00007fff8691a0a0 (__DATA,__data) external _gphNciNfc_GetLpcdCountCmdSeq
00007fff8691a560 (__DATA,__data) external _gphNciNfc_GetMultiTagInfo
00007fff8691a040 (__DATA,__data) external _gphNciNfc_GetPwrTrackDataSequence
00007fff8691a270 (__DATA,__data) external _gphNciNfc_GetRfCalDataSequence
