00007ffa1aa3e6eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa1aa3fbde (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa1aa3fa02 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa1aa3f9df (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa1aa3f9bc (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa1aa3f8f2 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa1aa3f96f (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa1aa3f91f (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa1aa410f0 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa1aa40d05 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa1aa43fb4 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00007ffa1aa3c8f2 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa1aa3dfd1 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa1aa3e05d (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa1aa3e0eb (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa1aa3e194 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa1aa3fe19 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa1aa3fd95 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa1aa4328c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa1aa4320b (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa1aa3c581 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa1aa3c78b (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa1aa3c41c (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa1aa3bcd5 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa1aa3c408 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa1aa3b4ee (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa1aa434f8 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa1aa3c194 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa1aa3beb9 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa1aa3b479 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa1aa3b732 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
