00007ffa19d476eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa19d48bde (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa19d48a02 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa19d489df (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa19d489bc (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa19d488f2 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa19d4896f (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa19d4891f (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa19d4a0f0 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa19d49d05 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa19d4cfb4 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00007ffa19d458f2 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa19d46fd1 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa19d4705d (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa19d470eb (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa19d47194 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa19d48e19 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa19d48d95 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa19d4c28c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa19d4c20b (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa19d45581 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa19d4578b (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa19d4541c (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa19d44cd5 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa19d45408 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa19d444ee (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa19d4c4f8 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa19d45194 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa19d44eb9 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa19d44479 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa19d44732 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa19d4c6ba (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa19d44b35 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa19d4c95d (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa19d44a64 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa19d4c87c (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa19d44599 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa19d4c5d9 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa19d448c8 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa19d4c79b (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa19d45412 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa19d4554e (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa19d45530 (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa19d45526 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa19d45544 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa19d4553a (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa19d45444 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa19d4551c (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa19d46f9e (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa19d46f8a (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa19d46d84 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa19d46f94 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa19d46efe (__TEXT,__text) non-external -[NFLazy reset]
00007ffa19d46e30 (__TEXT,__text) non-external -[NFLazy value]
00007ffa19d4c0e2 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa19d4b86e (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa19d4c0b3 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa19d4ba99 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa19d4c0bd (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa19d4b865 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa19d4becd (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa19d4b756 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa19d4b76b (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa19d4c0c7 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa19d4bcdd (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa19d4b909 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa19d4b9a4 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa19d4bb27 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa19d4c0d1 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa19d4a2c2 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa19d4a22e (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa19d4a21a (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa19d4a34b (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa19d4a2fc (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa19d4a359 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa19d44446 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa19d442b4 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa19d443f9 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa19d4442d (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa19d44414 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa19d44403 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa19d44437 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa19d4441e (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa19d488e2 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa19d47801 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa19d47e1f (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa19d47789 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa19d48798 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa19d486c6 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa19d477e5 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa19d47d85 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa19d48248 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa19d4818b (__TEXT,__text) non-external -[NFPromise error]
00007ffa19d47707 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa19d47479 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa19d47669 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa19d4730e (__TEXT,__text) non-external -[NFPromise init]
00007ffa19d4807f (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa19d47f7d (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa19d484ed (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa19d482b2 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa19d488c7 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa19d488d1 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa19d477c9 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa19d4781d (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa19d47f13 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa19d47eac (__TEXT,__text) non-external -[NFPromise then]
00007ffa19d4a7ac (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa19d4a80b (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa19d49c58 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa19d4960f (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa19d49273 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa19d4cd11 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa19d4cdf2 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa19d49c04 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa19d49c33 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa19d49200 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa19d4918d (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa19d49110 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa19d49c4e (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa19d49736 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa19d49386 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa19d4936f (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa19d493a3 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa19d4989e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa19d4ced3 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa19d49c0e (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa19d49c3d (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa19d49c29 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa19d49bf3 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa19d49c1f (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa19d49be9 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa19d4a1e7 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa19d4a032 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa19d49f39 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa19d4a1cc (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa19d4a182 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa19d49eff (__TEXT,__text) non-external -[NFReachability dealloc]
