                 (undefined) external _AnalyticsSendEvent (from CoreAnalytics)
                 (undefined) external _CONTAINER_PERSONA_PRIMARY (from libSystem)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _NSURLSessionTaskPriorityDefault (from Foundation)
                 (undefined) external _OBJC_CLASS_$_BMStoreConfig (from BiomeStorage)
                 (undefined) external _OBJC_CLASS_$_GEOCountryConfiguration (from GeoServices)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileHandle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOutputStream (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPropertyListSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSessionConfiguration (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
0000000270180fe0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$__TtC20PegasusConfiguration14ConfigInternal
0000000270180f30 (__AUTH,__objc_data) external _OBJC_CLASS_$__TtC20PegasusConfiguration21ConfigFactoryInternal
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000002701822b8 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC20PegasusConfiguration14ConfigInternal
0000000270182290 (__AUTH,__data) external _OBJC_METACLASS_$__TtC20PegasusConfiguration21ConfigFactoryInternal
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000023d922c1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d922c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d9243e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d92515c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d92536c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d929b24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
