000000025947e86c (__TEXT,__text) non-external _Done_iODBC
000000025949da70 (__TEXT,__const) non-external _FunctionNumbers
000000025949c87c (__TEXT,__text) non-external _GetPrivateProfileString
000000025947e6dc (__TEXT,__text) non-external _Init_iODBC
000000026f16c4d4 (__DATA,__common) non-external _ODBCSharedTraceFlag
000000025947cdc0 (__TEXT,__text) external _SQLAllocConnect
000000025947ccc8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000025947e64c (__TEXT,__text) external _SQLAllocEnv
000000025947e4a0 (__TEXT,__text) non-external _SQLAllocEnv_Internal
0000000259488738 (__TEXT,__text) external _SQLAllocHandle
0000000259488850 (__TEXT,__text) non-external _SQLAllocHandleStd
000000025948848c (__TEXT,__text) non-external _SQLAllocHandle_Internal
0000000259481380 (__TEXT,__text) external _SQLAllocStmt
0000000259480ea0 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00000002594863f4 (__TEXT,__text) external _SQLBindCol
000000025948e4f0 (__TEXT,__text) external _SQLBindParam
000000025948589c (__TEXT,__text) external _SQLBindParameter
0000000259479a68 (__TEXT,__text) external _SQLBrowseConnect
0000000259479bb0 (__TEXT,__text) external _SQLBrowseConnectA
0000000259479cf8 (__TEXT,__text) external _SQLBrowseConnectW
0000000259479518 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000025948e004 (__TEXT,__text) external _SQLBulkOperations
00000002594822b4 (__TEXT,__text) external _SQLCancel
000000025948e534 (__TEXT,__text) external _SQLCloseCursor
000000025948da48 (__TEXT,__text) external _SQLColAttribute
000000025948dbf0 (__TEXT,__text) external _SQLColAttributeA
000000025948dd98 (__TEXT,__text) external _SQLColAttributeW
000000025948d324 (__TEXT,__text) non-external _SQLColAttribute_Internal
0000000259487f94 (__TEXT,__text) external _SQLColAttributes
000000025948813c (__TEXT,__text) external _SQLColAttributesA
00000002594882e4 (__TEXT,__text) external _SQLColAttributesW
0000000259487b10 (__TEXT,__text) non-external _SQLColAttributes_Internal
00000002594729b0 (__TEXT,__text) external _SQLColumnPrivileges
0000000259472b94 (__TEXT,__text) external _SQLColumnPrivilegesA
0000000259472d78 (__TEXT,__text) external _SQLColumnPrivilegesW
0000000259472720 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00000002594731ec (__TEXT,__text) external _SQLColumns
00000002594733d0 (__TEXT,__text) external _SQLColumnsA
00000002594735b4 (__TEXT,__text) external _SQLColumnsW
0000000259472f5c (__TEXT,__text) non-external _SQLColumns_Internal
0000000259476e74 (__TEXT,__text) external _SQLConnect
000000025947760c (__TEXT,__text) external _SQLConnectA
000000025947776c (__TEXT,__text) external _SQLConnectW
0000000259476fd4 (__TEXT,__text) non-external _SQLConnect_Internal
000000025949d4fc (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000025948d1a8 (__TEXT,__text) external _SQLCopyDesc
0000000259482e18 (__TEXT,__text) external _SQLDataSources
0000000259482f60 (__TEXT,__text) external _SQLDataSourcesA
00000002594830a8 (__TEXT,__text) external _SQLDataSourcesW
00000002594829a8 (__TEXT,__text) non-external _SQLDataSources_Internal
000000026f16c458 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000026f16c478 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000026f16c480 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
0000000259487534 (__TEXT,__text) external _SQLDescribeCol
0000000259487728 (__TEXT,__text) external _SQLDescribeColA
000000025948791c (__TEXT,__text) external _SQLDescribeColW
0000000259487288 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000025947bb7c (__TEXT,__text) external _SQLDescribeParam
0000000259479e40 (__TEXT,__text) external _SQLDisconnect
00000002594790a4 (__TEXT,__text) external _SQLDriverConnect
0000000259479220 (__TEXT,__text) external _SQLDriverConnectA
000000025947939c (__TEXT,__text) external _SQLDriverConnectW
00000002594778cc (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000025949d528 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000025949d554 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00000002594836cc (__TEXT,__text) external _SQLDrivers
0000000259483814 (__TEXT,__text) external _SQLDriversA
000000025948395c (__TEXT,__text) external _SQLDriversW
00000002594832d4 (__TEXT,__text) non-external _SQLDrivers_Internal
000000026f16c45c (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000026f16c488 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000026f16c490 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000025948df40 (__TEXT,__text) external _SQLEndTran
000000025947f02c (__TEXT,__text) external _SQLError
000000025947f154 (__TEXT,__text) external _SQLErrorA
000000025947f27c (__TEXT,__text) external _SQLErrorW
000000025947b084 (__TEXT,__text) external _SQLExecDirect
000000025947b1d4 (__TEXT,__text) external _SQLExecDirectA
000000025947b324 (__TEXT,__text) external _SQLExecDirectW
000000025947ae2c (__TEXT,__text) non-external _SQLExecDirect_Internal
000000025947ab64 (__TEXT,__text) external _SQLExecute
000000025947c268 (__TEXT,__text) external _SQLExtendedFetch
000000025947bfb0 (__TEXT,__text) external _SQLFetch
000000025948e1f0 (__TEXT,__text) external _SQLFetchScroll
000000025947bdf8 (__TEXT,__text) non-external _SQLFetch_Internal
0000000259473ae4 (__TEXT,__text) external _SQLForeignKeys
0000000259473da0 (__TEXT,__text) external _SQLForeignKeysA
000000025947405c (__TEXT,__text) external _SQLForeignKeysW
0000000259473798 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000025947cf2c (__TEXT,__text) external _SQLFreeConnect
000000025947ce84 (__TEXT,__text) non-external _SQLFreeConnect_Internal
