00007ffc0dba54ba (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc0dba5837 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffc0dba48b0 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffc0dba4fc2 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffc0dba50ca (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffc0db386af (__TEXT,__text) external _AAArchiveStreamCancel
00007ffc0db38678 (__TEXT,__text) external _AAArchiveStreamClose
00007ffc0db4d1d3 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffc0db3862a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffc0db38610 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffc0db3865e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffc0db38644 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffc0db39c77 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffc0db3da13 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffc0db3d94b (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffc0db3d88c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffc0db3d93a (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffc0db9a8d0 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffc0db3dab0 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffc0db3da1e (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffc0db3e106 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffc0db3e6f1 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffc0db3f0fd (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffc0db3f088 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffc0db3ebd9 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffc0dbac49e (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffc0dbac4b3 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffc0dbabe8f (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffc0dbac33c (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffc0db694e0 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffc0db4e0dd (__TEXT,__text) external _AAByteRangeAdd
00007ffc0db4dfe5 (__TEXT,__text) external _AAByteRangeClone
00007ffc0db4df49 (__TEXT,__text) external _AAByteRangeCreate
00007ffc0db4dfbf (__TEXT,__text) external _AAByteRangeDestroy
00007ffc0db4e2ab (__TEXT,__text) external _AAByteRangeFirst
00007ffc0db4e3b8 (__TEXT,__text) external _AAByteRangeNext
00007ffc0db4e23d (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffc0db4e1cb (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffc0db4e159 (__TEXT,__text) external _AAByteRangeSub
00007ffc0dba39ae (__TEXT,__text) external _AAByteStreamCancel
00007ffc0dba39c3 (__TEXT,__text) external _AAByteStreamClose
00007ffc0dba39fa (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffc0dba3a43 (__TEXT,__text) external _AAByteStreamFlush
00007ffc0dba3976 (__TEXT,__text) external _AAByteStreamPRead
00007ffc0dba3a77 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffc0dba393e (__TEXT,__text) external _AAByteStreamPWrite
00007ffc0db7da53 (__TEXT,__text) external _AAByteStreamProcess
00007ffc0dba395a (__TEXT,__text) external _AAByteStreamRead
00007ffc0dba3992 (__TEXT,__text) external _AAByteStreamSeek
00007ffc0dba3a5d (__TEXT,__text) external _AAByteStreamTruncate
00007ffc0dba3893 (__TEXT,__text) external _AAByteStreamWrite
00007ffc0db67963 (__TEXT,__text) external _AAChunkAsyncStreamOpen
