00000001a0ea3ff8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a0ea401c (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00000001a0e98030 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00000001a0e9818c (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00000001a0ea42a4 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00000001a0ea7068 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00000001a0ea70e8 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00000001a0ea456c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00000001a0e98874 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00000001a0e9e358 (__TEXT,__text) non-external +[MIS currentDeviceID]
00000001a0e9e3f0 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00000001a0e9e910 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00000001a0ea6654 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00000001a0ea6688 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00000001a0e9e330 (__TEXT,__text) non-external +[MIS isAvailable]
00000001a0e9e824 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00000001a0ea65ec (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00000001a0ea6620 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00000001a0e9e770 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00000001a0ea65b8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00000001a0e9e57c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00000001a0ea6488 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00000001a0ea64f4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001a0ea6528 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001a0ea655c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001a0e9eb20 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001a0ea67c0 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001a0ea6840 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001a0e9ea08 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001a0ea66e4 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001a0ea6764 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001a0ea3248 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001a0ea6d20 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001a0ea6d7c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001a0e99bd0 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a0e99d10 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001a0e98398 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a0e93974 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a0ea49e4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a0ea4ab8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a0e936c8 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a0e9df08 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a0e9a3a0 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a0e92014 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a0e99658 (__TEXT,__text) non-external +[SPLog exec]
00000001a0e999a0 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a0e99520 (__TEXT,__text) non-external +[SPLog generic]
00000001a0e995bc (__TEXT,__text) non-external +[SPLog kext]
00000001a0e996f4 (__TEXT,__text) non-external +[SPLog measurements]
00000001a0e99994 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a0e99790 (__TEXT,__text) non-external +[SPLog signposts]
00000001a0e9982c (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a0ea0c14 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a0ea064c (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a0e9fb58 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a0ea69d4 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a0e9f9ac (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a0e9f998 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a0e9ff5c (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a0e9fb10 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a0e9f9c0 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a0ea2aec (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a0e9321c (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a0e93144 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a0e92fe8 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a0e92e74 (__TEXT,__text) non-external -[AKELData init]
00000001a0e931e0 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a0e93108 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a0e92c50 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a0e93100 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a0ea4288 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a0ea41dc (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a0ea429c (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a0ea428c (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a0ea4240 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a0ea4294 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a0e97fb4 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a0e97740 (__TEXT,__text) non-external -[BundleData dealloc]
00000001a0ea5c28 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a0e97c20 (__TEXT,__text) non-external -[BundleData doReload]
00000001a0e97f88 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a0e977dc (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a0e97724 (__TEXT,__text) non-external -[BundleData init]
00000001a0e97f94 (__TEXT,__text) non-external -[BundleData isSigned]
00000001a0e97c7c (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a0e97f1c (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a0e97940 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a0ea5c98 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a0ea5d08 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a0e97fac (__TEXT,__text) non-external -[BundleData timestamp]
00000001a0e97f8c (__TEXT,__text) non-external -[BundleData url]
00000001a0e97fa4 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a0e97f9c (__TEXT,__text) non-external -[BundleData version]
00000001a0e989dc (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a0e989b8 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a0e9892c (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a0e989c8 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a0e9887c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a0e989c0 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a0e989d0 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a0ea33f8 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a0e93d84 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a0e93d4c (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a0e93d38 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a0e93d10 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a0e93d24 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a0e93d70 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a0e93d54 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a0e93d40 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a0e93d18 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a0e93d2c (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a0e93d78 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a0e93d68 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a0e93d60 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a0ea2948 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a0ea28b8 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a0ea1fa8 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a0ea2068 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a0ea23f0 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a0ea248c (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a0ea232c (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a0ea28e0 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a0ea1828 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a0ea2800 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a0ea22a0 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a0ea28c8 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a0ea2184 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a0ea188c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a0ea6a90 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a0ea6b18 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a0ea6b58 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a0ea6b90 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a0ea6bc8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a0ea6c08 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a0ea180c (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a0ea28f0 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a0ea2920 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a0ea26ec (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a0ea6cac (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a0ea2908 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a0ea2664 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a0ea2910 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a0ea26a8 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a0ea1f10 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a0ea28d8 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a0ea2940 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a0ea28c0 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a0ea28a0 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a0ea28b0 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a0ea2930 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a0ea27b0 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a0ea28e8 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a0ea2928 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a0ea2918 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a0ea2938 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a0ea2900 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a0ea25c8 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a0ea2264 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a0ea21bc (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a0ea252c (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a0ea28f8 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a0ea2898 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a0ea28d0 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a0ea28a8 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a0ea4860 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a0ea47ec (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a0ea46b4 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a0ea4600 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a0ea4700 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a0ea47d4 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a0ea4850 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a0ea4848 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a0ea471c (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a0ea4858 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a0e9a134 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a0e9a114 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a0e9a124 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a0e99f2c (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a0e9a0f4 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a0e99d18 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a0e99a04 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a0e999e8 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a0e9a12c (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a0e9a0fc (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a0e9a11c (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a0e9a104 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a0e9a10c (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a0e9c4f4 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a0e9c128 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a0e9c038 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a0e9bfcc (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a0e9bcd8 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a0e9ba28 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a0e9bbdc (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a0e9c314 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a0e9b9a8 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a0e9c404 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a0e9bf60 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a0e9ba7c (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a0e9ba74 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a0e9c218 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a0e9baa8 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a0e99130 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a0e989e8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a0ea5e08 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a0ea5e40 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a0ea5ec8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
